url,title,date,csv
https://www.city.shinjuku.lg.jp/content/000251385.xlsx,新宿区　住民基本台帳の町丁別世帯数及び男女別人口（外国人のみ） 平成３０年１２月１日現在,2018-12-01,csv/2018-12-01_other.csv
https://www.city.shinjuku.lg.jp/content/000249291.xlsx,新宿区　住民基本台帳の町丁別世帯数及び男女別人口（外国人のみ） 平成３０年１１月１日現在,2018-11-01,csv/2018-11-01_other.csv
https://www.city.shinjuku.lg.jp/content/000247035.xlsx,新宿区　住民基本台帳の町丁別世帯数及び男女別人口（外国人のみ） 平成３０年１０月１日現在,2018-10-01,csv/2018-10-01_other.csv
https://www.city.shinjuku.lg.jp/content/000244535.xlsx,新宿区　住民基本台帳の町丁別世帯数及び男女別人口（外国人のみ） 平成３０年９月１日現在,2018-09-01,csv/2018-09-01_other.csv
https://www.city.shinjuku.lg.jp/content/000242636.xlsx,新宿区　住民基本台帳の町丁別世帯数及び男女別人口（外国人のみ） 平成３０年８月１日現在,2018-08-01,csv/2018-08-01_other.csv
https://www.city.shinjuku.lg.jp/content/000240943.xlsx,新宿区　住民基本台帳の町丁別世帯数及び男女別人口（外国人のみ） 平成３０年７月１日現在,2018-07-01,csv/2018-07-01_other.csv
https://www.city.shinjuku.lg.jp/content/000274834.xlsx,新宿区　住民基本台帳の町丁別世帯数及び男女別人口（外国人のみ） 令和元年１２月１日現在,2019-12-01,csv/2019-12-01_other.csv
https://www.city.shinjuku.lg.jp/content/000273207.xlsx,新宿区　住民基本台帳の町丁別世帯数及び男女別人口（外国人のみ） 令和元年１１月１日現在,2019-11-01,csv/2019-11-01_other.csv
https://www.city.shinjuku.lg.jp/content/000271253.xlsx,新宿区　住民基本台帳の町丁別世帯数及び男女別人口（外国人のみ） 令和元年１０月１日現在,2019-10-01,csv/2019-10-01_other.csv
https://www.city.shinjuku.lg.jp/content/000268891.xlsx,新宿区　住民基本台帳の町丁別世帯数及び男女別人口（外国人のみ） 令和元年９月１日現在,2019-09-01,csv/2019-09-01_other.csv
https://www.city.shinjuku.lg.jp/content/000267423.xlsx,新宿区　住民基本台帳の町丁別世帯数及び男女別人口（外国人のみ） 令和元年８月１日現在,2019-08-01,csv/2019-08-01_other.csv
https://www.city.shinjuku.lg.jp/content/000265586.xlsx,新宿区　住民基本台帳の町丁別世帯数及び男女別人口（外国人のみ） 令和元年７月１日現在,2019-07-01,csv/2019-07-01_other.csv
