町丁名,世帯数,男,女
四谷１丁目,17,15,8
四谷２丁目,30,16,20
四谷３丁目,24,13,15
四谷４丁目,199,110,116
四谷本塩町,19,10,10
四谷三栄町,71,46,45
四谷坂町,143,99,88
若葉１丁目,93,75,50
若葉２丁目,51,30,25
若葉３丁目,61,31,40
須賀町,44,31,18
左門町,69,34,38
信濃町,83,48,38
南元町,133,76,84
荒木町,141,88,86
舟町,70,39,34
愛住町,69,56,27
大京町,152,101,72
霞ヶ丘町,1,1,0
内藤町,46,28,31
片町,27,11,19
新宿１丁目,347,212,199
新宿２丁目,113,82,42
新宿３丁目,5,4,2
新宿４丁目,5,4,2
新宿５丁目,274,166,145
新宿６丁目,383,248,243
新宿７丁目,709,475,456
歌舞伎町１丁目,8,7,2
歌舞伎町２丁目,320,173,201
市谷田町１丁目,1,0,1
市谷田町２丁目,11,11,6
市谷田町３丁目,17,5,17
市谷本村町,72,69,68
市谷砂土原町１丁目,3,3,3
市谷砂土原町２丁目,17,14,7
市谷砂土原町３丁目,57,65,42
市谷左内町,12,9,8
市谷加賀町１丁目,6,6,7
市谷加賀町２丁目,65,39,51
市谷甲良町,32,26,20
市谷船河原町,5,7,5
市谷長延寺町,10,6,4
市谷鷹匠町,17,12,5
市谷山伏町,16,9,12
市谷八幡町,3,1,2
神楽坂１丁目,0,0,0
神楽坂２丁目,8,4,4
神楽坂３丁目,15,14,6
神楽坂４丁目,5,3,2
神楽坂５丁目,9,8,4
神楽坂６丁目,30,22,10
細工町,11,4,9
二十騎町,26,21,14
揚場町,2,2,0
津久戸町,2,1,1
東五軒町,90,49,50
西五軒町,115,77,57
赤城元町,9,5,6
南榎町,44,34,19
袋町,21,13,10
払方町,38,24,29
南町,16,16,7
北町,19,15,9
納戸町,44,32,19
南山伏町,16,16,10
北山伏町,40,18,28
白銀町,42,24,27
下宮比町,15,5,10
矢来町,132,80,73
若宮町,41,49,47
岩戸町,23,12,18
中町,9,10,5
箪笥町,31,19,16
横寺町,16,8,8
筑土八幡町,34,22,22
新小川町,128,69,73
神楽河岸,0,0,0
市谷薬王寺町,175,134,160
市谷柳町,51,34,30
市谷仲之町,145,163,152
赤城下町,47,30,21
天神町,70,32,39
榎町,21,5,16
東榎町,30,13,18
早稲田町,164,85,93
早稲田南町,71,45,34
馬場下町,26,17,14
原町１丁目,97,53,53
原町２丁目,60,46,38
原町３丁目,115,95,101
喜久井町,83,58,37
築地町,14,10,5
弁天町,186,115,110
中里町,9,3,6
山吹町,328,158,204
改代町,32,16,19
水道町,52,31,29
早稲田鶴巻町,615,334,345
住吉町,162,124,108
市谷台町,108,69,58
河田町,384,402,392
若松町,398,313,312
余丁町,181,123,121
戸山１丁目,146,83,101
戸山２丁目,344,186,345
戸山３丁目,69,45,37
富久町,325,229,235
百人町１丁目,1099,703,581
百人町２丁目,1429,1028,786
百人町３丁目,331,300,292
百人町４丁目,210,184,233
大久保１丁目,1269,792,723
大久保２丁目,1841,1234,1169
大久保３丁目,431,305,353
戸塚町１丁目,62,37,33
西早稲田１丁目,830,464,450
西早稲田２丁目,1085,586,588
西早稲田３丁目,885,524,460
高田馬場１丁目,569,365,294
高田馬場２丁目,327,197,165
高田馬場３丁目,1069,669,541
高田馬場４丁目,928,639,507
下落合１丁目,733,440,376
下落合２丁目,347,247,180
下落合３丁目,258,164,142
下落合４丁目,375,217,199
中落合１丁目,330,220,163
中落合２丁目,331,220,186
中落合３丁目,153,90,98
中落合４丁目,146,91,83
上落合１丁目,307,223,180
上落合２丁目,307,176,173
上落合３丁目,378,213,206
西落合１丁目,170,95,102
西落合２丁目,209,134,127
西落合３丁目,113,57,74
西落合４丁目,85,48,50
中井１丁目,129,79,65
中井２丁目,151,99,81
北新宿１丁目,1413,939,772
北新宿２丁目,435,285,316
北新宿３丁目,1173,819,677
北新宿４丁目,951,651,562
西新宿１丁目,2,1,1
西新宿２丁目,0,0,0
西新宿３丁目,192,123,101
西新宿４丁目,531,322,289
西新宿５丁目,268,187,183
西新宿６丁目,344,264,228
西新宿７丁目,206,131,107
西新宿８丁目,254,144,167
