町丁名,世帯数,男,女
四谷１丁目,274,225,312
四谷２丁目,255,206,214
四谷３丁目,269,177,214
四谷４丁目,2039,1645,1524
四谷本塩町,316,243,230
四谷三栄町,1037,908,975
四谷坂町,1564,1238,1142
若葉１丁目,1338,1221,1199
若葉２丁目,452,416,418
若葉３丁目,577,462,441
須賀町,775,655,659
左門町,1004,696,836
信濃町,517,379,473
南元町,1315,1103,1308
荒木町,1599,1184,1175
舟町,952,638,713
愛住町,852,667,680
大京町,2343,1729,2081
霞ヶ丘町,0,0,0
内藤町,641,576,624
片町,272,197,182
新宿１丁目,2907,2063,1805
新宿２丁目,817,613,468
新宿３丁目,84,75,40
新宿４丁目,191,156,100
新宿５丁目,1942,1333,1055
新宿６丁目,2799,2038,1699
新宿７丁目,3664,2897,2701
歌舞伎町１丁目,138,103,50
歌舞伎町２丁目,1609,1285,535
市谷田町１丁目,14,8,15
市谷田町２丁目,314,245,315
市谷田町３丁目,181,147,176
市谷本村町,1691,1457,1069
市谷砂土原町１丁目,101,93,108
市谷砂土原町２丁目,239,193,244
市谷砂土原町３丁目,439,422,468
市谷左内町,248,216,238
市谷加賀町１丁目,239,285,335
市谷加賀町２丁目,955,725,990
市谷甲良町,449,379,430
市谷船河原町,78,90,95
市谷長延寺町,74,32,70
市谷鷹匠町,34,22,28
市谷山伏町,294,255,277
市谷八幡町,65,56,63
神楽坂１丁目,11,12,15
神楽坂２丁目,118,77,109
神楽坂３丁目,280,219,196
神楽坂４丁目,96,81,94
神楽坂５丁目,368,294,380
神楽坂６丁目,508,339,429
細工町,256,210,207
二十騎町,402,299,364
揚場町,56,46,51
津久戸町,54,40,41
東五軒町,1224,1050,1191
西五軒町,970,798,860
赤城元町,254,208,234
南榎町,663,660,689
袋町,359,313,330
払方町,499,454,508
南町,385,406,438
北町,523,464,533
納戸町,504,453,525
南山伏町,403,323,357
北山伏町,370,236,313
白銀町,730,586,756
下宮比町,180,100,135
矢来町,2375,1990,2283
若宮町,507,443,453
岩戸町,407,275,326
中町,249,240,233
箪笥町,447,297,348
横寺町,623,467,488
筑土八幡町,583,433,515
新小川町,1981,1605,1569
神楽河岸,0,0,0
市谷薬王寺町,1954,1441,1566
市谷柳町,885,582,699
市谷仲之町,1248,1044,1192
赤城下町,826,637,631
天神町,674,499,536
榎町,466,315,331
東榎町,217,142,146
早稲田町,765,523,604
早稲田南町,415,340,372
馬場下町,311,239,232
原町１丁目,822,660,716
原町２丁目,647,582,581
原町３丁目,1145,869,1015
喜久井町,1071,923,917
築地町,317,250,293
弁天町,1918,1541,1702
中里町,360,327,361
山吹町,2486,1735,1901
改代町,387,306,293
水道町,710,481,475
早稲田鶴巻町,3403,2442,2564
住吉町,1713,1249,1296
市谷台町,839,647,659
河田町,1220,1075,1067
若松町,3142,2416,2771
余丁町,2403,1856,1958
戸山１丁目,1420,1115,1221
戸山２丁目,3193,1897,2975
戸山３丁目,586,495,526
富久町,3869,3370,3316
百人町１丁目,1886,1452,919
百人町２丁目,2126,1595,1269
百人町３丁目,2343,2318,2571
百人町４丁目,1547,997,1357
大久保１丁目,1879,1332,1066
大久保２丁目,3730,2801,2468
大久保３丁目,2176,2022,2163
戸塚町１丁目,117,81,86
西早稲田１丁目,2988,2275,2444
西早稲田２丁目,3287,2648,2465
西早稲田３丁目,3347,2947,2879
高田馬場１丁目,2418,1958,1800
高田馬場２丁目,1072,865,708
高田馬場３丁目,3351,2563,2240
高田馬場４丁目,3388,2797,2576
下落合１丁目,1466,1026,1009
下落合２丁目,1812,1561,1653
下落合３丁目,2489,1959,2394
下落合４丁目,2375,1968,2141
中落合１丁目,2102,1620,1631
中落合２丁目,2632,2285,2366
中落合３丁目,2331,1910,2127
中落合４丁目,1628,1482,1426
上落合１丁目,3062,2443,2472
上落合２丁目,3060,2329,2241
上落合３丁目,2992,2245,2081
西落合１丁目,2768,2138,2285
西落合２丁目,2419,1986,2008
西落合３丁目,1809,1421,1632
西落合４丁目,1301,1075,1177
中井１丁目,1198,900,743
中井２丁目,1629,1511,1535
北新宿１丁目,4102,3040,2576
北新宿２丁目,2958,2522,2224
北新宿３丁目,3757,2903,2634
北新宿４丁目,3588,2651,2550
西新宿１丁目,29,23,24
西新宿２丁目,1,1,4
西新宿３丁目,1457,988,944
西新宿４丁目,4673,3483,3142
西新宿５丁目,2398,1874,1669
西新宿６丁目,2212,1746,1488
西新宿７丁目,1539,1178,868
西新宿８丁目,2064,1506,1386
