町丁名,世帯数,男,女
四谷１丁目,271,223,298
四谷２丁目,253,209,225
四谷３丁目,291,199,231
四谷４丁目,2292,1826,1666
四谷本塩町,322,245,253
四谷三栄町,1102,947,1046
四谷坂町,1550,1213,1184
若葉１丁目,1433,1325,1269
若葉２丁目,453,406,423
若葉３丁目,665,504,523
須賀町,850,722,692
左門町,1069,730,880
信濃町,596,412,527
南元町,1376,1203,1334
荒木町,1723,1287,1277
舟町,1024,707,715
愛住町,931,728,721
大京町,2339,1763,2086
霞ヶ丘町,2,2,0
内藤町,775,698,631
片町,259,190,175
新宿１丁目,3078,2192,1948
新宿２丁目,939,693,533
新宿３丁目,97,83,57
新宿４丁目,212,171,109
新宿５丁目,2132,1486,1154
新宿６丁目,3121,2300,1994
新宿７丁目,4325,3498,3240
歌舞伎町１丁目,181,148,56
歌舞伎町２丁目,1919,1441,836
市谷田町１丁目,16,8,18
市谷田町２丁目,333,252,342
市谷田町３丁目,207,159,196
市谷本村町,1741,1550,1019
市谷砂土原町１丁目,109,100,122
市谷砂土原町２丁目,270,212,271
市谷砂土原町３丁目,474,494,526
市谷左内町,227,201,225
市谷加賀町１丁目,20,14,20
市谷加賀町２丁目,971,720,1020
市谷甲良町,463,407,440
市谷船河原町,76,87,92
市谷長延寺町,97,47,90
市谷鷹匠町,14,13,15
市谷山伏町,291,266,272
市谷八幡町,61,54,64
神楽坂１丁目,12,13,15
神楽坂２丁目,135,85,125
神楽坂３丁目,294,236,213
神楽坂４丁目,97,83,98
神楽坂５丁目,388,314,402
神楽坂６丁目,566,383,475
細工町,259,213,225
二十騎町,407,330,361
揚場町,59,53,54
津久戸町,69,48,50
東五軒町,1172,1018,1194
西五軒町,1033,869,889
赤城元町,236,182,214
南榎町,732,703,721
袋町,369,331,340
払方町,525,501,552
南町,389,403,427
北町,523,494,535
納戸町,588,506,578
南山伏町,368,329,307
北山伏町,381,259,308
白銀町,743,615,767
下宮比町,158,96,126
矢来町,2585,2203,2496
若宮町,554,493,516
岩戸町,431,297,340
中町,273,267,273
箪笥町,431,287,339
横寺町,601,457,475
筑土八幡町,527,390,476
新小川町,2043,1649,1663
神楽河岸,0,0,0
市谷薬王寺町,2152,1660,1737
市谷柳町,896,602,706
市谷仲之町,1291,1198,1314
赤城下町,771,617,580
天神町,750,539,583
榎町,502,346,348
東榎町,275,172,193
早稲田町,864,591,678
早稲田南町,472,391,412
馬場下町,334,265,256
原町１丁目,894,698,780
原町２丁目,708,661,631
原町３丁目,1249,971,1138
喜久井町,1145,1008,992
築地町,321,262,282
弁天町,2037,1646,1744
中里町,343,317,359
山吹町,2592,1795,2026
改代町,427,353,306
水道町,730,508,512
早稲田鶴巻町,3916,2838,2923
住吉町,1846,1370,1443
市谷台町,908,733,697
河田町,1554,1430,1527
若松町,3471,2811,3076
余丁町,2556,2043,2124
戸山１丁目,1608,1219,1382
戸山２丁目,3282,2090,3273
戸山３丁目,539,440,442
富久町,4205,3630,3625
百人町１丁目,3123,2273,1638
百人町２丁目,3539,2689,2141
百人町３丁目,2599,2614,2906
百人町４丁目,1628,1177,1553
大久保１丁目,3197,2209,1985
大久保２丁目,5700,4271,3903
大久保３丁目,2310,2219,2444
戸塚町１丁目,135,93,107
西早稲田１丁目,3641,2692,2923
西早稲田２丁目,3913,3017,2851
西早稲田３丁目,4144,3499,3385
高田馬場１丁目,2837,2285,2061
高田馬場２丁目,1273,997,840
高田馬場３丁目,4150,3131,2735
高田馬場４丁目,4277,3499,3172
下落合１丁目,1981,1351,1245
下落合２丁目,2055,1724,1837
下落合３丁目,2586,2060,2448
下落合４丁目,2671,2180,2383
中落合１丁目,2272,1749,1756
中落合２丁目,2820,2441,2543
中落合３丁目,2433,2018,2196
中落合４丁目,1769,1580,1535
上落合１丁目,3407,2787,2699
上落合２丁目,3341,2558,2459
上落合３丁目,3275,2403,2296
西落合１丁目,2815,2222,2358
西落合２丁目,2590,2116,2136
西落合３丁目,1914,1489,1688
西落合４丁目,1285,1096,1175
中井１丁目,1292,984,825
中井２丁目,1744,1562,1648
北新宿１丁目,5210,3847,3336
北新宿２丁目,3176,2766,2483
北新宿３丁目,4836,3759,3355
北新宿４丁目,4499,3410,3166
西新宿１丁目,34,27,28
西新宿２丁目,2,2,4
西新宿３丁目,1692,1125,1126
西新宿４丁目,5077,3813,3483
西新宿５丁目,2762,2153,1996
西新宿６丁目,2288,1860,1635
西新宿７丁目,1765,1337,1021
西新宿８丁目,2176,1581,1497
