町丁名,世帯数,男,女,date
四谷１丁目,16,12,7,2018-12-01
四谷２丁目,34,23,17,2018-12-01
四谷３丁目,29,27,13,2018-12-01
四谷４丁目,202,126,114,2018-12-01
四谷本塩町,17,7,12,2018-12-01
四谷三栄町,67,42,51,2018-12-01
四谷坂町,110,71,72,2018-12-01
若葉１丁目,93,75,49,2018-12-01
若葉２丁目,29,20,16,2018-12-01
若葉３丁目,48,28,33,2018-12-01
須賀町,43,27,24,2018-12-01
左門町,61,38,30,2018-12-01
信濃町,26,11,16,2018-12-01
南元町,144,87,85,2018-12-01
荒木町,148,90,87,2018-12-01
舟町,65,42,33,2018-12-01
愛住町,64,49,28,2018-12-01
大京町,122,87,62,2018-12-01
霞ヶ丘町,0,0,0,2018-12-01
内藤町,37,22,26,2018-12-01
片町,22,9,13,2018-12-01
新宿１丁目,326,189,196,2018-12-01
新宿２丁目,97,60,51,2018-12-01
新宿３丁目,9,7,8,2018-12-01
新宿４丁目,10,5,6,2018-12-01
新宿５丁目,276,164,156,2018-12-01
新宿６丁目,465,311,279,2018-12-01
新宿７丁目,835,547,526,2018-12-01
歌舞伎町１丁目,13,11,5,2018-12-01
歌舞伎町２丁目,394,209,277,2018-12-01
市谷田町１丁目,1,0,1,2018-12-01
市谷田町２丁目,13,14,13,2018-12-01
市谷田町３丁目,21,8,18,2018-12-01
市谷本村町,67,66,67,2018-12-01
市谷砂土原町１丁目,7,7,5,2018-12-01
市谷砂土原町２丁目,24,17,13,2018-12-01
市谷砂土原町３丁目,68,89,64,2018-12-01
市谷左内町,14,9,9,2018-12-01
市谷加賀町１丁目,0,0,0,2018-12-01
市谷加賀町２丁目,54,38,39,2018-12-01
市谷甲良町,12,11,12,2018-12-01
市谷船河原町,8,14,10,2018-12-01
市谷長延寺町,4,0,4,2018-12-01
市谷鷹匠町,0,0,0,2018-12-01
市谷山伏町,19,15,14,2018-12-01
市谷八幡町,2,1,1,2018-12-01
神楽坂１丁目,1,1,0,2018-12-01
神楽坂２丁目,12,5,7,2018-12-01
神楽坂３丁目,13,10,8,2018-12-01
神楽坂４丁目,4,2,3,2018-12-01
神楽坂５丁目,16,14,4,2018-12-01
神楽坂６丁目,25,15,11,2018-12-01
細工町,7,2,5,2018-12-01
二十騎町,18,13,12,2018-12-01
揚場町,1,1,0,2018-12-01
津久戸町,3,3,0,2018-12-01
東五軒町,55,29,35,2018-12-01
西五軒町,69,56,36,2018-12-01
赤城元町,11,8,5,2018-12-01
南榎町,48,37,25,2018-12-01
袋町,11,9,7,2018-12-01
払方町,45,36,39,2018-12-01
南町,18,16,9,2018-12-01
北町,10,9,6,2018-12-01
納戸町,50,30,24,2018-12-01
南山伏町,10,8,6,2018-12-01
北山伏町,23,14,13,2018-12-01
白銀町,37,29,16,2018-12-01
下宮比町,10,6,6,2018-12-01
矢来町,124,62,73,2018-12-01
若宮町,43,52,58,2018-12-01
岩戸町,15,8,9,2018-12-01
中町,12,7,8,2018-12-01
箪笥町,18,11,7,2018-12-01
横寺町,12,7,7,2018-12-01
筑土八幡町,29,20,15,2018-12-01
新小川町,117,79,62,2018-12-01
神楽河岸,0,0,0,2018-12-01
市谷薬王寺町,153,114,127,2018-12-01
市谷柳町,44,31,21,2018-12-01
市谷仲之町,139,165,157,2018-12-01
赤城下町,49,34,17,2018-12-01
天神町,74,35,43,2018-12-01
榎町,25,9,18,2018-12-01
東榎町,33,17,18,2018-12-01
早稲田町,110,66,57,2018-12-01
早稲田南町,65,45,30,2018-12-01
馬場下町,35,20,22,2018-12-01
原町１丁目,68,44,49,2018-12-01
原町２丁目,58,46,50,2018-12-01
原町３丁目,107,105,108,2018-12-01
喜久井町,89,61,47,2018-12-01
築地町,21,15,6,2018-12-01
弁天町,150,88,95,2018-12-01
中里町,10,4,7,2018-12-01
山吹町,174,86,108,2018-12-01
改代町,26,8,19,2018-12-01
水道町,29,19,17,2018-12-01
早稲田鶴巻町,667,354,375,2018-12-01
住吉町,158,106,98,2018-12-01
市谷台町,109,68,63,2018-12-01
河田町,306,346,382,2018-12-01
若松町,352,299,298,2018-12-01
余丁町,184,121,121,2018-12-01
戸山１丁目,162,81,108,2018-12-01
戸山２丁目,291,154,282,2018-12-01
戸山３丁目,85,51,49,2018-12-01
富久町,405,265,279,2018-12-01
百人町１丁目,1504,908,800,2018-12-01
百人町２丁目,1728,1168,951,2018-12-01
百人町３丁目,294,229,252,2018-12-01
百人町４丁目,197,194,203,2018-12-01
大久保１丁目,1839,1103,1029,2018-12-01
大久保２丁目,2589,1648,1549,2018-12-01
大久保３丁目,373,278,324,2018-12-01
戸塚町１丁目,38,16,30,2018-12-01
西早稲田１丁目,706,346,456,2018-12-01
西早稲田２丁目,1153,559,685,2018-12-01
西早稲田３丁目,977,558,526,2018-12-01
高田馬場１丁目,692,418,379,2018-12-01
高田馬場２丁目,305,186,160,2018-12-01
高田馬場３丁目,994,629,521,2018-12-01
高田馬場４丁目,1093,735,576,2018-12-01
下落合１丁目,826,464,442,2018-12-01
下落合２丁目,317,220,179,2018-12-01
下落合３丁目,246,154,127,2018-12-01
下落合４丁目,439,256,222,2018-12-01
中落合１丁目,251,144,142,2018-12-01
中落合２丁目,314,208,179,2018-12-01
中落合３丁目,143,81,88,2018-12-01
中落合４丁目,185,97,107,2018-12-01
上落合１丁目,445,277,260,2018-12-01
上落合２丁目,369,215,195,2018-12-01
上落合３丁目,386,204,223,2018-12-01
西落合１丁目,220,116,129,2018-12-01
西落合２丁目,226,110,157,2018-12-01
西落合３丁目,132,67,82,2018-12-01
西落合４丁目,214,138,85,2018-12-01
中井１丁目,128,66,73,2018-12-01
中井２丁目,199,103,128,2018-12-01
北新宿１丁目,1575,1000,855,2018-12-01
北新宿２丁目,474,317,305,2018-12-01
北新宿３丁目,1508,928,866,2018-12-01
北新宿４丁目,1188,832,650,2018-12-01
西新宿１丁目,2,1,1,2018-12-01
西新宿２丁目,0,0,0,2018-12-01
西新宿３丁目,210,128,101,2018-12-01
西新宿４丁目,493,277,287,2018-12-01
西新宿５丁目,352,232,254,2018-12-01
西新宿６丁目,330,250,222,2018-12-01
西新宿７丁目,213,132,108,2018-12-01
西新宿８丁目,298,179,181,2018-12-01
四谷１丁目,18,14,8,2018-11-01
四谷２丁目,33,23,16,2018-11-01
四谷３丁目,28,25,13,2018-11-01
四谷４丁目,195,120,112,2018-11-01
四谷本塩町,17,9,11,2018-11-01
四谷三栄町,68,42,52,2018-11-01
四谷坂町,110,70,71,2018-11-01
若葉１丁目,88,70,49,2018-11-01
若葉２丁目,32,24,15,2018-11-01
若葉３丁目,48,28,33,2018-11-01
須賀町,40,23,20,2018-11-01
左門町,60,37,31,2018-11-01
信濃町,27,11,17,2018-11-01
南元町,147,87,87,2018-11-01
荒木町,157,94,93,2018-11-01
舟町,69,43,36,2018-11-01
愛住町,61,46,28,2018-11-01
大京町,117,85,64,2018-11-01
霞ヶ丘町,0,0,0,2018-11-01
内藤町,35,21,25,2018-11-01
片町,23,9,14,2018-11-01
新宿１丁目,328,189,197,2018-11-01
新宿２丁目,107,66,55,2018-11-01
新宿３丁目,9,7,8,2018-11-01
新宿４丁目,10,5,6,2018-11-01
新宿５丁目,274,156,161,2018-11-01
新宿６丁目,465,307,285,2018-11-01
新宿７丁目,836,551,519,2018-11-01
歌舞伎町１丁目,13,11,5,2018-11-01
歌舞伎町２丁目,389,209,273,2018-11-01
市谷田町１丁目,1,0,1,2018-11-01
市谷田町２丁目,14,14,14,2018-11-01
市谷田町３丁目,20,7,18,2018-11-01
市谷本村町,69,66,69,2018-11-01
市谷砂土原町１丁目,6,6,5,2018-11-01
市谷砂土原町２丁目,25,18,13,2018-11-01
市谷砂土原町３丁目,65,86,61,2018-11-01
市谷左内町,15,10,9,2018-11-01
市谷加賀町１丁目,0,0,0,2018-11-01
市谷加賀町２丁目,56,40,39,2018-11-01
市谷甲良町,11,10,12,2018-11-01
市谷船河原町,8,14,10,2018-11-01
市谷長延寺町,4,0,4,2018-11-01
市谷鷹匠町,0,0,0,2018-11-01
市谷山伏町,19,15,14,2018-11-01
市谷八幡町,2,1,1,2018-11-01
神楽坂１丁目,1,1,0,2018-11-01
神楽坂２丁目,11,5,6,2018-11-01
神楽坂３丁目,14,11,8,2018-11-01
神楽坂４丁目,4,2,3,2018-11-01
