町丁名,世帯数,男,女
四谷１丁目,19,16,8
四谷２丁目,24,13,14
四谷３丁目,25,15,14
四谷４丁目,206,111,118
四谷本塩町,19,11,10
四谷三栄町,64,44,41
四谷坂町,139,99,81
若葉１丁目,92,71,51
若葉２丁目,49,28,26
若葉３丁目,63,33,39
須賀町,47,35,20
左門町,76,39,39
信濃町,91,50,44
南元町,138,75,99
荒木町,134,89,90
舟町,54,30,29
愛住町,66,52,28
大京町,161,107,76
霞ヶ丘町,1,1,0
内藤町,58,38,41
片町,28,13,18
新宿１丁目,324,199,191
新宿２丁目,132,95,59
新宿３丁目,5,4,2
新宿４丁目,4,3,2
新宿５丁目,272,158,148
新宿６丁目,391,244,256
新宿７丁目,720,478,465
歌舞伎町１丁目,8,6,3
歌舞伎町２丁目,290,155,192
市谷田町１丁目,1,0,1
市谷田町２丁目,17,13,11
市谷田町３丁目,18,6,17
市谷本村町,80,74,67
市谷砂土原町１丁目,3,3,3
市谷砂土原町２丁目,17,15,6
市谷砂土原町３丁目,67,74,45
市谷左内町,11,8,8
市谷加賀町１丁目,7,6,9
市谷加賀町２丁目,69,44,50
市谷甲良町,35,24,20
市谷船河原町,5,9,8
市谷長延寺町,9,4,5
市谷鷹匠町,18,10,8
市谷山伏町,20,10,15
市谷八幡町,3,1,2
神楽坂１丁目,0,0,0
神楽坂２丁目,9,3,6
神楽坂３丁目,19,18,7
神楽坂４丁目,5,3,2
神楽坂５丁目,9,9,3
神楽坂６丁目,30,22,10
細工町,10,3,9
二十騎町,31,26,13
揚場町,1,1,0
津久戸町,2,1,1
東五軒町,84,42,49
西五軒町,129,79,65
赤城元町,9,5,6
南榎町,50,39,21
袋町,24,16,10
払方町,36,21,29
南町,16,15,6
北町,17,14,8
納戸町,47,34,19
南山伏町,35,23,22
北山伏町,39,19,27
白銀町,47,27,27
下宮比町,12,3,9
矢来町,157,92,87
若宮町,44,47,45
岩戸町,23,11,19
中町,14,13,6
箪笥町,40,25,20
横寺町,22,12,11
筑土八幡町,38,26,24
新小川町,160,93,86
神楽河岸,0,0,0
市谷薬王寺町,182,158,156
市谷柳町,56,41,27
市谷仲之町,147,160,153
赤城下町,50,30,27
天神町,76,38,42
榎町,37,17,23
東榎町,36,17,20
早稲田町,176,90,103
早稲田南町,85,50,46
馬場下町,30,21,14
原町１丁目,99,53,61
原町２丁目,58,38,40
原町３丁目,122,97,107
喜久井町,91,64,36
築地町,16,11,6
弁天町,201,120,117
中里町,11,6,10
山吹町,343,155,223
改代町,31,16,17
水道町,59,33,30
早稲田鶴巻町,647,346,374
住吉町,175,141,109
市谷台町,112,78,55
河田町,427,435,436
若松町,395,298,320
余丁町,194,143,123
戸山１丁目,153,92,99
戸山２丁目,356,201,366
戸山３丁目,71,46,39
富久町,350,251,252
百人町１丁目,1116,709,578
百人町２丁目,1349,965,772
百人町３丁目,354,316,305
百人町４丁目,218,191,242
大久保１丁目,1151,717,675
大久保２丁目,1841,1258,1138
大久保３丁目,450,317,348
戸塚町１丁目,49,27,30
西早稲田１丁目,865,485,465
西早稲田２丁目,1086,597,581
西早稲田３丁目,940,573,476
高田馬場１丁目,569,371,287
高田馬場２丁目,327,191,162
高田馬場３丁目,1010,617,527
高田馬場４丁目,963,654,512
下落合１丁目,731,424,392
下落合２丁目,358,263,178
下落合３丁目,261,165,151
下落合４丁目,380,209,203
中落合１丁目,362,238,180
中落合２丁目,349,230,188
中落合３丁目,152,86,95
中落合４丁目,132,78,85
上落合１丁目,320,231,198
上落合２丁目,331,188,187
上落合３丁目,385,221,211
西落合１丁目,184,95,116
西落合２丁目,204,136,125
西落合３丁目,119,67,71
西落合４丁目,87,48,52
中井１丁目,129,79,64
中井２丁目,172,90,110
北新宿１丁目,1312,881,727
北新宿２丁目,450,304,322
北新宿３丁目,1201,860,685
北新宿４丁目,1006,665,603
西新宿１丁目,2,1,1
西新宿２丁目,0,0,0
西新宿３丁目,206,128,112
西新宿４丁目,536,309,314
西新宿５丁目,282,191,194
西新宿６丁目,353,274,235
西新宿７丁目,226,141,121
西新宿８丁目,257,142,162
