町丁名,世帯数,男,女
四谷１丁目,20,17,6
四谷２丁目,19,9,12
四谷３丁目,33,18,19
四谷４丁目,213,120,123
四谷本塩町,18,7,13
四谷三栄町,65,45,44
四谷坂町,149,105,84
若葉１丁目,104,81,52
若葉２丁目,55,32,31
若葉３丁目,67,37,36
須賀町,52,33,26
左門町,84,50,42
信濃町,79,42,44
南元町,149,71,110
荒木町,152,101,107
舟町,70,36,40
愛住町,76,52,38
大京町,181,120,83
霞ヶ丘町,1,1,0
内藤町,54,34,39
片町,36,15,24
新宿１丁目,327,204,181
新宿２丁目,135,88,76
新宿３丁目,6,4,4
新宿４丁目,3,2,2
新宿５丁目,284,167,151
新宿６丁目,416,262,273
新宿７丁目,771,506,478
歌舞伎町１丁目,8,7,3
歌舞伎町２丁目,308,176,193
市谷田町１丁目,1,0,1
市谷田町２丁目,13,8,7
市谷田町３丁目,27,9,22
市谷本村町,101,79,84
市谷砂土原町１丁目,7,5,5
市谷砂土原町２丁目,17,16,8
市谷砂土原町３丁目,67,75,45
市谷左内町,13,10,8
市谷加賀町１丁目,6,6,8
市谷加賀町２丁目,71,46,45
市谷甲良町,34,22,20
市谷船河原町,5,9,8
市谷長延寺町,4,0,4
市谷鷹匠町,12,6,6
市谷山伏町,19,11,14
市谷八幡町,2,1,1
神楽坂１丁目,0,0,0
神楽坂２丁目,8,4,4
神楽坂３丁目,23,20,11
神楽坂４丁目,4,2,2
神楽坂５丁目,7,7,3
神楽坂６丁目,30,24,10
細工町,8,2,8
二十騎町,36,28,19
揚場町,1,1,0
津久戸町,2,1,1
東五軒町,98,52,51
西五軒町,145,91,69
赤城元町,9,3,6
南榎町,47,37,20
袋町,33,21,17
払方町,44,26,34
南町,14,13,7
北町,21,16,11
納戸町,66,50,27
南山伏町,30,21,23
北山伏町,36,21,20
白銀町,46,27,27
下宮比町,14,5,9
矢来町,152,94,80
若宮町,49,52,54
岩戸町,27,12,20
中町,17,16,6
箪笥町,31,23,13
横寺町,29,20,12
筑土八幡町,32,23,21
新小川町,167,92,97
神楽河岸,0,0,0
市谷薬王寺町,196,159,158
市谷柳町,71,45,34
市谷仲之町,158,165,163
赤城下町,81,51,42
天神町,84,46,44
榎町,48,27,25
東榎町,42,18,25
早稲田町,199,93,122
早稲田南町,84,44,46
馬場下町,34,27,18
原町１丁目,111,65,61
原町２丁目,61,41,41
原町３丁目,139,107,118
喜久井町,94,66,41
築地町,16,11,6
弁天町,237,144,140
中里町,16,10,12
山吹町,440,213,264
改代町,36,23,16
水道町,63,38,29
早稲田鶴巻町,705,386,401
住吉町,184,136,124
市谷台町,127,82,66
河田町,430,445,450
若松町,416,323,335
余丁町,213,151,130
戸山１丁目,166,97,102
戸山２丁目,377,222,395
戸山３丁目,74,47,42
富久町,374,274,264
百人町１丁目,1175,765,577
百人町２丁目,1429,999,810
百人町３丁目,469,390,361
百人町４丁目,227,200,254
大久保１丁目,1094,705,633
大久保２丁目,1881,1287,1171
大久保３丁目,495,342,388
戸塚町１丁目,53,34,29
西早稲田１丁目,943,558,476
西早稲田２丁目,1109,599,588
西早稲田３丁目,1048,636,532
高田馬場１丁目,642,451,304
高田馬場２丁目,357,208,182
高田馬場３丁目,1066,668,547
高田馬場４丁目,1004,683,526
下落合１丁目,692,401,385
下落合２丁目,391,298,197
下落合３丁目,287,193,163
下落合４丁目,432,248,219
中落合１丁目,403,270,211
中落合２丁目,382,247,212
中落合３丁目,214,130,119
中落合４丁目,198,102,125
上落合１丁目,374,255,225
上落合２丁目,379,206,224
上落合３丁目,410,226,242
西落合１丁目,229,123,138
西落合２丁目,227,142,140
西落合３丁目,120,79,63
西落合４丁目,92,55,51
中井１丁目,136,82,73
中井２丁目,196,99,127
北新宿１丁目,1359,914,747
北新宿２丁目,433,303,300
北新宿３丁目,1089,791,619
北新宿４丁目,1026,701,598
西新宿１丁目,2,1,1
西新宿２丁目,1,1,0
西新宿３丁目,234,140,123
西新宿４丁目,625,372,345
西新宿５丁目,353,235,256
西新宿６丁目,393,294,266
西新宿７丁目,249,148,125
西新宿８丁目,271,161,156
