町丁名,世帯数,男,女
四谷１丁目,18,14,8
四谷２丁目,13,9,10
四谷３丁目,19,12,9
四谷４丁目,170,99,94
四谷本塩町,15,8,10
四谷三栄町,64,43,35
四谷坂町,125,86,77
若葉１丁目,80,66,44
若葉２丁目,43,24,23
若葉３丁目,54,25,35
須賀町,43,29,20
左門町,65,38,31
信濃町,30,11,21
南元町,103,67,58
荒木町,119,76,73
舟町,55,30,29
愛住町,58,48,21
大京町,140,99,62
霞ヶ丘町,5,5,0
内藤町,45,24,30
片町,22,10,12
新宿１丁目,291,167,170
新宿２丁目,95,57,43
新宿３丁目,7,7,7
新宿４丁目,6,3,4
新宿５丁目,230,144,122
新宿６丁目,326,197,218
新宿７丁目,655,439,440
歌舞伎町１丁目,10,8,3
歌舞伎町２丁目,318,167,210
市谷田町１丁目,1,0,1
市谷田町２丁目,11,10,7
市谷田町３丁目,18,6,15
市谷本村町,67,61,66
市谷砂土原町１丁目,1,2,2
市谷砂土原町２丁目,18,14,8
市谷砂土原町３丁目,51,66,42
市谷左内町,11,7,9
市谷加賀町１丁目,4,5,5
市谷加賀町２丁目,58,39,42
市谷甲良町,32,24,18
市谷船河原町,5,6,11
市谷長延寺町,5,1,4
市谷鷹匠町,0,0,0
市谷山伏町,15,9,11
市谷八幡町,3,1,2
神楽坂１丁目,0,0,0
神楽坂２丁目,6,4,2
神楽坂３丁目,16,12,7
神楽坂４丁目,3,1,2
神楽坂５丁目,8,6,5
神楽坂６丁目,25,16,12
細工町,12,5,9
二十騎町,18,13,11
揚場町,2,2,0
津久戸町,3,2,1
東五軒町,66,32,41
西五軒町,63,47,32
赤城元町,5,3,3
南榎町,36,27,16
袋町,17,12,5
払方町,30,25,28
南町,18,19,9
北町,14,12,6
納戸町,38,26,19
南山伏町,8,7,3
北山伏町,27,14,16
白銀町,28,14,21
下宮比町,11,4,8
矢来町,104,67,59
若宮町,29,34,45
岩戸町,20,12,14
中町,9,8,6
箪笥町,16,10,9
横寺町,19,10,9
筑土八幡町,15,8,13
新小川町,88,47,54
神楽河岸,0,0,0
市谷薬王寺町,155,127,150
市谷柳町,38,26,25
市谷仲之町,137,154,154
赤城下町,41,24,20
天神町,41,20,23
榎町,16,3,13
東榎町,12,4,9
早稲田町,100,52,63
早稲田南町,50,32,24
馬場下町,28,9,21
原町１丁目,60,39,30
原町２丁目,46,36,35
原町３丁目,101,83,99
喜久井町,62,41,34
築地町,14,9,5
弁天町,131,77,82
中里町,10,3,7
山吹町,192,91,126
改代町,20,10,11
水道町,43,22,27
早稲田鶴巻町,395,212,245
住吉町,143,107,101
市谷台町,77,43,50
河田町,281,329,333
若松町,296,248,249
余丁町,170,122,120
戸山１丁目,118,71,78
戸山２丁目,322,160,309
戸山３丁目,73,47,38
富久町,288,202,214
百人町１丁目,983,641,520
百人町２丁目,1291,932,730
百人町３丁目,284,252,266
百人町４丁目,197,173,223
大久保１丁目,1166,701,686
大久保２丁目,1650,1120,1085
大久保３丁目,401,291,338
戸塚町１丁目,21,11,10
西早稲田１丁目,581,327,341
西早稲田２丁目,628,376,341
西早稲田３丁目,693,422,359
高田馬場１丁目,452,270,256
高田馬場２丁目,237,150,110
高田馬場３丁目,781,513,395
高田馬場４丁目,733,527,443
下落合１丁目,539,342,287
下落合２丁目,284,199,157
下落合３丁目,203,129,118
下落合４丁目,317,184,177
中落合１丁目,245,155,125
中落合２丁目,240,160,148
中落合３丁目,130,76,83
中落合４丁目,123,71,82
上落合１丁目,251,177,164
上落合２丁目,252,151,150
上落合３丁目,287,165,167
西落合１丁目,147,73,99
西落合２丁目,167,108,101
西落合３丁目,109,63,60
西落合４丁目,77,46,42
中井１丁目,109,68,56
中井２丁目,141,79,88
北新宿１丁目,1136,762,619
北新宿２丁目,366,255,277
北新宿３丁目,1031,720,628
北新宿４丁目,777,537,492
西新宿１丁目,3,2,1
西新宿２丁目,0,0,0
西新宿３丁目,193,120,96
西新宿４丁目,459,266,251
西新宿５丁目,235,150,186
西新宿６丁目,307,235,208
西新宿７丁目,171,105,93
西新宿８丁目,211,123,135
