町丁名,世帯数,男,女
四谷１丁目,266,226,286
四谷２丁目,252,190,215
四谷３丁目,266,175,208
四谷４丁目,2174,1715,1599
四谷本塩町,328,253,233
四谷三栄町,1048,906,968
四谷坂町,1578,1226,1156
若葉１丁目,1351,1217,1215
若葉２丁目,453,407,399
若葉３丁目,582,473,436
須賀町,771,649,648
左門町,1033,699,872
信濃町,522,374,478
南元町,1330,1101,1297
荒木町,1627,1188,1172
舟町,1036,689,764
愛住町,874,654,663
大京町,2326,1732,2019
霞ヶ丘町,0,0,0
内藤町,654,570,654
片町,306,217,199
新宿１丁目,2837,1991,1771
新宿２丁目,779,590,450
新宿３丁目,76,67,32
新宿４丁目,173,131,95
新宿５丁目,2013,1374,1069
新宿６丁目,2867,2056,1724
新宿７丁目,3664,2849,2650
歌舞伎町１丁目,143,108,51
歌舞伎町２丁目,1550,1226,520
市谷田町１丁目,15,9,14
市谷田町２丁目,317,250,327
市谷田町３丁目,184,150,165
市谷本村町,1733,1495,1053
市谷砂土原町１丁目,99,87,106
市谷砂土原町２丁目,247,187,239
市谷砂土原町３丁目,429,411,456
市谷左内町,249,212,247
市谷加賀町１丁目,244,298,343
市谷加賀町２丁目,945,728,979
市谷甲良町,444,359,433
市谷船河原町,70,79,81
市谷長延寺町,69,25,68
市谷鷹匠町,35,23,32
市谷山伏町,313,263,296
市谷八幡町,65,56,64
神楽坂１丁目,11,12,14
神楽坂２丁目,117,78,108
神楽坂３丁目,263,204,184
神楽坂４丁目,95,82,99
神楽坂５丁目,351,289,355
神楽坂６丁目,511,353,413
細工町,250,210,199
二十騎町,377,275,342
揚場町,60,50,54
津久戸町,59,40,43
東五軒町,1212,1031,1176
西五軒町,959,792,841
赤城元町,243,206,227
南榎町,667,649,712
袋町,421,393,391
払方町,507,442,493
南町,387,408,432
北町,518,449,526
納戸町,578,522,597
南山伏町,423,333,358
北山伏町,356,227,307
白銀町,746,605,759
下宮比町,183,102,138
矢来町,2404,2013,2233
若宮町,504,439,457
岩戸町,411,268,337
中町,247,245,234
箪笥町,435,287,340
横寺町,592,457,467
筑土八幡町,583,432,517
新小川町,2093,1676,1631
神楽河岸,0,0,0
市谷薬王寺町,2075,1508,1654
市谷柳町,921,595,719
市谷仲之町,1289,1048,1209
赤城下町,828,646,618
天神町,658,486,522
榎町,470,333,326
東榎町,248,161,168
早稲田町,765,510,608
早稲田南町,402,326,353
馬場下町,297,232,227
原町１丁目,810,659,725
原町２丁目,660,590,578
原町３丁目,1146,871,1015
喜久井町,1053,889,897
築地町,311,246,286
弁天町,1948,1572,1704
中里町,351,321,357
山吹町,2497,1745,1898
改代町,369,294,283
水道町,699,479,468
早稲田鶴巻町,3291,2346,2480
住吉町,1712,1228,1308
市谷台町,876,663,652
河田町,1210,1075,1044
若松町,3160,2436,2764
余丁町,2427,1851,1964
戸山１丁目,1373,1107,1163
戸山２丁目,3126,1830,2882
戸山３丁目,603,509,537
富久町,3914,3373,3280
百人町１丁目,1836,1376,877
百人町２丁目,2073,1523,1248
百人町３丁目,2314,2280,2507
百人町４丁目,1542,972,1340
大久保１丁目,1819,1289,1002
大久保２丁目,3746,2796,2418
大久保３丁目,2123,1988,2079
戸塚町１丁目,107,79,78
西早稲田１丁目,2993,2246,2414
西早稲田２丁目,3186,2550,2421
西早稲田３丁目,3287,2879,2828
高田馬場１丁目,2410,1933,1794
高田馬場２丁目,1088,874,702
高田馬場３丁目,3326,2521,2235
高田馬場４丁目,3337,2734,2525
下落合１丁目,1384,951,971
下落合２丁目,1880,1630,1720
下落合３丁目,2482,1911,2388
下落合４丁目,2344,1943,2075
中落合１丁目,2221,1673,1711
中落合２丁目,2640,2245,2392
中落合３丁目,2281,1881,2068
中落合４丁目,1589,1422,1393
上落合１丁目,3065,2458,2447
上落合２丁目,2962,2232,2159
上落合３丁目,2972,2206,2054
西落合１丁目,2799,2151,2261
西落合２丁目,2418,2003,2004
西落合３丁目,1825,1432,1595
西落合４丁目,1301,1060,1180
中井１丁目,1175,878,724
中井２丁目,1612,1499,1536
北新宿１丁目,4133,3044,2564
北新宿２丁目,2997,2529,2227
北新宿３丁目,3700,2818,2577
北新宿４丁目,3547,2603,2489
西新宿１丁目,26,23,20
西新宿２丁目,1,1,4
西新宿３丁目,1445,984,899
西新宿４丁目,4680,3445,3108
西新宿５丁目,2600,2011,1804
西新宿６丁目,2136,1685,1448
西新宿７丁目,1551,1187,854
西新宿８丁目,2030,1465,1355
