町丁名,世帯数,男,女
四谷１丁目,233,193,273
四谷２丁目,243,199,222
四谷３丁目,259,177,217
四谷４丁目,2084,1678,1554
四谷本塩町,257,211,205
四谷三栄町,1042,898,981
四谷坂町,1419,1086,1091
若葉１丁目,1353,1240,1213
若葉２丁目,415,373,388
若葉３丁目,562,434,444
須賀町,797,671,667
左門町,974,671,808
信濃町,568,401,506
南元町,1241,1094,1231
荒木町,1600,1179,1197
舟町,960,662,683
愛住町,876,687,681
大京町,2075,1563,1902
霞ヶ丘町,0,0,0
内藤町,708,640,580
片町,223,164,158
新宿１丁目,2753,1973,1754
新宿２丁目,795,612,466
新宿３丁目,104,89,51
新宿４丁目,218,179,105
新宿５丁目,1830,1293,991
新宿６丁目,2748,2004,1749
新宿７丁目,3628,2978,2720
歌舞伎町１丁目,167,131,58
歌舞伎町２丁目,1571,1250,547
市谷田町１丁目,17,9,18
市谷田町２丁目,331,240,339
市谷田町３丁目,192,155,190
市谷本村町,1737,1541,925
市谷砂土原町１丁目,105,98,120
市谷砂土原町２丁目,246,195,255
市谷砂土原町３丁目,426,411,459
市谷左内町,224,200,227
市谷加賀町１丁目,23,14,22
市谷加賀町２丁目,1010,694,1069
市谷甲良町,410,357,405
市谷船河原町,68,71,81
市谷長延寺町,92,47,85
市谷鷹匠町,17,19,20
市谷山伏町,282,251,265
市谷八幡町,62,52,64
神楽坂１丁目,12,12,16
神楽坂２丁目,129,83,118
神楽坂３丁目,285,223,206
神楽坂４丁目,90,75,90
神楽坂５丁目,387,304,400
神楽坂６丁目,556,379,472
細工町,262,211,219
二十騎町,373,308,350
揚場町,53,48,55
津久戸町,61,44,48
東五軒町,1106,986,1123
西五軒町,911,781,812
赤城元町,224,178,209
南榎町,689,667,691
袋町,371,318,334
払方町,477,459,513
南町,370,363,400
北町,506,480,503
納戸町,537,464,534
南山伏町,363,319,305
北山伏町,367,242,293
白銀町,719,596,743
下宮比町,148,93,121
矢来町,2477,2113,2443
若宮町,524,443,469
岩戸町,413,284,319
中町,259,245,259
箪笥町,404,275,318
横寺町,581,446,463
筑土八幡町,524,386,483
新小川町,1895,1552,1556
神楽河岸,0,0,0
市谷薬王寺町,1966,1473,1583
市谷柳町,841,579,668
市谷仲之町,1175,1032,1156
赤城下町,726,580,576
天神町,684,493,565
榎町,463,322,321
東榎町,205,139,147
早稲田町,739,524,587
早稲田南町,407,358,380
馬場下町,297,244,233
原町１丁目,822,641,736
原町２丁目,643,608,573
原町３丁目,1050,775,926
喜久井町,1032,923,926
築地町,315,246,284
弁天町,1866,1525,1607
中里町,342,321,355
山吹町,2196,1596,1743
改代町,372,312,281
水道町,629,443,458
早稲田鶴巻町,3311,2500,2553
住吉町,1639,1225,1278
市谷台町,813,677,643
河田町,1284,1111,1159
若松町,3163,2545,2750
余丁町,2398,1911,2014
戸山１丁目,1435,1136,1245
戸山２丁目,3175,1998,3043
戸山３丁目,486,412,405
富久町,3887,3390,3338
百人町１丁目,1922,1487,987
百人町２丁目,2044,1589,1231
百人町３丁目,2387,2387,2619
百人町４丁目,1485,997,1366
大久保１丁目,1854,1363,1112
大久保２丁目,3754,2889,2538
大久保３丁目,2088,1974,2184
戸塚町１丁目,101,74,86
西早稲田１丁目,2949,2310,2462
西早稲田２丁目,3077,2526,2365
西早稲田３丁目,3403,3044,2884
高田馬場１丁目,2278,1913,1717
高田馬場２丁目,1022,833,698
高田馬場３丁目,3353,2604,2270
高田馬場４丁目,3366,2820,2628
下落合１丁目,1284,924,869
下落合２丁目,1756,1521,1629
下落合３丁目,2366,1884,2293
下落合４丁目,2333,1976,2187
中落合１丁目,2045,1595,1626
中落合２丁目,2562,2244,2387
中落合３丁目,2296,1959,2103
中落合４丁目,1596,1455,1412
上落合１丁目,3026,2521,2461
上落合２丁目,3011,2338,2224
上落合３丁目,2905,2193,2078
西落合１丁目,2609,2119,2218
西落合２丁目,2419,2020,1995
西落合３丁目,1766,1400,1616
西落合４丁目,1199,1013,1136
中井１丁目,1178,926,746
中井２丁目,1570,1437,1547
北新宿１丁目,3945,2940,2630
北新宿２丁目,2799,2438,2192
北新宿３丁目,3741,2955,2669
北新宿４丁目,3504,2730,2520
西新宿１丁目,33,27,27
西新宿２丁目,2,2,5
西新宿３丁目,1482,982,1008
西新宿４丁目,4669,3538,3180
西新宿５丁目,2534,1994,1747
西新宿６丁目,1989,1574,1396
西新宿７丁目,1525,1173,879
西新宿８丁目,1944,1423,1318
