町丁名,世帯数,男,女
四谷１丁目,14,11,6
四谷２丁目,14,10,9
四谷３丁目,23,18,12
四谷４丁目,206,124,113
四谷本塩町,21,9,16
四谷三栄町,60,42,42
四谷坂町,131,86,80
若葉１丁目,77,59,43
若葉２丁目,34,22,19
若葉３丁目,59,27,43
須賀町,47,33,22
左門町,79,52,35
信濃町,60,27,33
南元町,108,72,62
荒木町,142,85,78
舟町,55,36,27
愛住町,63,49,25
大京町,133,94,66
霞ヶ丘町,2,2,0
内藤町,46,25,33
片町,27,12,16
新宿１丁目,300,157,180
新宿２丁目,102,62,50
新宿３丁目,9,8,7
新宿４丁目,8,4,5
新宿５丁目,265,157,145
新宿６丁目,388,249,252
新宿７丁目,713,494,463
歌舞伎町１丁目,12,10,4
歌舞伎町２丁目,403,212,274
市谷田町１丁目,1,0,1
市谷田町２丁目,13,13,11
市谷田町３丁目,19,6,16
市谷本村町,72,72,65
市谷砂土原町１丁目,3,5,2
市谷砂土原町２丁目,11,9,6
市谷砂土原町３丁目,58,73,52
市谷左内町,11,8,8
市谷加賀町１丁目,0,0,0
市谷加賀町２丁目,64,41,48
市谷甲良町,35,27,17
市谷船河原町,7,8,8
市谷長延寺町,6,0,6
市谷鷹匠町,0,0,0
市谷山伏町,16,12,11
市谷八幡町,2,1,1
神楽坂１丁目,1,1,0
神楽坂２丁目,9,4,5
神楽坂３丁目,12,8,7
神楽坂４丁目,5,2,4
神楽坂５丁目,13,9,5
神楽坂６丁目,27,18,13
細工町,11,4,9
二十騎町,26,18,17
揚場町,2,2,0
津久戸町,4,2,2
東五軒町,65,35,35
西五軒町,80,53,44
赤城元町,6,4,4
南榎町,42,31,24
袋町,13,10,6
払方町,36,30,33
南町,18,16,11
北町,11,9,5
納戸町,46,35,23
南山伏町,8,6,5
北山伏町,28,15,20
白銀町,35,23,18
下宮比町,8,4,5
矢来町,120,73,68
若宮町,35,46,44
岩戸町,22,12,14
中町,11,7,7
箪笥町,12,8,7
横寺町,16,7,9
筑土八幡町,13,7,11
新小川町,105,56,64
神楽河岸,0,0,0
市谷薬王寺町,168,134,143
市谷柳町,45,29,24
市谷仲之町,139,146,153
赤城下町,37,24,20
天神町,55,30,28
榎町,25,11,14
東榎町,33,17,17
早稲田町,122,67,70
早稲田南町,62,46,25
馬場下町,31,16,22
原町１丁目,87,47,58
原町２丁目,52,36,41
原町３丁目,133,122,127
喜久井町,75,51,42
築地町,16,12,4
弁天町,155,94,95
中里町,7,1,6
山吹町,249,115,157
改代町,29,14,16
水道町,44,26,27
早稲田鶴巻町,538,274,332
住吉町,146,99,104
市谷台町,87,57,48
河田町,313,345,385
若松町,331,276,278
余丁町,185,136,130
戸山１丁目,153,79,113
戸山２丁目,290,140,278
戸山３丁目,74,44,45
富久町,352,230,254
百人町１丁目,1130,711,604
百人町２丁目,1439,1028,812
百人町３丁目,281,236,269
百人町４丁目,190,175,204
大久保１丁目,1340,787,831
大久保２丁目,1992,1301,1307
大久保３丁目,384,281,330
戸塚町１丁目,33,18,18
西早稲田１丁目,662,346,425
西早稲田２丁目,804,434,462
西早稲田３丁目,734,419,416
高田馬場１丁目,506,303,309
高田馬場２丁目,260,155,134
高田馬場３丁目,807,537,409
高田馬場４丁目,848,593,501
下落合１丁目,576,339,308
下落合２丁目,300,189,184
下落合３丁目,222,138,128
下落合４丁目,311,174,171
中落合１丁目,253,160,129
中落合２丁目,257,180,144
中落合３丁目,125,77,75
中落合４丁目,145,84,90
上落合１丁目,337,224,203
上落合２丁目,276,155,166
上落合３丁目,347,184,200
西落合１丁目,163,76,115
西落合２丁目,189,112,117
西落合３丁目,128,75,68
西落合４丁目,76,46,39
中井１丁目,110,70,58
中井２丁目,166,93,100
北新宿１丁目,1257,874,686
北新宿２丁目,403,277,294
北新宿３丁目,1050,733,640
北新宿４丁目,929,624,568
西新宿１丁目,2,1,1
西新宿２丁目,0,0,0
西新宿３丁目,223,133,112
西新宿４丁目,492,278,287
西新宿５丁目,281,188,213
西新宿６丁目,333,264,218
西新宿７丁目,209,133,101
西新宿８丁目,237,148,142
