町丁名,世帯数,男,女
四谷１丁目,287,247,296
四谷２丁目,270,204,222
四谷３丁目,297,191,229
四谷４丁目,2358,1831,1732
四谷本塩町,342,259,244
四谷三栄町,1111,960,1019
四谷坂町,1702,1327,1238
若葉１丁目,1439,1305,1274
若葉２丁目,537,457,458
若葉３丁目,641,507,466
須賀町,803,686,669
左門町,1094,745,904
信濃町,581,405,508
南元町,1441,1168,1407
荒木町,1762,1303,1278
舟町,1110,726,803
愛住町,924,703,677
大京町,2462,1838,2088
霞ヶ丘町,1,1,0
内藤町,692,601,699
片町,335,228,213
新宿１丁目,3127,2203,1943
新宿２丁目,906,675,523
新宿３丁目,81,70,37
新宿４丁目,175,134,98
新宿５丁目,2276,1535,1219
新宿６丁目,3228,2323,1978
新宿７丁目,4380,3376,3131
歌舞伎町１丁目,146,112,52
歌舞伎町２丁目,1832,1409,712
市谷田町１丁目,15,9,15
市谷田町２丁目,327,256,335
市谷田町３丁目,209,159,184
市谷本村町,1747,1520,1122
市谷砂土原町１丁目,101,89,109
市谷砂土原町２丁目,266,206,248
市谷砂土原町３丁目,489,502,511
市谷左内町,261,227,252
市谷加賀町１丁目,248,308,353
市谷加賀町２丁目,986,779,1007
市谷甲良町,471,383,457
市谷船河原町,73,89,89
市谷長延寺町,71,23,72
市谷鷹匠町,53,35,38
市谷山伏町,330,274,308
市谷八幡町,66,57,64
神楽坂１丁目,11,12,14
神楽坂２丁目,128,83,117
神楽坂３丁目,277,221,192
神楽坂４丁目,96,83,99
神楽坂５丁目,362,300,360
神楽坂６丁目,535,381,418
細工町,252,210,206
二十騎町,406,306,359
揚場町,62,52,55
津久戸町,63,43,44
東五軒町,1287,1069,1219
西五軒町,1098,897,919
赤城元町,252,211,236
南榎町,697,683,734
袋町,443,420,411
払方町,536,466,520
南町,394,416,438
北町,530,461,544
納戸町,621,557,620
南山伏町,449,351,385
北山伏町,390,243,330
白銀町,780,628,784
下宮比町,198,107,151
矢来町,2564,2120,2335
若宮町,546,492,508
岩戸町,422,274,350
中町,265,263,244
箪笥町,470,314,356
横寺町,614,470,481
筑土八幡町,613,452,543
新小川町,2238,1765,1731
神楽河岸,0,0,0
市谷薬王寺町,2239,1665,1805
市谷柳町,986,637,754
市谷仲之町,1427,1204,1370
赤城下町,880,685,664
天神町,739,532,576
榎町,518,357,350
東榎町,295,181,198
早稲田町,945,599,720
早稲田南町,483,376,399
馬場下町,323,251,242
原町１丁目,913,725,783
原町２丁目,710,626,612
原町３丁目,1270,980,1120
喜久井町,1127,952,934
築地町,322,255,297
弁天町,2151,1702,1844
中里町,367,329,373
山吹町,2920,1960,2174
改代町,412,322,301
水道町,763,509,506
早稲田鶴巻町,4000,2752,2879
住吉町,1860,1361,1419
市谷台町,1007,750,726
河田町,1594,1514,1465
若松町,3530,2759,3124
余丁町,2600,2007,2096
戸山１丁目,1493,1179,1262
戸山２丁目,3328,2033,3248
戸山３丁目,665,552,576
富久町,4203,3635,3549
百人町１丁目,2965,2132,1457
百人町２丁目,3420,2516,2051
百人町３丁目,2621,2614,2829
百人町４丁目,1716,1173,1586
大久保１丁目,2856,1996,1660
大久保２丁目,5424,4040,3561
大久保３丁目,2528,2338,2461
戸塚町１丁目,149,103,104
西早稲田１丁目,3863,2789,2895
西早稲田２丁目,4194,3141,2972
西早稲田３丁目,4262,3489,3349
高田馬場１丁目,3015,2381,2084
高田馬場２丁目,1441,1084,891
高田馬場３丁目,4434,3227,2836
高田馬場４丁目,4317,3435,3065
下落合１丁目,2123,1381,1384
下落合２丁目,2236,1918,1920
下落合３丁目,2708,2072,2541
下落合４丁目,2773,2209,2306
中落合１丁目,2665,2006,1970
中落合２丁目,2987,2495,2596
中落合３丁目,2487,2019,2198
中落合４丁目,1749,1530,1515
上落合１丁目,3410,2719,2664
上落合２丁目,3308,2448,2380
上落合３丁目,3309,2415,2267
西落合１丁目,2972,2245,2369
西落合２丁目,2631,2154,2142
西落合３丁目,1930,1502,1656
西落合４丁目,1381,1110,1245
中井１丁目,1307,974,789
中井２丁目,1766,1574,1649
北新宿１丁目,5408,3949,3292
北新宿２丁目,3397,2855,2531
北新宿３丁目,4826,3677,3254
北新宿４丁目,4536,3298,3097
西新宿１丁目,28,23,22
西新宿２丁目,2,2,4
西新宿３丁目,1629,1112,996
西新宿４丁目,5212,3813,3476
西新宿５丁目,2949,2278,2074
西新宿６丁目,2473,1969,1723
西新宿７丁目,1777,1346,971
西新宿８丁目,2301,1651,1506
