町丁名,世帯数,男,女
四谷１丁目,265,217,291
四谷２丁目,255,210,226
四谷３丁目,295,204,233
四谷４丁目,2282,1817,1660
四谷本塩町,319,243,253
四谷三栄町,1085,937,1033
四谷坂町,1555,1216,1199
若葉１丁目,1428,1325,1263
若葉２丁目,439,387,408
若葉３丁目,645,492,516
須賀町,850,726,695
左門町,1043,712,858
信濃町,605,427,531
南元町,1384,1213,1350
荒木町,1706,1272,1269
舟町,1026,709,714
愛住町,927,720,719
大京町,2273,1745,2016
霞ヶ丘町,2,2,0
内藤町,749,675,620
片町,257,187,175
新宿１丁目,3086,2184,1964
新宿２丁目,927,687,523
新宿３丁目,100,85,59
新宿４丁目,214,172,108
新宿５丁目,2134,1485,1169
新宿６丁目,3129,2301,2018
新宿７丁目,4363,3519,3265
歌舞伎町１丁目,177,146,55
歌舞伎町２丁目,1909,1430,839
市谷田町１丁目,16,8,18
市谷田町２丁目,330,251,340
市谷田町３丁目,206,159,201
市谷本村町,1756,1577,1007
市谷砂土原町１丁目,109,100,122
市谷砂土原町２丁目,265,211,268
市谷砂土原町３丁目,478,499,521
市谷左内町,227,201,228
市谷加賀町１丁目,21,14,21
市谷加賀町２丁目,1001,724,1048
市谷甲良町,453,398,439
市谷船河原町,76,87,92
市谷長延寺町,97,48,89
市谷鷹匠町,15,14,16
市谷山伏町,296,268,276
市谷八幡町,61,54,63
神楽坂１丁目,12,13,15
神楽坂２丁目,133,83,122
神楽坂３丁目,291,235,211
神楽坂４丁目,98,83,99
神楽坂５丁目,390,315,402
神楽坂６丁目,564,380,476
細工町,256,209,222
二十騎町,404,328,362
揚場町,58,52,54
津久戸町,70,49,50
東五軒町,1149,1015,1170
西五軒町,1011,855,878
赤城元町,236,183,216
南榎町,733,703,727
袋町,370,327,343
払方町,517,506,548
南町,385,395,420
北町,520,491,532
納戸町,586,501,582
南山伏町,368,332,309
北山伏町,386,261,312
白銀町,748,620,764
下宮比町,155,93,125
矢来町,2558,2189,2493
若宮町,552,493,516
岩戸町,430,296,337
中町,267,261,270
箪笥町,426,286,333
横寺町,603,457,475
筑土八幡町,518,388,474
新小川町,2032,1646,1658
神楽河岸,0,0,0
市谷薬王寺町,2138,1643,1728
市谷柳町,879,599,691
市谷仲之町,1294,1186,1326
赤城下町,767,614,577
天神町,743,532,587
榎町,502,348,348
東榎町,273,168,192
早稲田町,858,591,673
早稲田南町,466,390,412
馬場下町,329,262,250
原町１丁目,893,694,781
原町２丁目,706,663,631
原町３丁目,1231,963,1124
喜久井町,1131,1007,991
築地町,324,264,283
弁天町,2027,1647,1734
中里町,342,316,359
山吹町,2549,1771,2003
改代町,421,345,304
水道町,720,502,504
早稲田鶴巻町,3961,2856,2958
住吉町,1815,1363,1429
市谷台町,897,725,694
河田町,1534,1418,1508
若松町,3470,2834,3073
余丁町,2541,2045,2119
戸山１丁目,1544,1209,1336
戸山２丁目,3259,2094,3255
戸山３丁目,551,448,448
富久町,4210,3652,3632
百人町１丁目,3195,2314,1671
百人町２丁目,3655,2750,2206
百人町３丁目,2624,2631,2920
百人町４丁目,1627,1178,1548
大久保１丁目,3245,2215,2032
大久保２丁目,5823,4351,3963
大久保３丁目,2299,2214,2442
戸塚町１丁目,136,92,111
西早稲田１丁目,3638,2684,2921
西早稲田２丁目,3969,3030,2900
西早稲田３丁目,4171,3503,3408
高田馬場１丁目,2883,2304,2076
高田馬場２丁目,1271,1001,827
高田馬場３丁目,4197,3170,2754
高田馬場４丁目,4302,3514,3180
下落合１丁目,2045,1399,1258
下落合２丁目,2045,1729,1819
下落合３丁目,2599,2089,2445
下落合４丁目,2691,2198,2393
中落合１丁目,2247,1736,1747
中落合２丁目,2828,2444,2543
中落合３丁目,2428,2029,2187
中落合４丁目,1755,1568,1514
上落合１丁目,3417,2794,2703
上落合２丁目,3352,2566,2466
上落合３丁目,3270,2413,2291
西落合１丁目,2774,2214,2332
西落合２丁目,2578,2094,2140
西落合３丁目,1912,1485,1691
西落合４丁目,1286,1099,1168
中井１丁目,1274,974,816
中井２丁目,1728,1555,1635
北新宿１丁目,5291,3891,3373
北新宿２丁目,3163,2758,2490
北新宿３丁目,4972,3821,3426
北新宿４丁目,4525,3436,3163
西新宿１丁目,34,27,28
西新宿２丁目,3,3,4
西新宿３丁目,1667,1128,1101
西新宿４丁目,5083,3803,3495
西新宿５丁目,2759,2163,1996
西新宿６丁目,2287,1852,1638
西新宿７丁目,1750,1330,1012
西新宿８丁目,2113,1565,1443
