町丁名,世帯数,男,女
四谷１丁目,283,236,313
四谷２丁目,289,221,237
四谷３丁目,283,188,222
四谷４丁目,2220,1758,1652
四谷本塩町,336,258,241
四谷三栄町,1102,958,1022
四谷坂町,1681,1337,1241
若葉１丁目,1404,1304,1251
若葉２丁目,490,438,437
若葉３丁目,633,493,484
須賀町,801,682,667
左門町,1069,736,877
信濃町,610,432,520
南元町,1420,1186,1398
荒木町,1710,1260,1262
舟町,1017,667,740
愛住町,921,707,708
大京町,2432,1826,2110
霞ヶ丘町,1,1,0
内藤町,688,610,678
片町,323,222,216
新宿１丁目,3178,2235,1985
新宿２丁目,915,688,502
新宿３丁目,83,78,38
新宿４丁目,187,155,97
新宿５丁目,2225,1531,1203
新宿６丁目,3111,2272,1932
新宿７丁目,4325,3373,3156
歌舞伎町１丁目,141,106,51
歌舞伎町２丁目,1871,1440,736
市谷田町１丁目,14,8,17
市谷田町２丁目,317,248,322
市谷田町３丁目,190,153,190
市谷本村町,1804,1572,1140
市谷砂土原町１丁目,104,96,111
市谷砂土原町２丁目,256,203,251
市谷砂土原町３丁目,471,479,497
市谷左内町,263,229,250
市谷加賀町１丁目,243,299,341
市谷加賀町２丁目,990,767,1030
市谷甲良町,483,410,459
市谷船河原町,79,95,99
市谷長延寺町,83,38,74
市谷鷹匠町,51,35,36
市谷山伏町,310,269,296
市谷八幡町,63,57,64
神楽坂１丁目,12,13,15
神楽坂２丁目,125,82,112
神楽坂３丁目,285,230,195
神楽坂４丁目,97,82,97
神楽坂５丁目,377,307,383
神楽坂６丁目,523,359,428
細工町,265,218,216
二十騎町,421,317,370
揚場町,59,49,53
津久戸町,58,42,44
東五軒町,1298,1092,1237
西五軒町,1071,874,915
赤城元町,263,220,241
南榎町,704,690,710
袋町,372,325,338
払方町,538,478,548
南町,392,427,444
北町,527,467,530
納戸町,550,491,554
南山伏町,426,343,369
北山伏町,398,250,340
白銀町,772,624,783
下宮比町,197,109,147
矢来町,2478,2067,2332
若宮町,530,485,497
岩戸町,424,281,353
中町,257,253,233
箪笥町,475,312,371
横寺町,637,475,495
筑土八幡町,617,457,536
新小川町,2077,1659,1634
神楽河岸,0,0,0
市谷薬王寺町,2097,1572,1711
市谷柳町,936,622,729
市谷仲之町,1358,1192,1334
赤城下町,869,678,649
天神町,722,520,551
榎町,495,329,352
東榎町,264,173,175
早稲田町,914,605,699
早稲田南町,460,372,393
馬場下町,323,248,243
原町１丁目,910,720,769
原町２丁目,689,628,614
原町３丁目,1229,952,1107
喜久井町,1138,972,959
築地町,328,257,304
弁天町,2078,1665,1809
中里町,360,330,364
山吹町,2775,1887,2086
改代町,399,312,306
水道町,761,510,511
早稲田鶴巻町,3933,2738,2880
住吉町,1836,1364,1405
市谷台町,941,717,707
河田町,1591,1491,1455
若松町,3483,2745,3087
余丁町,2555,1981,2072
戸山１丁目,1510,1191,1300
戸山２丁目,3361,2071,3292
戸山３丁目,654,540,570
富久町,4121,3601,3529
百人町１丁目,2900,2123,1478
百人町２丁目,3493,2616,2067
百人町３丁目,2605,2617,2848
百人町４丁目,1691,1165,1573
大久保１丁目,3034,2119,1771
大久保２丁目,5373,4033,3595
大久保３丁目,2520,2335,2512
戸塚町１丁目,174,119,113
西早稲田１丁目,3751,2705,2858
西早稲田２丁目,4289,3210,3042
西早稲田３丁目,4166,3458,3336
高田馬場１丁目,2926,2308,2088
高田馬場２丁目,1391,1069,864
高田馬場３丁目,4367,3222,2766
高田馬場４丁目,4252,3409,3065
下落合１丁目,2178,1454,1386
下落合２丁目,2125,1804,1828
下落合３丁目,2708,2114,2532
下落合４丁目,2720,2196,2327
中落合１丁目,2430,1860,1802
中落合２丁目,2913,2490,2552
中落合３丁目,2432,1987,2188
中落合４丁目,1729,1543,1492
上落合１丁目,3338,2670,2640
上落合２丁目,3308,2470,2397
上落合３丁目,3340,2461,2279
西落合１丁目,2916,2238,2380
西落合２丁目,2599,2125,2136
西落合３丁目,1911,1483,1700
西落合４丁目,1373,1117,1232
中井１丁目,1316,968,805
中井２丁目,1751,1597,1619
北新宿１丁目,5438,3974,3337
北新宿２丁目,3322,2800,2540
北新宿３丁目,4801,3678,3289
北新宿４丁目,4471,3313,3081
西新宿１丁目,30,24,24
西新宿２丁目,1,1,4
西新宿３丁目,1631,1119,1039
西新宿４丁目,5097,3783,3427
西新宿５丁目,2626,2070,1851
西新宿６丁目,2477,2001,1715
西新宿７丁目,1709,1297,962
西新宿８丁目,2278,1646,1542
