町丁名,世帯数,男,女
四谷１丁目,18,15,9
四谷２丁目,23,19,13
四谷３丁目,19,11,12
四谷４丁目,182,100,106
四谷本塩町,18,13,11
四谷三栄町,67,45,45
四谷坂町,143,98,89
若葉１丁目,88,72,47
若葉２丁目,47,27,24
若葉３丁目,58,30,37
須賀町,46,31,19
左門町,62,30,35
信濃町,54,25,32
南元町,117,72,69
荒木町,141,86,87
舟町,73,42,34
愛住町,76,53,32
大京町,153,101,72
霞ヶ丘町,1,1,0
内藤町,44,26,29
片町,24,9,18
新宿１丁目,319,194,180
新宿２丁目,102,69,41
新宿３丁目,6,5,5
新宿４丁目,5,3,3
新宿５丁目,254,153,133
新宿６丁目,368,247,230
新宿７丁目,701,467,455
歌舞伎町１丁目,9,8,2
歌舞伎町２丁目,329,181,202
市谷田町１丁目,1,0,1
市谷田町２丁目,11,11,7
市谷田町３丁目,16,5,16
市谷本村町,68,64,67
市谷砂土原町１丁目,1,2,2
市谷砂土原町２丁目,16,13,7
市谷砂土原町３丁目,57,67,43
市谷左内町,13,9,9
市谷加賀町１丁目,6,6,7
市谷加賀町２丁目,61,39,44
市谷甲良町,30,23,21
市谷船河原町,6,7,7
市谷長延寺町,5,2,3
市谷鷹匠町,17,12,5
市谷山伏町,15,9,11
市谷八幡町,3,1,2
神楽坂１丁目,0,0,0
神楽坂２丁目,8,4,4
神楽坂３丁目,15,14,6
神楽坂４丁目,4,2,2
神楽坂５丁目,7,6,4
神楽坂６丁目,27,19,10
細工町,12,4,10
二十騎町,24,19,14
揚場町,2,2,0
津久戸町,3,2,1
東五軒町,87,46,49
西五軒町,90,61,47
赤城元町,9,5,6
南榎町,39,31,15
袋町,21,14,8
払方町,30,19,25
南町,16,16,7
北町,18,14,9
納戸町,38,28,17
南山伏町,12,11,5
北山伏町,31,16,21
白銀町,37,20,28
下宮比町,14,4,10
矢来町,109,68,62
若宮町,33,36,40
岩戸町,22,12,16
中町,8,9,5
箪笥町,21,14,10
横寺町,17,9,8
筑土八幡町,34,21,22
新小川町,105,56,67
神楽河岸,0,0,0
市谷薬王寺町,170,127,154
市谷柳町,47,32,28
市谷仲之町,143,160,152
赤城下町,42,28,18
天神町,50,24,27
榎町,18,4,14
東榎町,18,10,9
早稲田町,146,73,88
早稲田南町,59,38,28
馬場下町,27,15,17
原町１丁目,90,47,52
原町２丁目,51,38,37
原町３丁目,108,92,99
喜久井町,76,50,38
築地町,14,10,5
弁天町,163,96,102
中里町,9,3,6
山吹町,281,135,177
改代町,33,17,17
水道町,54,28,34
早稲田鶴巻町,553,298,321
住吉町,157,119,107
市谷台町,88,56,50
河田町,344,374,362
若松町,355,284,286
余丁町,175,118,119
戸山１丁目,134,78,92
戸山２丁目,338,184,332
戸山３丁目,76,49,38
富久町,309,215,223
百人町１丁目,1078,694,572
百人町２丁目,1441,1027,797
百人町３丁目,332,289,294
百人町４丁目,217,193,238
大久保１丁目,1284,772,748
大久保２丁目,1834,1242,1140
大久保３丁目,420,298,339
戸塚町１丁目,51,29,32
西早稲田１丁目,746,421,407
西早稲田２丁目,951,527,509
西早稲田３丁目,831,494,433
高田馬場１丁目,532,345,272
高田馬場２丁目,320,187,163
高田馬場３丁目,950,600,472
高田馬場４丁目,900,630,498
下落合１丁目,707,416,374
下落合２丁目,344,246,171
下落合３丁目,262,169,143
下落合４丁目,348,207,183
中落合１丁目,310,200,157
中落合２丁目,289,187,176
中落合３丁目,147,88,93
中落合４丁目,141,86,85
上落合１丁目,289,209,169
上落合２丁目,279,163,158
上落合３丁目,354,198,198
西落合１丁目,166,96,98
西落合２丁目,196,126,121
西落合３丁目,130,70,78
西落合４丁目,80,45,48
中井１丁目,127,80,60
中井２丁目,144,99,76
北新宿１丁目,1402,931,754
北新宿２丁目,410,263,311
北新宿３丁目,1192,822,688
北新宿４丁目,962,656,571
西新宿１丁目,3,2,1
西新宿２丁目,0,0,0
西新宿３丁目,181,117,92
西新宿４丁目,513,310,272
西新宿５丁目,259,180,179
西新宿６丁目,327,246,215
西新宿７丁目,209,130,112
西新宿８丁目,215,120,145
