町丁名,世帯数,男,女
四谷１丁目,272,225,311
四谷２丁目,251,202,212
四谷３丁目,260,170,208
四谷４丁目,2058,1676,1541
四谷本塩町,307,234,234
四谷三栄町,1033,901,977
四谷坂町,1515,1207,1126
若葉１丁目,1343,1236,1204
若葉２丁目,449,419,416
若葉３丁目,569,460,437
須賀町,773,655,659
左門町,1013,697,846
信濃町,508,380,465
南元町,1277,1093,1282
荒木町,1592,1188,1170
舟町,957,653,697
愛住町,837,657,676
大京町,2261,1705,2020
霞ヶ丘町,0,0,0
内藤町,637,564,617
片町,268,195,183
新宿１丁目,2918,2076,1803
新宿２丁目,830,616,474
新宿３丁目,90,81,41
新宿４丁目,194,159,103
新宿５丁目,1852,1298,995
新宿６丁目,2805,2041,1715
新宿７丁目,3652,2912,2704
歌舞伎町１丁目,139,108,46
歌舞伎町２丁目,1576,1249,538
市谷田町１丁目,13,7,15
市谷田町２丁目,322,247,324
市谷田町３丁目,178,153,174
市谷本村町,1706,1482,1066
市谷砂土原町１丁目,102,98,108
市谷砂土原町２丁目,253,202,254
市谷砂土原町３丁目,431,419,456
市谷左内町,245,218,235
市谷加賀町１丁目,236,279,324
市谷加賀町２丁目,918,717,949
市谷甲良町,447,379,427
市谷船河原町,76,84,94
市谷長延寺町,78,34,73
市谷鷹匠町,19,15,19
市谷山伏町,288,256,276
市谷八幡町,65,57,63
神楽坂１丁目,11,12,15
神楽坂２丁目,119,75,111
神楽坂３丁目,274,219,197
神楽坂４丁目,91,75,93
神楽坂５丁目,362,297,381
神楽坂６丁目,504,335,432
細工町,256,212,206
二十騎町,393,292,361
揚場町,54,46,51
津久戸町,58,40,45
東五軒町,1180,1031,1154
西五軒町,965,802,855
赤城元町,242,194,228
南榎町,674,668,688
袋町,360,311,342
払方町,502,465,506
南町,389,412,435
北町,525,471,539
納戸町,513,465,527
南山伏町,379,313,330
北山伏町,371,240,309
白銀町,718,573,761
下宮比町,179,102,136
矢来町,2388,2024,2309
若宮町,511,447,453
岩戸町,412,296,326
中町,256,248,245
箪笥町,434,290,334
横寺町,627,472,478
筑土八幡町,513,384,460
新小川町,1973,1609,1592
神楽河岸,0,0,0
市谷薬王寺町,1964,1450,1572
市谷柳町,863,573,685
市谷仲之町,1195,1033,1169
赤城下町,820,642,626
天神町,662,497,525
榎町,468,322,330
東榎町,208,134,151
早稲田町,770,527,606
早稲田南町,416,341,382
馬場下町,312,245,239
原町１丁目,781,647,690
原町２丁目,645,576,585
原町３丁目,1142,865,1020
喜久井町,1071,928,925
築地町,314,237,292
弁天町,1868,1484,1653
中里町,359,332,366
山吹町,2448,1716,1892
改代町,392,311,291
水道町,713,482,483
早稲田鶴巻町,3378,2429,2579
住吉町,1699,1250,1287
市谷台町,833,654,652
河田町,1209,1065,1073
若松町,3081,2367,2725
余丁町,2385,1891,1947
戸山１丁目,1401,1114,1220
戸山２丁目,3169,1926,2955
戸山３丁目,575,488,513
富久町,3845,3368,3332
百人町１丁目,1907,1475,932
百人町２丁目,2126,1599,1281
百人町３丁目,2346,2342,2597
百人町４丁目,1549,1002,1364
大久保１丁目,1918,1347,1114
大久保２丁目,3678,2762,2450
大久保３丁目,2204,2061,2200
戸塚町１丁目,117,84,85
西早稲田１丁目,2992,2283,2443
西早稲田２丁目,3274,2652,2457
西早稲田３丁目,3366,2989,2899
高田馬場１丁目,2362,1941,1774
高田馬場２丁目,1023,851,685
高田馬場３丁目,3302,2551,2211
高田馬場４丁目,3382,2802,2587
下落合１丁目,1472,1037,1015
下落合２丁目,1816,1584,1648
下落合３丁目,2475,1945,2380
下落合４丁目,2358,1968,2144
中落合１丁目,2106,1630,1643
中落合２丁目,2623,2288,2379
中落合３丁目,2344,1936,2137
中落合４丁目,1613,1485,1425
上落合１丁目,3038,2464,2465
上落合２丁目,3081,2342,2276
上落合３丁目,2941,2203,2072
西落合１丁目,2755,2171,2256
西落合２丁目,2398,1978,1986
西落合３丁目,1790,1419,1610
西落合４丁目,1290,1068,1185
中井１丁目,1184,898,741
中井２丁目,1597,1495,1528
北新宿１丁目,4023,2979,2556
北新宿２丁目,2893,2503,2185
北新宿３丁目,3758,2906,2648
北新宿４丁目,3577,2646,2564
西新宿１丁目,30,23,25
西新宿２丁目,2,1,5
西新宿３丁目,1402,989,897
西新宿４丁目,4625,3470,3126
西新宿５丁目,2406,1880,1675
西新宿６丁目,2205,1739,1509
西新宿７丁目,1559,1190,883
西新宿８丁目,2076,1508,1395
