町丁名,世帯数,男,女
四谷１丁目,290,249,308
四谷２丁目,273,204,225
四谷３丁目,319,209,238
四谷４丁目,2355,1819,1717
四谷本塩町,342,257,245
四谷三栄町,1136,973,1034
四谷坂町,1698,1325,1232
若葉１丁目,1443,1305,1276
若葉２丁目,569,478,474
若葉３丁目,650,511,469
須賀町,806,684,664
左門町,1106,743,907
信濃町,582,393,504
南元町,1448,1170,1400
荒木町,1773,1297,1295
舟町,1123,739,809
愛住町,955,724,696
大京町,2505,1836,2114
霞ヶ丘町,1,1,0
内藤町,695,600,698
片町,356,240,227
新宿１丁目,3126,2196,1940
新宿２丁目,911,685,515
新宿３丁目,79,68,37
新宿４丁目,174,132,98
新宿５丁目,2292,1524,1232
新宿６丁目,3213,2296,1965
新宿７丁目,4441,3399,3167
歌舞伎町１丁目,148,114,53
歌舞伎町２丁目,1824,1407,705
市谷田町１丁目,15,9,14
市谷田町２丁目,331,254,344
市谷田町３丁目,207,154,183
市谷本村町,1772,1537,1108
市谷砂土原町１丁目,105,93,111
市谷砂土原町２丁目,269,211,249
市谷砂土原町３丁目,509,527,528
市谷左内町,268,233,254
市谷加賀町１丁目,248,307,352
市谷加賀町２丁目,1028,776,1040
市谷甲良町,471,385,458
市谷船河原町,73,88,87
市谷長延寺町,73,24,73
市谷鷹匠町,53,37,36
市谷山伏町,329,269,308
市谷八幡町,67,58,64
神楽坂１丁目,11,12,14
神楽坂２丁目,132,87,119
神楽坂３丁目,286,226,195
神楽坂４丁目,94,83,94
神楽坂５丁目,372,308,369
神楽坂６丁目,533,381,415
細工町,252,208,206
二十騎町,413,312,361
揚場町,62,51,50
津久戸町,64,43,44
東五軒町,1314,1094,1235
西五軒町,1096,889,923
赤城元町,256,210,238
南榎町,701,680,730
袋町,443,423,418
払方町,544,469,527
南町,387,407,430
北町,531,467,537
納戸町,636,569,632
南山伏町,446,349,391
北山伏町,394,248,329
白銀町,787,630,793
下宮比町,197,106,149
矢来町,2574,2092,2311
若宮町,565,494,515
岩戸町,421,275,350
中町,264,266,243
箪笥町,469,309,357
横寺町,610,467,478
筑土八幡町,632,453,563
新小川町,2271,1792,1734
神楽河岸,0,0,0
市谷薬王寺町,2225,1650,1794
市谷柳町,1010,646,772
市谷仲之町,1440,1200,1379
赤城下町,928,718,674
天神町,777,549,602
榎町,527,358,357
東榎町,299,176,203
早稲田町,959,602,731
早稲田南町,504,385,405
馬場下町,310,240,235
原町１丁目,919,723,781
原町２丁目,712,635,608
原町３丁目,1266,965,1118
喜久井町,1157,972,946
築地町,325,255,299
弁天町,2239,1814,1944
中里町,360,323,359
山吹町,2951,1976,2178
改代町,419,325,297
水道町,761,505,504
早稲田鶴巻町,4070,2791,2902
住吉町,1870,1364,1417
市谷台町,1036,758,745
河田町,1584,1474,1455
若松町,3569,2777,3138
余丁町,2633,2000,2114
戸山１丁目,1573,1197,1307
戸山２丁目,3340,2008,3263
戸山３丁目,678,561,579
富久町,4229,3617,3547
百人町１丁目,3039,2187,1488
百人町２丁目,3543,2586,2105
百人町３丁目,2842,2736,2877
百人町４丁目,1701,1166,1588
大久保１丁目,2906,2032,1661
大久保２丁目,5539,4075,3642
大久保３丁目,2534,2341,2483
戸塚町１丁目,157,108,108
西早稲田１丁目,3934,2815,2920
西早稲田２丁目,4370,3203,3079
西早稲田３丁目,4400,3545,3413
高田馬場１丁目,3039,2386,2111
高田馬場２丁目,1455,1097,882
高田馬場３丁目,4463,3250,2817
高田馬場４丁目,4394,3477,3127
下落合１丁目,2169,1400,1415
下落合２丁目,2272,1948,1946
下落合３丁目,2742,2091,2547
下落合４丁目,2791,2224,2292
中落合１丁目,2683,2019,1997
中落合２丁目,3019,2506,2588
中落合３丁目,2529,2053,2208
中落合４丁目,1773,1527,1544
上落合１丁目,3447,2735,2674
上落合２丁目,3335,2471,2376
上落合３丁目,3386,2426,2319
西落合１丁目,3003,2280,2375
西落合２丁目,2672,2174,2142
西落合３丁目,1958,1531,1652
西落合４丁目,1393,1124,1230
中井１丁目,1326,979,801
中井２丁目,1813,1605,1673
北新宿１丁目,5509,3990,3331
北新宿２丁目,3421,2876,2527
北新宿３丁目,4949,3731,3291
北新宿４丁目,4563,3320,3088
西新宿１丁目,29,24,22
西新宿２丁目,2,2,4
西新宿３丁目,1619,1108,989
西新宿４丁目,5294,3849,3512
西新宿５丁目,2989,2300,2102
西新宿６丁目,2488,1968,1740
西新宿７丁目,1789,1349,976
西新宿８丁目,2325,1651,1538
