町丁名,世帯数,男,女
四谷１丁目,17,15,8
四谷２丁目,28,15,18
四谷３丁目,22,13,13
四谷４丁目,196,109,113
四谷本塩町,19,10,11
四谷三栄町,69,44,45
四谷坂町,142,99,84
若葉１丁目,96,77,51
若葉２丁目,51,31,25
若葉３丁目,59,31,38
須賀町,45,32,22
左門町,74,35,42
信濃町,83,47,39
南元町,131,73,82
荒木町,141,88,86
舟町,69,39,33
愛住町,67,55,26
大京町,157,102,76
霞ヶ丘町,1,1,0
内藤町,47,29,33
片町,27,11,19
新宿１丁目,345,207,202
新宿２丁目,117,84,46
新宿３丁目,5,4,2
新宿４丁目,5,4,2
新宿５丁目,273,165,144
新宿６丁目,383,247,244
新宿７丁目,706,476,450
歌舞伎町１丁目,8,6,3
歌舞伎町２丁目,302,165,193
市谷田町１丁目,1,0,1
市谷田町２丁目,13,12,7
市谷田町３丁目,18,6,17
市谷本村町,73,70,68
市谷砂土原町１丁目,3,3,3
市谷砂土原町２丁目,17,14,7
市谷砂土原町３丁目,58,65,43
市谷左内町,12,9,8
市谷加賀町１丁目,6,6,7
市谷加賀町２丁目,65,40,53
市谷甲良町,31,26,15
市谷船河原町,6,10,7
市谷長延寺町,10,6,4
市谷鷹匠町,18,12,6
市谷山伏町,17,9,13
市谷八幡町,3,1,2
神楽坂１丁目,0,0,0
神楽坂２丁目,6,3,3
神楽坂３丁目,16,15,7
神楽坂４丁目,5,3,2
神楽坂５丁目,9,8,4
神楽坂６丁目,32,24,10
細工町,13,5,10
二十騎町,27,22,14
揚場町,1,1,0
津久戸町,2,1,1
東五軒町,87,47,49
西五軒町,119,80,58
赤城元町,9,5,6
南榎町,44,35,18
袋町,21,13,10
払方町,37,24,28
南町,15,14,6
北町,21,17,9
納戸町,45,32,20
南山伏町,22,19,13
北山伏町,40,18,28
白銀町,43,25,28
下宮比町,11,4,7
矢来町,135,83,74
若宮町,40,48,44
岩戸町,23,12,18
中町,11,12,5
箪笥町,34,20,18
横寺町,17,8,9
筑土八幡町,35,23,22
新小川町,130,69,74
神楽河岸,0,0,0
市谷薬王寺町,173,137,154
市谷柳町,49,34,28
市谷仲之町,146,162,155
赤城下町,47,29,24
天神町,69,31,40
榎町,25,7,18
東榎町,33,14,20
早稲田町,164,88,94
早稲田南町,73,46,37
馬場下町,24,16,13
原町１丁目,96,53,53
原町２丁目,59,45,38
原町３丁目,117,96,102
喜久井町,87,60,39
築地町,14,10,4
弁天町,184,114,109
中里町,9,3,6
山吹町,328,158,206
改代町,33,16,19
水道町,52,30,26
早稲田鶴巻町,614,334,347
住吉町,160,124,107
市谷台町,108,68,59
河田町,390,404,396
若松町,401,312,317
余丁町,184,125,121
戸山１丁目,151,84,105
戸山２丁目,345,184,347
戸山３丁目,70,47,36
富久町,326,229,235
百人町１丁目,1105,714,581
百人町２丁目,1404,1010,776
百人町３丁目,333,299,294
百人町４丁目,210,186,233
大久保１丁目,1272,792,723
大久保２丁目,1844,1236,1173
大久保３丁目,430,301,350
戸塚町１丁目,64,37,39
西早稲田１丁目,835,471,452
西早稲田２丁目,1073,586,577
西早稲田３丁目,880,521,459
高田馬場１丁目,571,368,294
高田馬場２丁目,327,201,162
高田馬場３丁目,1078,672,545
高田馬場４丁目,928,642,498
下落合１丁目,737,437,384
下落合２丁目,344,247,179
下落合３丁目,258,165,141
下落合４丁目,376,213,204
中落合１丁目,338,228,164
中落合２丁目,334,220,188
中落合３丁目,154,91,100
中落合４丁目,144,93,80
上落合１丁目,308,222,182
上落合２丁目,311,178,176
上落合３丁目,378,212,209
西落合１丁目,174,97,104
西落合２丁目,206,131,127
西落合３丁目,120,62,76
西落合４丁目,84,48,49
中井１丁目,128,79,64
中井２丁目,152,99,82
北新宿１丁目,1395,924,769
北新宿２丁目,437,286,319
北新宿３丁目,1181,825,677
北新宿４丁目,948,649,562
西新宿１丁目,2,1,1
西新宿２丁目,0,0,0
西新宿３丁目,191,124,99
西新宿４丁目,540,325,292
西新宿５丁目,268,188,184
西新宿６丁目,351,270,235
西新宿７丁目,204,129,108
西新宿８丁目,224,141,141
