町丁名,世帯数,男,女
四谷１丁目,278,225,301
四谷２丁目,244,196,222
四谷３丁目,285,194,225
四谷４丁目,2258,1807,1640
四谷本塩町,322,249,253
四谷三栄町,1103,951,1045
四谷坂町,1582,1242,1210
若葉１丁目,1426,1308,1273
若葉２丁目,494,452,451
若葉３丁目,655,498,519
須賀町,848,724,691
左門町,1101,748,904
信濃町,551,391,492
南元町,1317,1169,1298
荒木町,1715,1277,1290
舟町,1001,700,699
愛住町,912,718,722
大京町,2372,1786,2102
霞ヶ丘町,2,2,0
内藤町,707,623,642
片町,262,200,172
新宿１丁目,3047,2156,1927
新宿２丁目,937,697,522
新宿３丁目,96,86,52
新宿４丁目,209,168,109
新宿５丁目,2098,1466,1137
新宿６丁目,3100,2253,1989
新宿７丁目,4252,3428,3183
歌舞伎町１丁目,173,143,52
歌舞伎町２丁目,1953,1484,828
市谷田町１丁目,14,8,16
市谷田町２丁目,334,256,345
市谷田町３丁目,210,167,196
市谷本村町,1720,1524,1030
市谷砂土原町１丁目,103,93,119
市谷砂土原町２丁目,260,214,258
市谷砂土原町３丁目,476,497,511
市谷左内町,222,194,227
市谷加賀町１丁目,21,14,23
市谷加賀町２丁目,1000,748,1032
市谷甲良町,475,416,441
市谷船河原町,76,86,89
市谷長延寺町,90,43,80
市谷鷹匠町,13,11,15
市谷山伏町,311,268,286
市谷八幡町,61,55,65
神楽坂１丁目,12,13,15
神楽坂２丁目,126,79,111
神楽坂３丁目,283,227,204
神楽坂４丁目,97,83,99
神楽坂５丁目,384,310,406
神楽坂６丁目,555,372,458
細工町,260,221,219
二十騎町,414,333,368
揚場町,60,51,55
津久戸町,67,44,53
東五軒町,1210,1035,1211
西五軒町,1039,876,901
赤城元町,231,177,216
南榎町,738,724,726
袋町,367,321,339
払方町,516,491,544
南町,402,425,442
北町,523,495,535
納戸町,570,494,555
南山伏町,365,323,308
北山伏町,393,263,323
白銀町,733,592,762
下宮比町,162,95,126
矢来町,2563,2178,2478
若宮町,554,498,513
岩戸町,426,307,330
中町,268,254,267
箪笥町,442,302,330
横寺町,622,467,495
筑土八幡町,506,380,464
新小川町,2028,1638,1657
神楽河岸,0,0,0
市谷薬王寺町,2140,1666,1720
市谷柳町,883,600,695
市谷仲之町,1307,1207,1350
赤城下町,771,619,577
天神町,728,531,573
榎町,488,338,342
東榎町,250,157,176
早稲田町,885,596,694
早稲田南町,460,381,399
馬場下町,333,261,261
原町１丁目,867,696,756
原町２丁目,688,635,614
原町３丁目,1255,968,1140
喜久井町,1139,1004,987
築地町,306,247,279
弁天町,1994,1609,1733
中里町,352,322,369
山吹町,2591,1821,2018
改代町,426,350,302
水道町,729,492,510
早稲田鶴巻町,3826,2752,2901
住吉町,1830,1372,1420
市谷台町,898,713,692
河田町,1539,1440,1510
若松町,3461,2783,3067
余丁町,2498,2033,2082
戸山１丁目,1599,1198,1386
戸山２丁目,3234,2057,3204
戸山３丁目,640,534,550
富久町,4177,3613,3604
百人町１丁目,2940,2169,1537
百人町２丁目,3369,2554,2052
百人町３丁目,2585,2580,2909
百人町４丁目,1616,1152,1541
大久保１丁目,3088,2146,1925
大久保２丁目,5450,4099,3752
大久保３丁目,2442,2287,2526
戸塚町１丁目,137,89,109
西早稲田１丁目,3592,2660,2889
西早稲田２丁目,3681,2946,2684
西早稲田３丁目,4046,3430,3334
高田馬場１丁目,2756,2225,2032
高田馬場２丁目,1283,1011,839
高田馬場３丁目,4111,3127,2682
高田馬場４丁目,4180,3427,3109
下落合１丁目,1878,1265,1215
下落合２丁目,2041,1714,1806
下落合３丁目,2575,2061,2454
下落合４丁目,2644,2163,2351
中落合１丁目,2339,1810,1771
中落合２丁目,2783,2427,2513
中落合３丁目,2423,2012,2189
中落合４丁目,1733,1554,1521
上落合１丁目,3352,2731,2674
上落合２丁目,3303,2517,2431
上落合３丁目,3255,2404,2286
西落合１丁目,2859,2248,2375
西落合２丁目,2577,2107,2134
西落合３丁目,1915,1486,1699
西落合４丁目,1283,1099,1170
中井１丁目,1256,984,778
中井２丁目,1719,1562,1615
北新宿１丁目,5090,3757,3256
北新宿２丁目,3102,2720,2432
北新宿３丁目,4767,3744,3294
北新宿４丁目,4355,3297,3098
西新宿１丁目,33,25,28
西新宿２丁目,2,2,4
西新宿３丁目,1648,1127,1071
西新宿４丁目,5066,3793,3484
西新宿５丁目,2713,2114,1951
西新宿６丁目,2330,1895,1649
西新宿７丁目,1749,1327,996
西新宿８丁目,2170,1592,1497
