町丁名,世帯数,男,女
四谷１丁目,245,205,274
四谷２丁目,269,211,239
四谷３丁目,282,206,229
四谷４丁目,2233,1800,1655
四谷本塩町,265,216,211
四谷三栄町,1084,937,1000
四谷坂町,1437,1106,1133
若葉１丁目,1416,1312,1256
若葉２丁目,433,392,399
若葉３丁目,602,466,473
須賀町,833,715,685
左門町,1020,704,845
信濃町,558,409,502
南元町,1324,1162,1292
荒木町,1689,1252,1264
舟町,999,687,703
愛住町,907,723,702
大京町,2146,1664,1948
霞ヶ丘町,1,1,0
内藤町,718,658,578
片町,237,166,169
新宿１丁目,2996,2125,1929
新宿２丁目,873,671,506
新宿３丁目,108,96,58
新宿４丁目,224,181,109
新宿５丁目,2067,1454,1143
新宿６丁目,3092,2275,2011
新宿７丁目,4310,3490,3212
歌舞伎町１丁目,179,144,63
歌舞伎町２丁目,1885,1446,820
市谷田町１丁目,19,10,21
市谷田町２丁目,351,255,357
市谷田町３丁目,203,160,205
市谷本村町,1762,1572,983
市谷砂土原町１丁目,114,106,128
市谷砂土原町２丁目,245,196,234
市谷砂土原町３丁目,481,500,519
市谷左内町,236,211,240
市谷加賀町１丁目,22,13,22
市谷加賀町２丁目,949,713,1010
市谷甲良町,399,366,402
市谷船河原町,76,86,89
市谷長延寺町,94,46,89
市谷鷹匠町,19,20,23
市谷山伏町,301,269,281
市谷八幡町,64,56,67
神楽坂１丁目,12,12,16
神楽坂２丁目,138,89,124
神楽坂３丁目,297,235,220
神楽坂４丁目,93,79,93
神楽坂５丁目,392,314,397
神楽坂６丁目,567,391,474
細工町,257,207,223
二十騎町,375,317,356
揚場町,55,49,57
津久戸町,68,47,50
東五軒町,1134,1005,1153
西五軒町,933,819,831
赤城元町,229,182,213
南榎町,710,694,699
袋町,378,331,342
払方町,504,484,550
南町,383,391,414
北町,499,472,516
納戸町,573,481,552
南山伏町,371,326,313
北山伏町,352,230,265
白銀町,747,621,752
下宮比町,157,99,124
矢来町,2566,2181,2528
若宮町,560,493,525
岩戸町,425,290,329
中町,266,257,266
箪笥町,422,288,322
横寺町,583,452,458
筑土八幡町,551,397,515
新小川町,1907,1572,1581
神楽河岸,0,0,0
市谷薬王寺町,2087,1600,1721
市谷柳町,869,605,678
市谷仲之町,1247,1166,1288
赤城下町,759,604,589
天神町,745,526,599
榎町,468,321,331
東榎町,225,152,155
早稲田町,825,572,630
早稲田南町,460,398,399
馬場下町,327,261,258
原町１丁目,873,687,774
原町２丁目,692,646,620
原町３丁目,1135,870,1015
喜久井町,1115,1000,963
築地町,326,259,285
弁天町,1979,1604,1702
中里町,359,331,374
山吹町,2340,1682,1850
改代町,376,303,284
水道町,634,443,470
早稲田鶴巻町,3909,2851,2923
住吉町,1768,1326,1374
市谷台町,894,727,702
河田町,1529,1476,1520
若松町,3420,2826,3037
余丁町,2533,2039,2124
戸山１丁目,1550,1204,1337
戸山２丁目,3336,2202,3362
戸山３丁目,559,468,449
富久町,4170,3646,3597
百人町１丁目,3334,2393,1761
百人町２丁目,3658,2734,2187
百人町３丁目,2616,2625,2879
百人町４丁目,1605,1175,1536
大久保１丁目,3457,2408,2078
大久保２丁目,6057,4523,4040
大久保３丁目,2336,2252,2485
戸塚町１丁目,138,87,119
西早稲田１丁目,3607,2644,2909
西早稲田２丁目,4130,3081,3041
西早稲田３丁目,4316,3607,3423
高田馬場１丁目,2920,2333,2116
高田馬場２丁目,1305,1008,859
高田馬場３丁目,4257,3196,2775
高田馬場４丁目,4355,3535,3191
下落合１丁目,2064,1368,1300
下落合２丁目,2010,1731,1791
下落合３丁目,2555,2023,2399
下落合４丁目,2705,2215,2396
中落合１丁目,2229,1706,1750
中落合２丁目,2850,2466,2583
中落合３丁目,2390,2035,2182
中落合４丁目,1737,1557,1518
上落合１丁目,3363,2759,2690
上落合２丁目,3294,2534,2384
上落合３丁目,3216,2372,2276
西落合１丁目,2765,2223,2333
西落合２丁目,2569,2113,2131
西落合３丁目,1857,1450,1688
西落合４丁目,1345,1136,1179
中井１丁目,1267,980,803
中井２丁目,1746,1546,1665
北新宿１丁目,5330,3892,3450
北新宿２丁目,3182,2747,2511
北新宿３丁目,5097,3853,3516
北新宿４丁目,4599,3573,3140
西新宿１丁目,34,28,28
西新宿２丁目,3,3,5
西新宿３丁目,1619,1087,1069
西新宿４丁目,5015,3784,3413
西新宿５丁目,2839,2205,2023
西新宿６丁目,2250,1821,1603
西新宿７丁目,1693,1293,982
西新宿８丁目,2145,1589,1466
