町丁名,世帯数,男,女
四谷１丁目,247,204,278
四谷２丁目,262,211,233
四谷３丁目,291,205,229
四谷４丁目,2271,1821,1636
四谷本塩町,319,241,250
四谷三栄町,1096,953,1043
四谷坂町,1539,1196,1197
若葉１丁目,1439,1325,1264
若葉２丁目,439,387,405
若葉３丁目,644,487,518
須賀町,852,730,692
左門町,1039,710,847
信濃町,629,438,551
南元町,1390,1198,1341
荒木町,1709,1268,1277
舟町,1002,694,703
愛住町,934,731,715
大京町,2227,1707,1999
霞ヶ丘町,0,0,0
内藤町,750,685,614
片町,252,185,173
新宿１丁目,3069,2162,1962
新宿２丁目,907,674,521
新宿３丁目,106,91,59
新宿４丁目,217,173,111
新宿５丁目,2133,1481,1174
新宿６丁目,3170,2325,2036
新宿７丁目,4373,3530,3240
歌舞伎町１丁目,179,143,60
歌舞伎町２丁目,1906,1443,832
市谷田町１丁目,16,8,18
市谷田町２丁目,338,249,346
市谷田町３丁目,207,159,199
市谷本村町,1801,1610,1017
市谷砂土原町１丁目,111,100,123
市谷砂土原町２丁目,263,212,265
市谷砂土原町３丁目,475,493,517
市谷左内町,230,204,229
市谷加賀町１丁目,21,14,20
市谷加賀町２丁目,1053,735,1103
市谷甲良町,437,390,434
市谷船河原町,78,89,93
市谷長延寺町,95,46,89
市谷鷹匠町,16,17,18
市谷山伏町,295,266,280
市谷八幡町,61,55,61
神楽坂１丁目,13,13,16
神楽坂２丁目,138,86,126
神楽坂３丁目,284,228,209
神楽坂４丁目,98,81,99
神楽坂５丁目,395,318,404
神楽坂６丁目,563,378,479
細工町,264,216,226
二十騎町,401,322,360
揚場町,57,49,54
津久戸町,70,51,48
東五軒町,1150,1013,1169
西五軒町,1004,861,877
赤城元町,233,183,215
南榎町,727,697,727
袋町,372,327,344
払方町,505,489,548
南町,384,390,419
北町,524,493,526
納戸町,578,491,568
南山伏町,375,336,313
北山伏町,392,263,315
白銀町,746,621,756
下宮比町,153,93,122
矢来町,2588,2203,2523
若宮町,559,494,529
岩戸町,437,295,338
中町,266,258,264
箪笥町,424,285,327
横寺町,601,454,477
筑土八幡町,525,390,485
新小川町,2030,1646,1661
神楽河岸,0,0,0
市谷薬王寺町,2123,1627,1744
市谷柳町,894,605,705
市谷仲之町,1313,1196,1331
赤城下町,779,625,588
天神町,739,521,588
榎町,503,338,350
東榎町,271,167,191
早稲田町,862,590,673
早稲田南町,479,409,415
馬場下町,330,265,251
原町１丁目,919,701,808
原町２丁目,708,669,632
原町３丁目,1162,887,1054
喜久井町,1136,1002,989
築地町,326,259,284
弁天町,2053,1657,1750
中里町,350,327,363
山吹町,2495,1763,1962
改代町,417,333,302
水道町,716,493,505
早稲田鶴巻町,4013,2880,2975
住吉町,1801,1351,1422
市谷台町,908,740,701
河田町,1545,1449,1530
若松町,3450,2848,3043
余丁町,2553,2052,2137
戸山１丁目,1589,1242,1359
戸山２丁目,3273,2117,3286
戸山３丁目,566,457,456
富久町,4233,3662,3638
百人町１丁目,3286,2389,1706
百人町２丁目,3705,2789,2203
百人町３丁目,2626,2607,2907
百人町４丁目,1643,1191,1571
大久保１丁目,3338,2275,2083
大久保２丁目,5966,4413,4016
大久保３丁目,2355,2243,2463
戸塚町１丁目,144,95,115
西早稲田１丁目,3658,2684,2937
西早稲田２丁目,4159,3104,3002
西早稲田３丁目,4226,3529,3431
高田馬場１丁目,2926,2337,2078
高田馬場２丁目,1287,1002,841
高田馬場３丁目,4260,3205,2775
高田馬場４丁目,4352,3561,3185
下落合１丁目,2060,1407,1271
下落合２丁目,2061,1743,1828
下落合３丁目,2590,2079,2438
下落合４丁目,2725,2226,2401
中落合１丁目,2265,1746,1763
中落合２丁目,2836,2432,2546
中落合３丁目,2442,2046,2192
中落合４丁目,1789,1557,1548
上落合１丁目,3464,2834,2720
上落合２丁目,3353,2573,2447
上落合３丁目,3290,2403,2316
西落合１丁目,2770,2221,2324
西落合２丁目,2607,2118,2148
西落合３丁目,1910,1483,1692
西落合４丁目,1285,1092,1182
中井１丁目,1282,985,804
中井２丁目,1751,1545,1672
北新宿１丁目,5420,3933,3473
北新宿２丁目,3159,2738,2490
北新宿３丁目,5004,3823,3458
北新宿４丁目,4548,3478,3165
西新宿１丁目,35,28,28
西新宿２丁目,2,2,5
西新宿３丁目,1689,1138,1112
西新宿４丁目,5063,3821,3439
西新宿５丁目,2793,2190,2008
西新宿６丁目,2270,1832,1625
西新宿７丁目,1751,1331,1003
西新宿８丁目,2137,1561,1474
