町丁名,世帯数,男,女
四谷１丁目,20,17,6
四谷２丁目,20,12,11
四谷３丁目,27,14,15
四谷４丁目,212,125,122
四谷本塩町,20,10,12
四谷三栄町,65,44,43
四谷坂町,153,108,87
若葉１丁目,97,77,50
若葉２丁目,54,31,32
若葉３丁目,64,34,36
須賀町,52,35,24
左門町,80,48,40
信濃町,103,55,55
南元町,149,72,109
荒木町,151,104,99
舟町,69,35,39
愛住町,72,52,33
大京町,177,117,82
霞ヶ丘町,1,1,0
内藤町,57,37,40
片町,31,14,20
新宿１丁目,339,213,187
新宿２丁目,140,91,76
新宿３丁目,6,4,4
新宿４丁目,3,2,2
新宿５丁目,277,162,147
新宿６丁目,411,258,271
新宿７丁目,748,496,469
歌舞伎町１丁目,8,7,3
歌舞伎町２丁目,312,172,201
市谷田町１丁目,1,0,1
市谷田町２丁目,13,8,7
市谷田町３丁目,26,10,22
市谷本村町,99,78,82
市谷砂土原町１丁目,3,3,2
市谷砂土原町２丁目,18,17,8
市谷砂土原町３丁目,66,73,43
市谷左内町,14,11,8
市谷加賀町１丁目,7,6,9
市谷加賀町２丁目,67,45,41
市谷甲良町,30,19,18
市谷船河原町,5,9,7
市谷長延寺町,6,1,5
市谷鷹匠町,14,8,6
市谷山伏町,21,12,15
市谷八幡町,2,1,1
神楽坂１丁目,0,0,0
神楽坂２丁目,7,2,5
神楽坂３丁目,23,20,10
神楽坂４丁目,4,2,2
神楽坂５丁目,7,7,3
神楽坂６丁目,30,25,9
細工町,9,3,8
二十騎町,36,27,19
揚場町,1,1,0
津久戸町,2,1,1
東五軒町,93,48,50
西五軒町,150,94,71
赤城元町,8,3,5
南榎町,49,39,21
袋町,33,21,17
払方町,46,27,35
南町,14,13,6
北町,22,17,11
納戸町,62,45,27
南山伏町,32,21,24
北山伏町,38,19,26
白銀町,44,25,26
下宮比町,14,5,9
矢来町,161,99,84
若宮町,49,51,53
岩戸町,27,13,20
中町,18,17,7
箪笥町,37,26,16
横寺町,26,17,12
筑土八幡町,36,24,24
新小川町,164,92,93
神楽河岸,0,0,0
市谷薬王寺町,191,155,160
市谷柳町,64,43,31
市谷仲之町,156,163,166
赤城下町,61,35,36
天神町,86,47,45
榎町,48,26,25
東榎町,44,19,26
早稲田町,196,94,118
早稲田南町,88,51,44
馬場下町,29,20,17
原町１丁目,119,66,69
原町２丁目,64,42,40
原町３丁目,140,106,117
喜久井町,95,65,42
築地町,17,11,7
弁天町,224,127,135
中里町,16,9,13
山吹町,434,206,269
改代町,36,22,16
水道町,66,38,33
早稲田鶴巻町,743,404,419
住吉町,187,140,125
市谷台町,112,75,57
河田町,428,447,438
若松町,410,319,331
余丁町,205,149,127
戸山１丁目,173,98,110
戸山２丁目,375,222,391
戸山３丁目,70,44,41
富久町,370,269,265
百人町１丁目,1191,768,591
百人町２丁目,1425,1005,809
百人町３丁目,382,341,326
百人町４丁目,229,203,252
大久保１丁目,1125,715,652
大久保２丁目,1895,1287,1173
大久保３丁目,488,336,375
戸塚町１丁目,49,26,30
西早稲田１丁目,950,560,481
西早稲田２丁目,1185,654,616
西早稲田３丁目,1062,644,532
高田馬場１丁目,660,449,313
高田馬場２丁目,366,209,187
高田馬場３丁目,1148,702,597
高田馬場４丁目,1033,702,531
下落合１丁目,753,437,410
下落合２丁目,400,305,197
下落合３丁目,292,192,167
下落合４丁目,455,255,232
中落合１丁目,410,270,219
中落合２丁目,397,256,219
中落合３丁目,222,126,130
中落合４丁目,211,113,131
上落合１丁目,366,255,216
上落合２丁目,377,210,216
上落合３丁目,405,229,234
西落合１丁目,222,120,133
西落合２丁目,217,139,131
西落合３丁目,131,78,74
西落合４丁目,89,53,50
中井１丁目,143,86,76
中井２丁目,194,100,123
北新宿１丁目,1397,946,761
北新宿２丁目,457,313,316
北新宿３丁目,1218,881,672
北新宿４丁目,1090,723,652
西新宿１丁目,2,1,1
西新宿２丁目,1,1,0
西新宿３丁目,233,138,127
西新宿４丁目,600,361,334
西新宿５丁目,343,227,247
西新宿６丁目,384,284,260
西新宿７丁目,237,151,112
西新宿８丁目,264,163,147
