町丁名,世帯数,男,女
四谷１丁目,269,229,294
四谷２丁目,256,197,217
四谷３丁目,259,176,203
四谷４丁目,2034,1632,1530
四谷本塩町,326,249,237
四谷三栄町,1040,905,979
四谷坂町,1561,1235,1142
若葉１丁目,1346,1229,1200
若葉２丁目,445,402,405
若葉３丁目,587,470,447
須賀町,770,653,652
左門町,1027,698,861
信濃町,525,388,472
南元町,1314,1109,1292
荒木町,1597,1167,1175
舟町,975,636,719
愛住町,857,643,673
大京町,2309,1740,2014
霞ヶ丘町,0,0,0
内藤町,670,587,653
片町,305,216,195
新宿１丁目,2861,2020,1777
新宿２丁目,808,602,464
新宿３丁目,78,70,34
新宿４丁目,172,138,96
新宿５丁目,2010,1378,1084
新宿６丁目,2771,2008,1684
新宿７丁目,3686,2897,2682
歌舞伎町１丁目,134,101,48
歌舞伎町２丁目,1570,1261,515
市谷田町１丁目,15,8,17
市谷田町２丁目,320,244,324
市谷田町３丁目,176,151,171
市谷本村町,1702,1469,1059
市谷砂土原町１丁目,99,90,106
市谷砂土原町２丁目,242,185,244
市谷砂土原町３丁目,425,409,450
市谷左内町,256,223,245
市谷加賀町１丁目,240,303,337
市谷加賀町２丁目,918,727,952
市谷甲良町,453,375,441
市谷船河原町,72,84,86
市谷長延寺町,71,29,68
市谷鷹匠町,37,25,32
市谷山伏町,307,262,293
市谷八幡町,65,57,61
神楽坂１丁目,11,12,14
神楽坂２丁目,116,77,108
神楽坂３丁目,266,208,185
神楽坂４丁目,94,78,97
神楽坂５丁目,359,293,373
神楽坂６丁目,503,344,415
細工町,257,214,210
二十騎町,400,298,353
揚場町,60,51,53
津久戸町,57,43,41
東五軒町,1197,1041,1157
西五軒町,977,802,857
赤城元町,255,212,232
南榎町,669,660,702
袋町,355,307,322
払方町,511,451,507
南町,392,416,437
北町,515,446,523
納戸町,533,485,554
南山伏町,425,331,367
北山伏町,362,229,315
白銀町,748,599,760
下宮比町,185,105,136
矢来町,2377,1997,2271
若宮町,496,437,452
岩戸町,412,272,336
中町,260,259,239
箪笥町,441,287,350
横寺町,609,466,481
筑土八幡町,588,436,517
新小川町,2026,1626,1587
神楽河岸,0,0,0
市谷薬王寺町,1987,1459,1570
市谷柳町,888,590,694
市谷仲之町,1260,1035,1208
赤城下町,837,653,624
天神町,654,484,509
榎町,469,317,333
東榎町,244,165,160
早稲田町,754,512,603
早稲田南町,391,319,357
馬場下町,299,229,228
原町１丁目,811,666,722
原町２丁目,641,580,574
原町３丁目,1138,864,1022
喜久井町,1053,897,896
築地町,317,246,295
弁天町,1914,1557,1691
中里町,345,317,352
山吹町,2461,1731,1885
改代町,371,294,288
水道町,710,481,474
早稲田鶴巻町,3309,2371,2512
住吉町,1730,1257,1308
市谷台町,827,640,638
河田町,1245,1102,1073
若松町,3131,2429,2765
余丁町,2400,1857,1954
戸山１丁目,1381,1113,1180
戸山２丁目,3129,1856,2904
戸山３丁目,591,497,530
富久町,3859,3356,3279
百人町１丁目,1834,1390,899
百人町２丁目,2113,1579,1263
百人町３丁目,2330,2302,2532
百人町４丁目,1527,972,1327
大久保１丁目,1870,1337,1033
大久保２丁目,3692,2783,2423
大久保３丁目,2125,2017,2101
戸塚町１丁目,106,75,80
西早稲田１丁目,2962,2241,2409
西早稲田２丁目,3226,2586,2450
西早稲田３丁目,3318,2918,2871
高田馬場１丁目,2388,1930,1785
高田馬場２丁目,1080,868,712
高田馬場３丁目,3325,2530,2234
高田馬場４丁目,3358,2765,2554
下落合１丁目,1451,1009,1002
下落合２丁目,1785,1555,1634
下落合３丁目,2468,1931,2374
下落合４丁目,2368,1978,2120
中落合１丁目,2138,1631,1650
中落合２丁目,2624,2266,2375
中落合３丁目,2281,1872,2087
中落合４丁目,1604,1440,1413
上落合１丁目,3068,2466,2446
上落合２丁目,3007,2266,2202
上落合３丁目,2948,2222,2056
西落合１丁目,2788,2150,2284
西落合２丁目,2425,2010,2014
西落合３丁目,1790,1409,1595
西落合４丁目,1273,1052,1166
中井１丁目,1190,878,739
中井２丁目,1620,1503,1546
北新宿１丁目,4096,3031,2556
北新宿２丁目,2972,2522,2223
北新宿３丁目,3710,2833,2622
北新宿４丁目,3542,2612,2511
西新宿１丁目,28,22,23
西新宿２丁目,1,1,4
西新宿３丁目,1464,1005,923
西新宿４丁目,4672,3456,3138
西新宿５丁目,2398,1871,1666
西新宿６丁目,2193,1732,1490
西新宿７丁目,1519,1161,852
西新宿８丁目,2067,1495,1383
