町丁名,世帯数,男,女
四谷１丁目,225,194,260
四谷２丁目,238,191,222
四谷３丁目,263,187,218
四谷４丁目,2073,1681,1549
四谷本塩町,248,205,201
四谷三栄町,1021,873,936
四谷坂町,1345,1039,1043
若葉１丁目,1329,1230,1190
若葉２丁目,412,372,387
若葉３丁目,564,436,450
須賀町,809,691,670
左門町,967,667,807
信濃町,545,395,488
南元町,1221,1077,1228
荒木町,1565,1158,1165
舟町,945,646,664
愛住町,848,662,665
大京町,2037,1565,1869
霞ヶ丘町,1,1,0
内藤町,680,632,543
片町,210,156,152
新宿１丁目,2706,1918,1749
新宿２丁目,792,614,478
新宿３丁目,100,89,51
新宿４丁目,219,178,102
新宿５丁目,1810,1301,977
新宿６丁目,2623,1957,1672
新宿７丁目,3553,2909,2678
歌舞伎町１丁目,157,123,58
歌舞伎町２丁目,1519,1206,538
市谷田町１丁目,18,8,21
市谷田町２丁目,341,242,347
市谷田町３丁目,182,148,185
市谷本村町,1666,1482,899
市谷砂土原町１丁目,108,99,124
市谷砂土原町２丁目,225,178,222
市谷砂土原町３丁目,427,413,456
市谷左内町,228,206,229
市谷加賀町１丁目,21,13,22
市谷加賀町２丁目,930,685,975
市谷甲良町,380,341,384
市谷船河原町,69,73,81
市谷長延寺町,92,46,86
市谷鷹匠町,20,22,24
市谷山伏町,286,252,263
市谷八幡町,63,56,67
神楽坂１丁目,11,11,16
神楽坂２丁目,128,85,116
神楽坂３丁目,290,225,215
神楽坂４丁目,92,78,94
神楽坂５丁目,382,300,389
神楽坂６丁目,555,377,464
細工町,253,203,221
二十騎町,360,306,339
揚場町,53,48,56
津久戸町,67,43,51
東五軒町,1103,983,1123
西五軒町,897,778,815
赤城元町,225,175,214
南榎町,665,649,669
袋町,370,316,343
払方町,473,452,499
南町,374,376,406
北町,492,459,516
納戸町,502,420,493
南山伏町,369,323,310
北山伏町,314,203,244
白銀町,711,579,736
下宮比町,146,89,118
矢来町,2491,2124,2476
若宮町,525,450,469
岩戸町,414,277,322
中町,251,246,255
箪笥町,399,271,313
横寺町,552,424,434
筑土八幡町,522,368,496
新小川町,1784,1459,1499
神楽河岸,0,0,0
市谷薬王寺町,1961,1483,1608
市谷柳町,837,570,666
市谷仲之町,1140,1010,1142
赤城下町,739,575,588
天神町,676,488,559
榎町,428,315,298
東榎町,200,138,143
早稲田町,703,488,563
早稲田南町,400,352,363
馬場下町,295,240,234
原町１丁目,802,626,724
原町２丁目,646,599,560
原町３丁目,1045,771,916
喜久井町,1049,940,926
築地町,314,252,287
弁天町,1852,1509,1607
中里町,352,330,370
山吹町,2159,1597,1712
改代町,354,297,262
水道町,615,429,459
早稲田鶴巻町,3280,2499,2560
住吉町,1648,1235,1282
市谷台町,809,665,645
河田町,1252,1127,1128
若松町,3090,2486,2727
余丁町,2384,1920,1994
戸山１丁目,1437,1128,1243
戸山２丁目,3232,2078,3133
戸山３丁目,483,419,404
富久町,3830,3356,3309
百人町１丁目,1911,1503,963
百人町２丁目,2049,1606,1246
百人町３丁目,2369,2391,2624
百人町４丁目,1437,971,1321
大久保１丁目,1801,1337,1100
大久保２丁目,3723,2892,2533
大久保３丁目,1997,1905,2096
戸塚町１丁目,98,74,84
西早稲田１丁目,2965,2320,2476
西早稲田２丁目,3075,2531,2388
西早稲田３丁目,3415,3062,2920
高田馬場１丁目,2275,1901,1734
高田馬場２丁目,1023,820,711
高田馬場３丁目,3322,2572,2275
高田馬場４丁目,3350,2827,2632
下落合１丁目,1268,927,845
下落合２丁目,1735,1510,1620
下落合３丁目,2355,1873,2289
下落合４丁目,2314,1962,2182
中落合１丁目,2023,1581,1622
中落合２丁目,2600,2269,2421
中落合３丁目,2287,1958,2096
中落合４丁目,1601,1480,1425
上落合１丁目,2987,2503,2445
上落合２丁目,2960,2326,2214
上落合３丁目,2873,2178,2059
西落合１丁目,2592,2114,2213
西落合２丁目,2374,2008,1994
西落合３丁目,1746,1390,1592
西落合４丁目,1157,996,1106
中井１丁目,1159,916,729
中井２丁目,1543,1415,1521
北新宿１丁目,3883,2914,2581
北新宿２丁目,2823,2466,2239
北新宿３丁目,3735,2936,2704
北新宿４丁目,3474,2730,2484
西新宿１丁目,33,27,27
西新宿２丁目,3,3,5
西新宿３丁目,1350,894,924
西新宿４丁目,4597,3507,3140
西新宿５丁目,2564,2000,1783
西新宿６丁目,1957,1547,1392
西新宿７丁目,1499,1157,870
西新宿８丁目,1926,1413,1324
