町丁名,世帯数,男,女
四谷１丁目,232,194,273
四谷２丁目,243,197,220
四谷３丁目,262,175,217
四谷４丁目,2068,1685,1538
四谷本塩町,258,211,205
四谷三栄町,1042,900,989
四谷坂町,1433,1110,1108
若葉１丁目,1369,1245,1228
若葉２丁目,417,372,390
若葉３丁目,591,462,463
須賀町,808,688,676
左門町,973,665,810
信濃町,563,400,507
南元町,1233,1085,1232
荒木町,1597,1189,1193
舟町,940,654,668
愛住町,868,672,680
大京町,2102,1591,1927
霞ヶ丘町,0,0,0
内藤町,707,642,568
片町,230,171,159
新宿１丁目,2766,1982,1756
新宿２丁目,802,614,468
新宿３丁目,100,85,51
新宿４丁目,211,171,104
新宿５丁目,1849,1308,997
新宿６丁目,2769,2030,1747
新宿７丁目,3617,2959,2726
歌舞伎町１丁目,167,134,53
歌舞伎町２丁目,1564,1243,543
市谷田町１丁目,18,9,19
市谷田町２丁目,330,239,336
市谷田町３丁目,188,154,186
市谷本村町,1709,1513,937
市谷砂土原町１丁目,104,97,120
市谷砂土原町２丁目,250,198,258
市谷砂土原町３丁目,429,414,463
市谷左内町,219,194,222
市谷加賀町１丁目,22,14,21
市谷加賀町２丁目,1015,701,1066
市谷甲良町,417,368,414
市谷船河原町,71,76,84
市谷長延寺町,91,46,84
市谷鷹匠町,17,19,20
市谷山伏町,274,250,259
市谷八幡町,60,51,61
神楽坂１丁目,12,12,16
神楽坂２丁目,126,82,114
神楽坂３丁目,279,219,202
神楽坂４丁目,98,82,96
神楽坂５丁目,384,305,402
神楽坂６丁目,553,370,474
細工町,261,211,218
二十騎町,383,306,352
揚場町,53,48,55
津久戸町,63,47,45
東五軒町,1112,984,1134
西五軒町,924,789,830
赤城元町,229,178,210
南榎町,694,671,704
袋町,369,317,333
払方町,472,454,514
南町,370,369,402
北町,506,477,500
納戸町,530,460,533
南山伏町,363,318,305
北山伏町,366,244,296
白銀町,720,594,745
下宮比町,149,94,121
矢来町,2490,2130,2439
若宮町,525,441,472
岩戸町,417,284,321
中町,258,249,259
箪笥町,409,274,323
横寺町,580,447,468
筑土八幡町,516,379,480
新小川町,1926,1577,1574
神楽河岸,0,0,0
市谷薬王寺町,1973,1477,1584
市谷柳町,843,576,672
市谷仲之町,1190,1036,1168
赤城下町,736,587,579
天神町,682,489,560
榎町,473,329,329
東榎町,211,143,151
早稲田町,753,525,604
早稲田南町,408,357,378
馬場下町,302,250,233
原町１丁目,818,636,733
原町２丁目,657,618,584
原町３丁目,1052,767,938
喜久井町,1053,926,935
築地町,317,248,286
弁天町,1887,1537,1632
中里町,346,328,355
山吹町,2225,1612,1763
改代町,379,319,279
水道町,652,453,470
早稲田鶴巻町,3334,2511,2564
住吉町,1643,1222,1298
市谷台町,821,679,649
河田町,1271,1104,1156
若松町,3148,2537,2751
余丁町,2398,1920,1998
戸山１丁目,1435,1147,1234
戸山２丁目,3159,1989,3019
戸山３丁目,481,410,401
富久町,3882,3402,3337
百人町１丁目,1931,1490,978
百人町２丁目,2058,1605,1220
百人町３丁目,2386,2385,2624
百人町４丁目,1483,994,1360
大久保１丁目,1830,1345,1101
大久保２丁目,3718,2849,2540
大久保３丁目,2075,1956,2156
戸塚町１丁目,98,73,83
西早稲田１丁目,2941,2310,2450
西早稲田２丁目,3038,2514,2328
西早稲田３丁目,3378,3033,2902
高田馬場１丁目,2300,1918,1721
高田馬場２丁目,1017,828,689
高田馬場３丁目,3311,2585,2245
高田馬場４丁目,3387,2839,2635
下落合１丁目,1285,933,864
下落合２丁目,1758,1532,1630
下落合３丁目,2344,1879,2274
下落合４丁目,2335,1979,2190
中落合１丁目,2040,1596,1622
中落合２丁目,2564,2236,2382
中落合３丁目,2293,1951,2098
中落合４丁目,1590,1451,1412
上落合１丁目,3036,2514,2472
上落合２丁目,3045,2368,2254
上落合３丁目,2909,2181,2094
西落合１丁目,2598,2105,2215
西落合２丁目,2420,2021,1984
西落合３丁目,1769,1395,1616
西落合４丁目,1209,1020,1139
中井１丁目,1173,917,743
中井２丁目,1576,1436,1550
北新宿１丁目,3953,2939,2634
北新宿２丁目,2791,2438,2184
北新宿３丁目,3739,2966,2656
北新宿４丁目,3515,2747,2521
西新宿１丁目,34,27,27
西新宿２丁目,2,2,5
西新宿３丁目,1491,996,1013
西新宿４丁目,4671,3529,3189
西新宿５丁目,2524,1983,1761
西新宿６丁目,1966,1553,1379
西新宿７丁目,1541,1179,890
西新宿８丁目,1940,1427,1322
