町丁名,世帯数,男,女
四谷１丁目,246,204,281
四谷２丁目,237,197,214
四谷３丁目,272,179,223
四谷４丁目,2089,1681,1545
四谷本塩町,298,235,235
四谷三栄町,1037,893,991
四谷坂町,1457,1134,1117
若葉１丁目,1368,1260,1220
若葉２丁目,411,365,389
若葉３丁目,591,467,469
須賀町,815,691,673
左門町,983,661,821
信濃町,543,392,496
南元町,1267,1113,1271
荒木町,1588,1188,1183
舟町,966,668,680
愛住町,877,672,693
大京町,2175,1654,1946
霞ヶ丘町,0,0,0
内藤町,721,651,586
片町,232,177,156
新宿１丁目,2800,2012,1770
新宿２丁目,834,628,474
新宿３丁目,93,78,52
新宿４丁目,208,168,103
新宿５丁目,1860,1313,1002
新宿６丁目,2762,2038,1745
新宿７丁目,3642,2969,2745
歌舞伎町１丁目,166,136,51
歌舞伎町２丁目,1563,1224,556
市谷田町１丁目,16,8,17
市谷田町２丁目,320,240,330
市谷田町３丁目,189,153,184
市谷本村町,1700,1506,944
市谷砂土原町１丁目,104,95,118
市谷砂土原町２丁目,252,200,257
市谷砂土原町３丁目,428,412,461
市谷左内町,217,192,218
市谷加賀町１丁目,21,14,21
市谷加賀町２丁目,957,686,1004
市谷甲良町,431,376,424
市谷船河原町,70,76,83
市谷長延寺町,93,48,84
市谷鷹匠町,15,14,16
市谷山伏町,278,256,261
市谷八幡町,60,52,62
神楽坂１丁目,11,12,15
神楽坂２丁目,123,79,115
神楽坂３丁目,281,226,202
神楽坂４丁目,96,81,96
神楽坂５丁目,378,303,397
神楽坂６丁目,541,361,463
細工町,248,205,213
二十騎町,386,310,345
揚場町,56,50,54
津久戸町,66,47,48
東五軒町,1107,989,1134
西五軒町,949,799,833
赤城元町,231,178,211
南榎町,699,672,702
袋町,363,316,333
払方町,490,473,513
南町,374,377,408
北町,512,482,527
納戸町,544,473,556
南山伏町,361,324,303
北山伏町,363,245,293
白銀町,722,595,746
下宮比町,147,89,119
矢来町,2465,2121,2419
若宮町,518,445,462
岩戸町,410,281,321
中町,257,253,263
箪笥町,414,278,323
横寺町,590,448,464
筑土八幡町,503,375,462
新小川町,1935,1580,1593
神楽河岸,0,0,0
市谷薬王寺町,1998,1514,1585
市谷柳町,846,568,669
市谷仲之町,1177,1029,1169
赤城下町,732,582,558
天神町,677,495,549
榎町,477,338,332
東榎町,229,142,171
早稲田町,736,514,603
早稲田南町,405,346,380
馬場下町,295,243,225
原町１丁目,804,644,712
原町２丁目,658,622,586
原町３丁目,1112,839,996
喜久井町,1066,950,948
築地町,313,250,278
弁天町,1875,1542,1629
中里町,337,315,353
山吹町,2327,1662,1850
改代町,396,331,287
水道町,677,474,474
早稲田鶴巻町,3324,2509,2566
住吉町,1692,1263,1329
市谷台町,820,666,644
河田町,1246,1080,1120
若松町,3165,2533,2779
余丁町,2372,1894,1981
戸山１丁目,1416,1129,1228
戸山２丁目,3120,1952,2975
戸山３丁目,481,406,403
富久町,3871,3386,3340
百人町１丁目,1917,1484,969
百人町２丁目,2088,1613,1268
百人町３丁目,2372,2376,2635
百人町４丁目,1473,989,1341
大久保１丁目,1846,1326,1123
大久保２丁目,3729,2882,2510
大久保３丁目,2005,1927,2105
戸塚町１丁目,94,73,78
西早稲田１丁目,2974,2318,2476
西早稲田２丁目,3013,2526,2298
西早稲田３丁目,3364,3027,2915
高田馬場１丁目,2288,1911,1716
高田馬場２丁目,1004,827,690
高田馬場３丁目,3291,2561,2253
高田馬場４丁目,3372,2817,2639
下落合１丁目,1340,966,892
下落合２丁目,1746,1520,1625
下落合３丁目,2379,1922,2309
下落合４丁目,2338,1969,2196
中落合１丁目,2018,1592,1607
中落合２丁目,2554,2241,2372
中落合３丁目,2299,1936,2094
中落合４丁目,1614,1474,1420
上落合１丁目,3029,2512,2469
上落合２丁目,3041,2368,2264
上落合３丁目,2919,2203,2078
西落合１丁目,2625,2125,2222
西落合２丁目,2391,1988,1986
西落合３丁目,1780,1403,1611
西落合４丁目,1213,1036,1131
中井１丁目,1166,902,748
中井２丁目,1556,1445,1528
北新宿１丁目,3890,2905,2572
北新宿２丁目,2776,2444,2174
北新宿３丁目,3719,2957,2635
北新宿４丁目,3539,2726,2544
西新宿１丁目,33,26,27
西新宿２丁目,2,2,4
西新宿３丁目,1461,992,992
西新宿４丁目,4653,3506,3202
西新宿５丁目,2492,1963,1756
西新宿６丁目,1999,1585,1421
西新宿７丁目,1560,1198,905
西新宿８丁目,1907,1416,1298
