町丁名,世帯数,男,女
四谷１丁目,279,227,301
四谷２丁目,250,201,225
四谷３丁目,287,198,224
四谷４丁目,2248,1798,1649
四谷本塩町,323,248,254
四谷三栄町,1107,951,1052
四谷坂町,1585,1248,1216
若葉１丁目,1428,1310,1276
若葉２丁目,502,457,455
若葉３丁目,656,502,517
須賀町,853,736,693
左門町,1099,750,899
信濃町,546,388,489
南元町,1318,1171,1297
荒木町,1710,1264,1285
舟町,1003,697,707
愛住町,902,709,720
大京町,2370,1789,2089
霞ヶ丘町,2,2,0
内藤町,703,619,643
片町,268,201,177
新宿１丁目,3054,2155,1926
新宿２丁目,938,692,525
新宿３丁目,96,86,52
新宿４丁目,206,164,110
新宿５丁目,2086,1460,1128
新宿６丁目,3099,2243,2000
新宿７丁目,4266,3427,3182
歌舞伎町１丁目,170,140,51
歌舞伎町２丁目,1960,1496,824
市谷田町１丁目,14,8,16
市谷田町２丁目,339,257,348
市谷田町３丁目,208,167,194
市谷本村町,1707,1509,1034
市谷砂土原町１丁目,101,92,115
市谷砂土原町２丁目,264,219,260
市谷砂土原町３丁目,481,502,515
市谷左内町,225,195,229
市谷加賀町１丁目,21,14,23
市谷加賀町２丁目,994,746,1027
市谷甲良町,474,414,443
市谷船河原町,74,85,88
市谷長延寺町,92,41,83
市谷鷹匠町,13,11,15
市谷山伏町,310,271,284
市谷八幡町,61,55,66
神楽坂１丁目,12,13,15
神楽坂２丁目,126,78,113
神楽坂３丁目,284,228,202
神楽坂４丁目,97,82,99
神楽坂５丁目,385,311,405
神楽坂６丁目,548,366,454
細工町,259,221,218
二十騎町,409,333,366
揚場町,59,51,55
津久戸町,67,44,53
東五軒町,1207,1033,1214
西五軒町,1044,884,904
赤城元町,231,175,218
南榎町,730,716,722
袋町,368,323,343
払方町,515,490,546
南町,400,425,442
北町,526,495,534
納戸町,569,495,553
南山伏町,364,321,307
北山伏町,391,260,326
白銀町,732,589,758
下宮比町,161,94,126
矢来町,2550,2173,2466
若宮町,561,505,515
岩戸町,426,309,329
中町,265,252,262
箪笥町,443,301,335
横寺町,617,466,491
筑土八幡町,508,381,465
新小川町,2026,1642,1649
神楽河岸,0,0,0
市谷薬王寺町,2143,1668,1719
市谷柳町,882,601,690
市谷仲之町,1299,1200,1346
赤城下町,791,634,593
天神町,714,521,562
榎町,478,330,337
東榎町,242,151,172
早稲田町,889,595,698
早稲田南町,457,381,394
馬場下町,332,262,258
原町１丁目,874,696,766
原町２丁目,686,631,608
原町３丁目,1254,971,1135
喜久井町,1141,1001,991
築地町,306,247,278
弁天町,2006,1617,1750
中里町,351,322,369
山吹町,2596,1824,2022
改代町,426,352,300
水道町,734,493,511
早稲田鶴巻町,3872,2774,2909
住吉町,1842,1374,1427
市谷台町,904,713,700
河田町,1525,1431,1497
若松町,3463,2781,3070
余丁町,2496,2030,2083
戸山１丁目,1605,1206,1386
戸山２丁目,3236,2063,3211
戸山３丁目,643,534,556
富久町,4183,3619,3601
百人町１丁目,2987,2187,1552
百人町２丁目,3445,2588,2096
百人町３丁目,2592,2589,2914
百人町４丁目,1607,1136,1530
大久保１丁目,3151,2175,1944
大久保２丁目,5471,4106,3746
大久保３丁目,2459,2303,2538
戸塚町１丁目,139,90,110
西早稲田１丁目,3595,2644,2887
西早稲田２丁目,3717,2966,2709
西早稲田３丁目,4059,3440,3346
高田馬場１丁目,2774,2228,2040
高田馬場２丁目,1292,1022,830
高田馬場３丁目,4146,3136,2703
高田馬場４丁目,4157,3403,3096
下落合１丁目,1923,1301,1231
下落合２丁目,2066,1743,1813
下落合３丁目,2586,2078,2455
下落合４丁目,2653,2175,2346
中落合１丁目,2349,1815,1771
中落合２丁目,2806,2434,2533
中落合３丁目,2426,2009,2195
中落合４丁目,1732,1557,1513
上落合１丁目,3360,2745,2674
上落合２丁目,3332,2540,2437
上落合３丁目,3261,2395,2304
西落合１丁目,2843,2241,2367
西落合２丁目,2579,2103,2128
西落合３丁目,1914,1481,1698
西落合４丁目,1281,1102,1170
中井１丁目,1261,986,783
中井２丁目,1717,1565,1614
北新宿１丁目,5221,3825,3303
北新宿２丁目,3096,2719,2422
北新宿３丁目,4816,3785,3297
北新宿４丁目,4375,3306,3098
西新宿１丁目,33,25,28
西新宿２丁目,2,2,4
西新宿３丁目,1658,1139,1074
西新宿４丁目,5055,3779,3480
西新宿５丁目,2692,2102,1945
西新宿６丁目,2345,1898,1658
西新宿７丁目,1755,1334,1003
西新宿８丁目,2197,1598,1513
