町丁名,世帯数,男,女
四谷１丁目,282,230,306
四谷２丁目,249,203,226
四谷３丁目,285,197,222
四谷４丁目,2243,1788,1654
四谷本塩町,319,245,251
四谷三栄町,1101,945,1043
四谷坂町,1577,1241,1201
若葉１丁目,1431,1315,1269
若葉２丁目,501,456,455
若葉３丁目,645,499,508
須賀町,840,735,686
左門町,1086,746,888
信濃町,536,386,485
南元町,1309,1166,1294
荒木町,1699,1262,1274
舟町,999,694,703
愛住町,908,707,727
大京町,2377,1799,2096
霞ヶ丘町,2,2,0
内藤町,703,618,643
片町,265,196,176
新宿１丁目,3068,2169,1929
新宿２丁目,939,693,524
新宿３丁目,98,87,53
新宿４丁目,202,160,109
新宿５丁目,2085,1463,1121
新宿６丁目,3100,2253,2002
新宿７丁目,4262,3426,3178
歌舞伎町１丁目,173,143,51
歌舞伎町２丁目,1977,1505,827
市谷田町１丁目,14,8,16
市谷田町２丁目,340,259,349
市谷田町３丁目,205,166,193
市谷本村町,1694,1492,1031
市谷砂土原町１丁目,102,93,114
市谷砂土原町２丁目,267,222,262
市谷砂土原町３丁目,488,513,527
市谷左内町,224,195,228
市谷加賀町１丁目,21,14,23
市谷加賀町２丁目,987,749,1012
市谷甲良町,476,417,443
市谷船河原町,73,85,87
市谷長延寺町,91,42,83
市谷鷹匠町,13,11,15
市谷山伏町,314,273,288
市谷八幡町,61,56,67
神楽坂１丁目,12,13,15
神楽坂２丁目,126,78,113
神楽坂３丁目,284,227,203
神楽坂４丁目,96,81,99
神楽坂５丁目,383,310,404
神楽坂６丁目,549,364,457
細工町,261,222,220
二十騎町,405,328,369
揚場町,60,51,55
津久戸町,63,43,49
東五軒町,1201,1028,1211
西五軒町,1032,874,893
赤城元町,232,176,218
南榎町,725,715,719
袋町,363,318,340
払方町,525,495,555
南町,402,429,446
北町,525,494,531
納戸町,567,493,547
南山伏町,362,319,303
北山伏町,386,254,324
白銀町,732,591,760
下宮比町,158,92,127
矢来町,2544,2164,2463
若宮町,563,509,515
岩戸町,421,307,326
中町,262,252,261
箪笥町,450,305,340
横寺町,619,471,488
筑土八幡町,506,381,465
新小川町,2030,1650,1654
神楽河岸,0,0,0
市谷薬王寺町,2142,1655,1728
市谷柳町,884,602,691
市谷仲之町,1297,1195,1335
赤城下町,807,645,609
天神町,716,524,564
榎町,479,331,336
東榎町,233,144,169
早稲田町,893,595,702
早稲田南町,458,382,394
馬場下町,333,264,255
原町１丁目,880,695,771
原町２丁目,682,626,602
原町３丁目,1249,964,1134
喜久井町,1138,994,987
築地町,308,246,283
弁天町,2007,1611,1750
中里町,349,321,371
山吹町,2616,1834,2016
改代町,424,351,299
水道町,734,493,514
早稲田鶴巻町,3876,2789,2904
住吉町,1827,1367,1415
市谷台町,914,724,701
河田町,1521,1429,1486
若松町,3444,2771,3062
余丁町,2493,2028,2077
戸山１丁目,1576,1198,1363
戸山２丁目,3234,2061,3223
戸山３丁目,647,532,558
富久町,4166,3606,3582
百人町１丁目,3023,2236,1548
百人町２丁目,3498,2622,2104
百人町３丁目,2594,2587,2903
百人町４丁目,1620,1147,1536
大久保１丁目,3214,2219,1950
大久保２丁目,5496,4126,3744
大久保３丁目,2468,2314,2537
戸塚町１丁目,144,94,111
西早稲田１丁目,3587,2644,2875
西早稲田２丁目,3755,3001,2730
西早稲田３丁目,4105,3461,3368
高田馬場１丁目,2806,2243,2051
高田馬場２丁目,1297,1029,833
高田馬場３丁目,4183,3151,2725
高田馬場４丁目,4201,3431,3111
下落合１丁目,1977,1338,1251
下落合２丁目,2082,1749,1816
下落合３丁目,2597,2079,2450
下落合４丁目,2668,2179,2344
中落合１丁目,2348,1815,1775
中落合２丁目,2833,2444,2545
中落合３丁目,2441,2013,2200
中落合４丁目,1737,1562,1514
上落合１丁目,3365,2745,2660
上落合２丁目,3325,2538,2437
上落合３丁目,3253,2394,2303
西落合１丁目,2838,2229,2365
西落合２丁目,2599,2112,2135
西落合３丁目,1923,1483,1713
西落合４丁目,1279,1095,1170
中井１丁目,1265,980,783
中井２丁目,1716,1565,1611
北新宿１丁目,5295,3865,3328
北新宿２丁目,3075,2693,2412
北新宿３丁目,4898,3828,3326
北新宿４丁目,4413,3334,3113
西新宿１丁目,33,25,28
西新宿２丁目,2,2,4
西新宿３丁目,1654,1145,1062
西新宿４丁目,5059,3782,3478
西新宿５丁目,2681,2086,1944
西新宿６丁目,2357,1906,1663
西新宿７丁目,1750,1332,999
西新宿８丁目,2208,1606,1522
