町丁名,世帯数,男,女
四谷１丁目,16,12,7
四谷２丁目,32,20,18
四谷３丁目,25,25,12
四谷４丁目,200,127,113
四谷本塩町,18,9,12
四谷三栄町,65,42,49
四谷坂町,115,74,73
若葉１丁目,91,74,48
若葉２丁目,27,18,16
若葉３丁目,48,23,34
須賀町,45,29,25
左門町,65,40,33
信濃町,24,10,15
南元町,136,85,78
荒木町,144,89,84
舟町,65,45,31
愛住町,64,50,27
大京町,124,85,67
霞ヶ丘町,0,0,0
内藤町,41,25,27
片町,22,8,14
新宿１丁目,320,179,197
新宿２丁目,101,66,50
新宿３丁目,9,7,8
新宿４丁目,10,5,6
新宿５丁目,274,162,159
新宿６丁目,459,304,275
新宿７丁目,832,552,521
歌舞伎町１丁目,14,11,6
歌舞伎町２丁目,412,216,285
市谷田町１丁目,1,0,1
市谷田町２丁目,11,12,13
市谷田町３丁目,19,7,17
市谷本村町,62,62,66
市谷砂土原町１丁目,6,6,5
市谷砂土原町２丁目,22,17,11
市谷砂土原町３丁目,69,89,63
市谷左内町,15,10,9
市谷加賀町１丁目,0,0,0
市谷加賀町２丁目,52,37,41
市谷甲良町,15,13,13
市谷船河原町,8,14,10
市谷長延寺町,5,0,5
市谷鷹匠町,0,0,0
市谷山伏町,20,15,15
市谷八幡町,2,1,1
神楽坂１丁目,1,1,0
神楽坂２丁目,13,5,8
神楽坂３丁目,13,10,9
神楽坂４丁目,4,2,3
神楽坂５丁目,16,14,4
神楽坂６丁目,26,16,11
細工町,6,2,4
二十騎町,18,13,12
揚場町,1,1,0
津久戸町,4,3,1
東五軒町,53,27,36
西五軒町,66,53,34
赤城元町,10,7,5
南榎町,48,36,26
袋町,12,9,8
払方町,41,33,37
南町,17,15,9
北町,10,9,6
納戸町,51,30,25
南山伏町,10,8,6
北山伏町,22,14,12
白銀町,36,26,18
下宮比町,9,6,5
矢来町,130,65,78
若宮町,41,50,57
岩戸町,13,7,8
中町,12,7,8
箪笥町,18,11,7
横寺町,14,8,8
筑土八幡町,26,16,17
新小川町,111,73,61
神楽河岸,0,0,0
市谷薬王寺町,160,120,132
市谷柳町,48,33,24
市谷仲之町,140,162,151
赤城下町,43,29,16
天神町,73,34,42
榎町,24,9,17
東榎町,24,14,12
早稲田町,111,66,56
早稲田南町,63,44,29
馬場下町,32,16,23
原町１丁目,70,47,47
原町２丁目,55,45,48
原町３丁目,103,103,102
喜久井町,80,57,40
築地町,21,15,6
弁天町,149,89,93
中里町,10,4,7
山吹町,178,90,110
改代町,25,9,17
水道町,31,18,19
早稲田鶴巻町,656,354,364
住吉町,151,99,98
市谷台町,104,65,60
河田町,311,357,391
若松町,356,300,302
余丁町,186,123,121
戸山１丁目,159,80,108
戸山２丁目,291,151,285
戸山３丁目,82,49,48
富久町,403,259,280
百人町１丁目,1459,888,777
百人町２丁目,1711,1161,949
百人町３丁目,300,233,258
百人町４丁目,204,202,212
大久保１丁目,1731,1053,969
大久保２丁目,2504,1579,1528
大久保３丁目,382,285,329
戸塚町１丁目,39,16,29
西早稲田１丁目,702,342,456
西早稲田２丁目,1111,550,654
西早稲田３丁目,953,543,515
高田馬場１丁目,673,403,374
高田馬場２丁目,299,185,156
高田馬場３丁目,974,612,525
高田馬場４丁目,1080,730,573
下落合１丁目,818,450,449
下落合２丁目,323,225,184
下落合３丁目,254,159,131
下落合４丁目,423,247,214
中落合１丁目,246,137,144
中落合２丁目,313,207,179
中落合３丁目,139,76,84
中落合４丁目,175,106,90
上落合１丁目,439,273,258
上落合２丁目,367,217,194
上落合３丁目,368,192,220
西落合１丁目,217,118,125
西落合２丁目,221,113,149
西落合３丁目,132,69,81
西落合４丁目,212,134,85
中井１丁目,124,68,68
中井２丁目,189,98,121
北新宿１丁目,1547,983,841
北新宿２丁目,488,323,319
北新宿３丁目,1466,916,848
北新宿４丁目,1188,837,646
西新宿１丁目,2,1,1
西新宿２丁目,0,0,0
西新宿３丁目,214,130,106
西新宿４丁目,491,283,282
西新宿５丁目,336,213,250
西新宿６丁目,332,253,225
西新宿７丁目,215,133,108
西新宿８丁目,269,170,160
