町丁名,世帯数,男,女
四谷１丁目,279,227,313
四谷２丁目,245,197,219
四谷３丁目,264,171,217
四谷４丁目,2050,1673,1534
四谷本塩町,308,237,239
四谷三栄町,1037,896,980
四谷坂町,1512,1204,1125
若葉１丁目,1349,1247,1207
若葉２丁目,453,420,418
若葉３丁目,577,465,443
須賀町,776,655,664
左門町,1027,700,857
信濃町,510,378,467
南元町,1246,1086,1242
荒木町,1592,1196,1162
舟町,967,662,703
愛住町,832,653,672
大京町,2289,1704,2059
霞ヶ丘町,0,0,0
内藤町,638,562,610
片町,262,192,178
新宿１丁目,2918,2072,1812
新宿２丁目,833,616,480
新宿３丁目,94,82,43
新宿４丁目,195,160,101
新宿５丁目,1834,1292,982
新宿６丁目,2794,2035,1711
新宿７丁目,3683,2933,2726
歌舞伎町１丁目,147,114,49
歌舞伎町２丁目,1576,1251,538
市谷田町１丁目,13,8,15
市谷田町２丁目,321,250,323
市谷田町３丁目,179,151,176
市谷本村町,1741,1500,1076
市谷砂土原町１丁目,103,97,112
市谷砂土原町２丁目,253,202,253
市谷砂土原町３丁目,428,420,457
市谷左内町,236,211,231
市谷加賀町１丁目,181,209,246
市谷加賀町２丁目,952,712,985
市谷甲良町,438,372,422
市谷船河原町,72,81,87
市谷長延寺町,81,37,75
市谷鷹匠町,14,13,16
市谷山伏町,295,260,281
市谷八幡町,64,56,64
神楽坂１丁目,11,12,15
神楽坂２丁目,118,74,111
神楽坂３丁目,274,220,194
神楽坂４丁目,91,75,94
神楽坂５丁目,368,298,390
神楽坂６丁目,505,331,429
細工町,254,209,206
二十騎町,386,295,357
揚場町,54,46,51
津久戸町,61,41,49
東五軒町,1167,1009,1154
西五軒町,972,809,854
赤城元町,245,194,234
南榎町,683,670,694
袋町,356,307,334
払方町,500,467,508
南町,388,411,437
北町,528,469,545
納戸町,519,462,535
南山伏町,354,304,306
北山伏町,374,244,312
白銀町,725,577,762
下宮比町,177,99,137
矢来町,2390,2033,2309
若宮町,525,450,460
岩戸町,409,296,322
中町,253,246,242
箪笥町,438,294,331
横寺町,634,479,482
筑土八幡町,492,371,447
新小川町,1962,1604,1579
神楽河岸,0,0,0
市谷薬王寺町,1963,1454,1566
市谷柳町,877,580,693
市谷仲之町,1181,1039,1147
赤城下町,802,632,595
天神町,670,501,529
榎町,461,319,324
東榎町,207,129,152
早稲田町,771,531,614
早稲田南町,412,336,377
馬場下町,318,250,242
原町１丁目,795,659,706
原町２丁目,643,575,585
原町３丁目,1152,866,1037
喜久井町,1075,932,928
築地町,311,234,285
弁天町,1868,1494,1652
中里町,363,335,367
山吹町,2418,1705,1870
改代町,388,313,289
水道町,710,479,485
早稲田鶴巻町,3400,2445,2594
住吉町,1704,1258,1297
市谷台町,855,666,665
河田町,1216,1081,1086
若松町,3117,2404,2746
余丁町,2394,1896,1970
戸山１丁目,1414,1113,1229
戸山２丁目,3189,1937,2992
戸山３丁目,572,483,517
富久町,3856,3353,3347
百人町１丁目,1903,1475,926
百人町２丁目,2112,1593,1278
百人町３丁目,2344,2350,2594
百人町４丁目,1548,1009,1360
大久保１丁目,1929,1367,1117
大久保２丁目,3679,2771,2445
大久保３丁目,2202,2059,2212
戸塚町１丁目,119,87,86
西早稲田１丁目,2996,2286,2454
西早稲田２丁目,3264,2657,2455
西早稲田３丁目,3391,3011,2919
高田馬場１丁目,2368,1957,1765
高田馬場２丁目,1022,849,679
高田馬場３丁目,3325,2568,2224
高田馬場４丁目,3415,2821,2611
下落合１丁目,1479,1033,1017
下落合２丁目,1802,1561,1647
下落合３丁目,2481,1950,2400
下落合４丁目,2365,1983,2141
中落合１丁目,2134,1648,1662
中落合２丁目,2628,2295,2378
中落合３丁目,2365,1939,2163
中落合４丁目,1616,1481,1421
上落合１丁目,3052,2479,2480
上落合２丁目,3090,2338,2274
上落合３丁目,2901,2187,2052
西落合１丁目,2751,2178,2264
西落合２丁目,2400,1985,1989
西落合３丁目,1793,1414,1611
西落合４丁目,1274,1062,1180
中井１丁目,1178,901,735
中井２丁目,1594,1499,1523
北新宿１丁目,3999,2957,2543
北新宿２丁目,2854,2485,2177
北新宿３丁目,3781,2929,2658
北新宿４丁目,3549,2656,2558
西新宿１丁目,31,23,26
西新宿２丁目,1,1,4
西新宿３丁目,1444,1003,939
西新宿４丁目,4652,3491,3150
西新宿５丁目,2413,1878,1680
西新宿６丁目,2206,1738,1509
西新宿７丁目,1580,1210,896
西新宿８丁目,2058,1502,1383
