町丁名,世帯数,男,女
四谷１丁目,234,193,273
四谷２丁目,243,196,219
四谷３丁目,260,174,216
四谷４丁目,2065,1678,1528
四谷本塩町,276,221,219
四谷三栄町,1042,904,992
四谷坂町,1434,1108,1102
若葉１丁目,1358,1241,1216
若葉２丁目,415,368,387
若葉３丁目,594,466,469
須賀町,809,686,666
左門町,978,670,812
信濃町,554,393,502
南元町,1249,1089,1240
荒木町,1602,1193,1195
舟町,937,651,665
愛住町,873,674,683
大京町,2113,1600,1931
霞ヶ丘町,0,0,0
内藤町,711,649,577
片町,227,171,156
新宿１丁目,2763,1979,1752
新宿２丁目,805,617,465
新宿３丁目,99,84,51
新宿４丁目,208,168,104
新宿５丁目,1849,1303,1001
新宿６丁目,2772,2033,1746
新宿７丁目,3639,2960,2736
歌舞伎町１丁目,165,132,54
歌舞伎町２丁目,1573,1249,546
市谷田町１丁目,17,9,18
市谷田町２丁目,332,238,338
市谷田町３丁目,189,153,183
市谷本村町,1684,1482,938
市谷砂土原町１丁目,104,94,119
市谷砂土原町２丁目,250,199,255
市谷砂土原町３丁目,430,411,466
市谷左内町,216,192,218
市谷加賀町１丁目,21,14,20
市谷加賀町２丁目,1015,704,1059
市谷甲良町,413,371,410
市谷船河原町,71,76,84
市谷長延寺町,91,46,84
市谷鷹匠町,16,17,18
市谷山伏町,277,254,261
市谷八幡町,60,52,60
神楽坂１丁目,12,12,16
神楽坂２丁目,128,83,116
神楽坂３丁目,278,219,201
神楽坂４丁目,97,80,95
神楽坂５丁目,385,305,399
神楽坂６丁目,546,366,467
細工町,260,211,218
二十騎町,385,308,352
揚場町,52,47,54
津久戸町,65,48,46
東五軒町,1115,985,1136
西五軒町,930,796,825
赤城元町,233,182,214
南榎町,701,676,711
袋町,368,317,335
払方町,471,453,509
南町,370,370,404
北町,509,479,510
納戸町,531,460,537
南山伏町,363,321,303
北山伏町,363,243,291
白銀町,721,595,743
下宮比町,144,91,116
矢来町,2493,2129,2448
若宮町,523,439,473
岩戸町,414,285,315
中町,255,247,256
箪笥町,412,276,323
横寺町,583,450,463
筑土八幡町,504,374,469
新小川町,1941,1584,1589
神楽河岸,0,0,0
市谷薬王寺町,1981,1485,1591
市谷柳町,853,579,678
市谷仲之町,1188,1035,1169
赤城下町,738,587,577
天神町,688,493,562
榎町,478,333,328
東榎町,216,144,157
早稲田町,756,525,608
早稲田南町,411,361,377
馬場下町,301,249,232
原町１丁目,823,644,735
原町２丁目,661,624,588
原町３丁目,1054,766,942
喜久井町,1059,928,933
築地町,313,247,282
弁天町,1895,1550,1636
中里町,347,330,354
山吹町,2230,1601,1764
改代町,377,316,277
水道町,664,460,477
早稲田鶴巻町,3321,2500,2560
住吉町,1659,1245,1310
市谷台町,823,676,643
河田町,1267,1100,1149
若松町,3130,2521,2752
余丁町,2391,1914,1999
戸山１丁目,1435,1148,1233
戸山２丁目,3139,1979,3004
戸山３丁目,483,413,402
富久町,3884,3393,3336
百人町１丁目,1923,1483,978
百人町２丁目,2085,1627,1230
百人町３丁目,2377,2373,2622
百人町４丁目,1479,995,1355
大久保１丁目,1809,1327,1095
大久保２丁目,3733,2862,2546
大久保３丁目,2058,1951,2137
戸塚町１丁目,99,73,84
西早稲田１丁目,2951,2323,2462
西早稲田２丁目,3024,2517,2311
西早稲田３丁目,3374,3026,2905
高田馬場１丁目,2297,1914,1717
高田馬場２丁目,1019,837,690
高田馬場３丁目,3317,2586,2250
高田馬場４丁目,3388,2840,2644
下落合１丁目,1304,944,878
下落合２丁目,1773,1539,1643
下落合３丁目,2357,1898,2286
下落合４丁目,2335,1982,2183
中落合１丁目,2031,1594,1612
中落合２丁目,2556,2231,2365
中落合３丁目,2293,1947,2094
中落合４丁目,1588,1451,1414
上落合１丁目,3041,2528,2474
上落合２丁目,3039,2367,2248
上落合３丁目,2913,2185,2086
西落合１丁目,2601,2114,2216
西落合２丁目,2417,2019,1982
西落合３丁目,1775,1393,1616
西落合４丁目,1219,1028,1143
中井１丁目,1175,916,741
中井２丁目,1568,1431,1551
北新宿１丁目,3924,2922,2609
北新宿２丁目,2776,2425,2180
北新宿３丁目,3725,2944,2652
北新宿４丁目,3526,2752,2525
西新宿１丁目,34,27,27
西新宿２丁目,2,2,5
西新宿３丁目,1490,997,1013
西新宿４丁目,4667,3534,3174
西新宿５丁目,2523,1985,1764
西新宿６丁目,1973,1566,1383
西新宿７丁目,1543,1181,887
西新宿８丁目,1936,1431,1317
