町丁名,世帯数,男,女
四谷１丁目,271,224,308
四谷２丁目,259,206,217
四谷３丁目,271,179,215
四谷４丁目,2036,1646,1522
四谷本塩町,313,240,230
四谷三栄町,1041,917,979
四谷坂町,1571,1242,1144
若葉１丁目,1338,1226,1196
若葉２丁目,453,416,418
若葉３丁目,579,462,443
須賀町,771,652,656
左門町,1014,700,839
信濃町,517,372,471
南元町,1313,1100,1309
荒木町,1595,1188,1177
舟町,953,638,710
愛住町,853,657,676
大京町,2329,1722,2066
霞ヶ丘町,0,0,0
内藤町,650,583,635
片町,284,205,186
新宿１丁目,2886,2045,1801
新宿２丁目,803,604,459
新宿３丁目,81,73,37
新宿４丁目,191,156,99
新宿５丁目,1959,1343,1055
新宿６丁目,2811,2038,1707
新宿７丁目,3646,2881,2690
歌舞伎町１丁目,133,100,48
歌舞伎町２丁目,1601,1280,532
市谷田町１丁目,14,8,16
市谷田町２丁目,311,243,315
市谷田町３丁目,176,145,172
市谷本村町,1689,1454,1076
市谷砂土原町１丁目,102,94,108
市谷砂土原町２丁目,238,191,244
市谷砂土原町３丁目,437,419,465
市谷左内町,247,215,236
市谷加賀町１丁目,239,288,336
市谷加賀町２丁目,951,724,991
市谷甲良町,451,382,434
市谷船河原町,78,90,95
市谷長延寺町,73,31,69
市谷鷹匠町,33,20,29
市谷山伏町,297,256,281
市谷八幡町,66,56,65
神楽坂１丁目,11,12,15
神楽坂２丁目,119,78,110
神楽坂３丁目,276,217,195
神楽坂４丁目,96,81,94
神楽坂５丁目,366,294,378
神楽坂６丁目,503,336,426
細工町,254,210,206
二十騎町,405,301,364
揚場町,56,46,51
津久戸町,55,42,41
東五軒町,1215,1043,1186
西五軒町,968,794,859
赤城元町,255,209,234
南榎町,658,652,689
袋町,361,317,330
払方町,503,458,506
南町,386,409,439
北町,523,461,533
納戸町,504,451,525
南山伏町,404,321,357
北山伏町,370,233,315
白銀町,733,588,752
下宮比町,178,99,135
矢来町,2364,1976,2265
若宮町,508,443,452
岩戸町,412,275,334
中町,247,239,231
箪笥町,448,297,353
横寺町,620,467,485
筑土八幡町,581,436,510
新小川町,1988,1606,1574
神楽河岸,0,0,0
市谷薬王寺町,1947,1438,1554
市谷柳町,892,586,701
市谷仲之町,1244,1041,1185
赤城下町,825,637,629
天神町,668,494,535
榎町,467,316,330
東榎町,220,147,148
早稲田町,766,521,608
早稲田南町,411,335,370
馬場下町,311,239,231
原町１丁目,824,662,716
原町２丁目,646,582,584
原町３丁目,1131,860,1004
喜久井町,1071,916,918
築地町,315,248,296
弁天町,1930,1554,1707
中里町,359,327,359
山吹町,2469,1726,1891
改代町,383,304,291
水道町,705,478,473
早稲田鶴巻町,3387,2439,2554
住吉町,1714,1247,1297
市谷台町,836,647,651
河田町,1219,1071,1068
若松町,3145,2415,2768
余丁町,2404,1862,1955
戸山１丁目,1408,1114,1213
戸山２丁目,3185,1892,2963
戸山３丁目,587,496,532
富久町,3867,3371,3302
百人町１丁目,1882,1444,919
百人町２丁目,2128,1596,1265
百人町３丁目,2338,2313,2568
百人町４丁目,1534,991,1344
大久保１丁目,1865,1326,1053
大久保２丁目,3721,2812,2439
大久保３丁目,2179,2024,2161
戸塚町１丁目,116,82,86
西早稲田１丁目,2986,2265,2441
西早稲田２丁目,3269,2632,2455
西早稲田３丁目,3353,2951,2884
高田馬場１丁目,2416,1954,1802
高田馬場２丁目,1068,857,704
高田馬場３丁目,3327,2546,2228
高田馬場４丁目,3388,2792,2567
下落合１丁目,1466,1021,1009
下落合２丁目,1817,1571,1649
下落合３丁目,2489,1963,2397
下落合４丁目,2383,1964,2150
中落合１丁目,2098,1620,1624
中落合２丁目,2625,2280,2367
中落合３丁目,2322,1908,2117
中落合４丁目,1624,1473,1427
上落合１丁目,3065,2437,2476
上落合２丁目,3048,2315,2229
上落合３丁目,2991,2244,2078
西落合１丁目,2773,2138,2284
西落合２丁目,2421,1983,2017
西落合３丁目,1814,1419,1638
西落合４丁目,1297,1065,1176
中井１丁目,1192,892,744
中井２丁目,1640,1516,1543
北新宿１丁目,4116,3036,2579
北新宿２丁目,2966,2530,2224
北新宿３丁目,3736,2890,2623
北新宿４丁目,3589,2654,2548
西新宿１丁目,29,23,23
西新宿２丁目,1,1,4
西新宿３丁目,1454,987,940
西新宿４丁目,4675,3490,3137
西新宿５丁目,2394,1877,1665
西新宿６丁目,2209,1752,1487
西新宿７丁目,1529,1170,863
西新宿８丁目,2073,1510,1387
