町丁名,世帯数,男,女
四谷１丁目,15,11,7
四谷２丁目,24,18,12
四谷３丁目,30,27,13
四谷４丁目,205,131,106
四谷本塩町,23,13,15
四谷三栄町,63,45,43
四谷坂町,123,86,79
若葉１丁目,87,69,44
若葉２丁目,33,23,17
若葉３丁目,61,25,44
須賀町,52,35,26
左門町,74,46,35
信濃町,33,17,17
南元町,159,98,91
荒木町,143,77,91
舟町,73,44,37
愛住町,65,48,28
大京町,130,89,69
霞ヶ丘町,0,0,0
内藤町,45,28,28
片町,26,9,18
新宿１丁目,325,178,200
新宿２丁目,94,53,47
新宿３丁目,9,7,8
新宿４丁目,10,5,6
新宿５丁目,271,161,151
新宿６丁目,441,286,280
新宿７丁目,804,537,505
歌舞伎町１丁目,16,12,6
歌舞伎町２丁目,409,212,284
市谷田町１丁目,1,0,1
市谷田町２丁目,15,16,13
市谷田町３丁目,19,7,17
市谷本村町,56,61,62
市谷砂土原町１丁目,5,5,5
市谷砂土原町２丁目,22,17,11
市谷砂土原町３丁目,69,89,66
市谷左内町,16,11,9
市谷加賀町１丁目,0,0,0
市谷加賀町２丁目,54,35,47
市谷甲良町,18,13,13
市谷船河原町,7,11,9
市谷長延寺町,5,0,5
市谷鷹匠町,0,0,0
市谷山伏町,21,18,17
市谷八幡町,4,3,1
神楽坂１丁目,1,1,0
神楽坂２丁目,13,5,8
神楽坂３丁目,13,9,8
神楽坂４丁目,4,2,3
神楽坂５丁目,14,12,4
神楽坂６丁目,25,14,13
細工町,8,3,7
二十騎町,22,17,13
揚場町,1,1,0
津久戸町,5,3,2
東五軒町,54,25,38
西五軒町,68,51,38
赤城元町,10,6,6
南榎町,49,33,31
袋町,15,12,11
払方町,38,31,38
南町,18,17,9
北町,10,7,6
納戸町,53,33,27
南山伏町,10,8,6
北山伏町,23,15,15
白銀町,35,24,19
下宮比町,7,3,5
矢来町,121,70,70
若宮町,40,51,55
岩戸町,20,8,14
中町,12,7,8
箪笥町,13,7,6
横寺町,14,6,8
筑土八幡町,23,14,15
新小川町,105,64,62
神楽河岸,0,0,0
市谷薬王寺町,164,126,143
市谷柳町,48,33,22
市谷仲之町,144,157,154
赤城下町,51,37,16
天神町,72,35,40
榎町,19,5,14
東榎町,37,21,18
早稲田町,124,73,65
早稲田南町,70,53,30
馬場下町,38,21,24
原町１丁目,99,54,67
原町２丁目,59,45,47
原町３丁目,110,111,113
喜久井町,86,57,49
築地町,26,17,9
弁天町,160,91,105
中里町,7,1,6
山吹町,202,98,126
改代町,33,13,21
水道町,33,19,22
早稲田鶴巻町,691,378,379
住吉町,164,107,103
市谷台町,94,61,54
河田町,308,349,375
若松町,367,304,308
余丁町,196,138,128
戸山１丁目,162,83,113
戸山２丁目,284,143,278
戸山３丁目,81,44,50
富久町,411,266,287
百人町１丁目,1413,881,741
百人町２丁目,1715,1156,975
百人町３丁目,322,240,275
百人町４丁目,211,208,222
大久保１丁目,1676,995,962
大久保２丁目,2461,1547,1513
大久保３丁目,390,279,344
戸塚町１丁目,39,18,27
西早稲田１丁目,720,376,450
西早稲田２丁目,1126,546,665
西早稲田３丁目,939,506,538
高田馬場１丁目,652,398,359
高田馬場２丁目,302,179,163
高田馬場３丁目,992,631,521
高田馬場４丁目,1025,707,545
下落合１丁目,762,430,412
下落合２丁目,310,196,189
下落合３丁目,226,139,116
下落合４丁目,426,262,202
中落合１丁目,244,141,136
中落合２丁目,315,210,173
中落合３丁目,140,75,87
中落合４丁目,178,102,99
上落合１丁目,426,280,242
上落合２丁目,357,219,193
上落合３丁目,384,202,228
西落合１丁目,208,115,118
西落合２丁目,207,103,144
西落合３丁目,131,65,80
西落合４丁目,120,79,54
中井１丁目,114,64,62
中井２丁目,183,96,116
北新宿１丁目,1608,1029,860
北新宿２丁目,482,321,324
北新宿３丁目,1399,897,819
北新宿４丁目,1118,784,628
西新宿１丁目,2,1,1
西新宿２丁目,0,0,0
西新宿３丁目,224,131,116
西新宿４丁目,496,293,276
西新宿５丁目,303,189,236
西新宿６丁目,341,257,224
西新宿７丁目,205,135,98
西新宿８丁目,260,160,161
