町丁名,世帯数,男,女
四谷１丁目,284,246,292
四谷２丁目,273,205,227
四谷３丁目,288,192,217
四谷４丁目,2325,1804,1715
四谷本塩町,343,261,247
四谷三栄町,1100,943,1013
四谷坂町,1700,1334,1241
若葉１丁目,1419,1289,1272
若葉２丁目,498,434,433
若葉３丁目,635,508,474
須賀町,800,680,668
左門町,1096,745,910
信濃町,636,437,541
南元町,1430,1167,1402
荒木町,1768,1296,1282
舟町,1077,712,776
愛住町,936,714,693
大京町,2475,1831,2102
霞ヶ丘町,1,1,0
内藤町,699,607,695
片町,336,235,216
新宿１丁目,3152,2218,1948
新宿２丁目,917,696,516
新宿３丁目,78,70,35
新宿４丁目,178,138,96
新宿５丁目,2276,1544,1226
新宿６丁目,3166,2287,1943
新宿７丁目,4333,3361,3136
歌舞伎町１丁目,147,113,50
歌舞伎町２丁目,1836,1411,722
市谷田町１丁目,14,8,15
市谷田町２丁目,331,259,335
市谷田町３丁目,206,162,185
市谷本村町,1836,1593,1135
市谷砂土原町１丁目,105,94,113
市谷砂土原町２丁目,269,205,254
市谷砂土原町３丁目,475,482,495
市谷左内町,266,228,261
市谷加賀町１丁目,247,308,351
市谷加賀町２丁目,1001,758,1021
市谷甲良町,468,377,446
市谷船河原町,74,91,89
市谷長延寺町,76,29,72
市谷鷹匠町,52,32,40
市谷山伏町,335,276,312
市谷八幡町,67,58,65
神楽坂１丁目,11,12,14
神楽坂２丁目,125,80,114
神楽坂３丁目,283,226,192
神楽坂４丁目,96,84,100
神楽坂５丁目,366,303,362
神楽坂６丁目,525,364,428
細工町,265,219,213
二十騎町,411,303,361
揚場町,62,51,56
津久戸町,60,43,42
東五軒町,1306,1082,1233
西五軒町,1082,875,912
赤城元町,249,211,232
南榎町,708,690,729
袋町,430,406,402
払方町,535,468,525
南町,396,432,444
北町,531,462,531
納戸町,614,558,614
南山伏町,452,355,379
北山伏町,396,249,333
白銀町,783,630,784
下宮比町,190,104,144
矢来町,2520,2090,2308
若宮町,545,488,514
岩戸町,436,287,355
中町,265,267,236
箪笥町,464,307,358
横寺町,624,478,488
筑土八幡町,609,449,534
新小川町,2249,1768,1728
神楽河岸,0,0,0
市谷薬王寺町,2227,1647,1811
市谷柳町,976,638,755
市谷仲之町,1424,1213,1371
赤城下町,878,679,648
天神町,729,524,563
榎町,507,346,347
東榎町,285,181,187
早稲田町,945,607,715
早稲田南町,493,383,405
馬場下町,326,252,244
原町１丁目,908,719,786
原町２丁目,709,628,618
原町３丁目,1276,976,1131
喜久井町,1135,959,940
築地町,325,254,297
弁天町,2140,1697,1842
中里町,361,329,367
山吹町,2899,1937,2163
改代町,401,312,306
水道町,758,514,498
早稲田鶴巻町,3939,2716,2869
住吉町,1877,1375,1417
市谷台町,937,719,684
河田町,1640,1541,1506
若松町,3519,2745,3108
余丁町,2585,2005,2090
戸山１丁目,1541,1210,1291
戸山２丁目,3339,2045,3260
戸山３丁目,671,550,577
富久町,4183,3622,3547
百人町１丁目,2924,2121,1446
百人町２丁目,3447,2550,2066
百人町３丁目,2603,2608,2818
百人町４丁目,1698,1167,1577
大久保１丁目,2881,2023,1683
大久保２丁目,5492,4113,3593
大久保３丁目,2503,2325,2459
戸塚町１丁目,153,105,109
西早稲田１丁目,3873,2787,2887
西早稲田２丁目,4328,3199,3051
西早稲田３丁目,4232,3495,3341
高田馬場１丁目,2959,2320,2084
高田馬場２丁目,1431,1081,877
高田馬場３丁目,4359,3179,2785
高田馬場４丁目,4311,3445,3060
下落合１丁目,2108,1386,1358
下落合２丁目,2239,1926,1901
下落合３丁目,2725,2092,2563
下落合４丁目,2735,2181,2314
中落合１丁目,2565,1905,1894
中落合２丁目,2994,2503,2610
中落合３丁目,2457,1978,2192
中落合４丁目,1763,1529,1515
上落合１丁目,3381,2708,2643
上落合２丁目,3315,2455,2383
上落合３丁目,3364,2452,2295
西落合１丁目,2993,2262,2393
西落合２丁目,2599,2139,2134
西落合３丁目,1932,1496,1668
西落合４丁目,1377,1111,1231
中井１丁目,1316,959,805
中井２丁目,1779,1590,1656
北新宿１丁目,5464,3963,3350
北新宿２丁目,3393,2846,2554
北新宿３丁目,4803,3664,3247
北新宿４丁目,4579,3314,3146
西新宿１丁目,29,24,23
西新宿２丁目,2,2,4
西新宿３丁目,1672,1125,1049
西新宿４丁目,5115,3771,3414
西新宿５丁目,2874,2239,1998
西新宿６丁目,2471,1987,1710
西新宿７丁目,1765,1336,971
西新宿８丁目,2243,1617,1486
