町丁名,世帯数,男,女
四谷１丁目,242,203,271
四谷２丁目,270,215,237
四谷３丁目,285,210,230
四谷４丁目,2246,1811,1665
四谷本塩町,266,214,212
四谷三栄町,1088,933,1003
四谷坂町,1428,1108,1127
若葉１丁目,1406,1301,1242
若葉２丁目,433,395,396
若葉３丁目,609,466,482
須賀町,828,708,686
左門町,1019,703,845
信濃町,557,408,506
南元町,1339,1168,1317
荒木町,1686,1245,1259
舟町,1003,690,706
愛住町,906,720,700
大京町,2150,1667,1955
霞ヶ丘町,1,1,0
内藤町,703,643,572
片町,231,163,166
新宿１丁目,3000,2129,1931
新宿２丁目,881,672,517
新宿３丁目,107,95,57
新宿４丁目,226,182,107
新宿５丁目,2074,1461,1146
新宿６丁目,3099,2283,2011
新宿７丁目,4322,3491,3217
歌舞伎町１丁目,176,142,62
歌舞伎町２丁目,1883,1441,821
市谷田町１丁目,19,10,21
市谷田町２丁目,351,256,359
市谷田町３丁目,204,161,205
市谷本村町,1779,1593,977
市谷砂土原町１丁目,113,105,128
市谷砂土原町２丁目,247,196,236
市谷砂土原町３丁目,479,498,518
市谷左内町,235,213,238
市谷加賀町１丁目,21,13,22
市谷加賀町２丁目,962,716,1017
市谷甲良町,390,361,398
市谷船河原町,76,87,91
市谷長延寺町,93,46,88
市谷鷹匠町,20,22,24
市谷山伏町,303,271,281
市谷八幡町,63,56,67
神楽坂１丁目,12,12,16
神楽坂２丁目,138,90,126
神楽坂３丁目,299,237,219
神楽坂４丁目,91,78,92
神楽坂５丁目,393,314,395
神楽坂６丁目,570,392,473
細工町,261,209,228
二十騎町,373,315,352
揚場町,55,50,57
津久戸町,69,48,49
東五軒町,1150,1012,1158
西五軒町,938,819,840
赤城元町,230,182,214
南榎町,713,695,696
袋町,375,334,347
払方町,507,491,545
南町,383,391,414
北町,499,471,519
納戸町,569,479,548
南山伏町,373,328,313
北山伏町,353,229,266
白銀町,748,623,750
下宮比町,155,97,124
矢来町,2592,2192,2551
若宮町,559,494,525
岩戸町,424,287,331
中町,267,257,265
箪笥町,414,284,319
横寺町,576,447,453
筑土八幡町,557,402,517
新小川町,1906,1560,1581
神楽河岸,0,0,0
市谷薬王寺町,2075,1592,1719
市谷柳町,872,603,682
市谷仲之町,1252,1172,1304
赤城下町,770,605,595
天神町,741,529,594
榎町,464,318,330
東榎町,232,153,161
早稲田町,805,560,612
早稲田南町,460,397,396
馬場下町,328,262,257
原町１丁目,871,681,777
原町２丁目,697,650,617
原町３丁目,1129,866,1012
喜久井町,1127,1007,973
築地町,325,257,289
弁天町,1982,1604,1703
中里町,354,328,368
山吹町,2321,1680,1832
改代町,375,302,285
水道町,629,441,467
早稲田鶴巻町,3931,2862,2942
住吉町,1775,1334,1378
市谷台町,901,736,702
河田町,1528,1474,1516
若松町,3417,2824,3038
余丁町,2542,2043,2124
戸山１丁目,1558,1202,1342
戸山２丁目,3344,2213,3370
戸山３丁目,558,466,446
富久町,4182,3648,3597
百人町１丁目,3352,2407,1768
百人町２丁目,3683,2762,2192
百人町３丁目,2610,2626,2880
百人町４丁目,1593,1163,1524
大久保１丁目,3529,2447,2120
大久保２丁目,6119,4553,4074
大久保３丁目,2331,2245,2479
戸塚町１丁目,139,89,119
西早稲田１丁目,3627,2656,2928
西早稲田２丁目,4160,3084,3073
西早稲田３丁目,4331,3615,3439
高田馬場１丁目,2931,2335,2118
高田馬場２丁目,1316,1012,866
高田馬場３丁目,4278,3205,2790
高田馬場４丁目,4384,3550,3205
下落合１丁目,2053,1378,1279
下落合２丁目,2012,1731,1788
下落合３丁目,2556,2016,2409
下落合４丁目,2704,2220,2387
中落合１丁目,2234,1716,1755
中落合２丁目,2865,2479,2589
中落合３丁目,2390,2031,2189
中落合４丁目,1748,1566,1525
上落合１丁目,3373,2770,2684
上落合２丁目,3286,2524,2385
上落合３丁目,3227,2375,2281
西落合１丁目,2773,2224,2335
西落合２丁目,2577,2120,2142
西落合３丁目,1864,1451,1689
西落合４丁目,1348,1135,1179
中井１丁目,1273,978,808
中井２丁目,1740,1545,1662
北新宿１丁目,5374,3919,3473
北新宿２丁目,3209,2765,2518
北新宿３丁目,5150,3875,3556
北新宿４丁目,4599,3568,3138
西新宿１丁目,34,28,28
西新宿２丁目,3,3,5
西新宿３丁目,1610,1072,1065
西新宿４丁目,5007,3771,3416
西新宿５丁目,2862,2225,2046
西新宿６丁目,2254,1825,1599
西新宿７丁目,1698,1294,985
西新宿８丁目,2187,1592,1496
