町丁名,世帯数,男,女
四谷１丁目,274,232,302
四谷２丁目,255,195,213
四谷３丁目,286,187,220
四谷４丁目,2172,1700,1594
四谷本塩町,325,248,231
四谷三栄町,1084,929,989
四谷坂町,1579,1218,1145
若葉１丁目,1374,1228,1229
若葉２丁目,522,446,443
若葉３丁目,595,475,434
須賀町,764,651,637
左門町,1037,691,867
信濃町,508,351,459
南元町,1336,1094,1295
荒木町,1644,1198,1190
舟町,1061,703,770
愛住町,880,664,655
大京町,2346,1719,2026
霞ヶ丘町,0,0,0
内藤町,656,566,658
片町,320,220,203
新宿１丁目,2829,1992,1756
新宿２丁目,777,586,441
新宿３丁目,75,64,33
新宿４丁目,173,130,96
新宿５丁目,2023,1357,1079
新宿６丁目,2839,2038,1685
新宿７丁目,3726,2876,2675
歌舞伎町１丁目,140,107,50
歌舞伎町２丁目,1532,1226,504
市谷田町１丁目,15,9,13
市谷田町２丁目,320,245,334
市谷田町３丁目,182,145,161
市谷本村町,1688,1459,1023
市谷砂土原町１丁目,96,87,105
市谷砂土原町２丁目,256,196,241
市谷砂土原町３丁目,455,449,480
市谷左内町,253,222,244
市谷加賀町１丁目,244,301,344
市谷加賀町２丁目,962,729,986
市谷甲良町,446,362,436
市谷船河原町,70,81,79
市谷長延寺町,69,24,69
市谷鷹匠町,40,30,30
市谷山伏町,313,259,293
市谷八幡町,67,57,63
神楽坂１丁目,11,12,14
神楽坂２丁目,121,83,112
神楽坂３丁目,260,203,180
神楽坂４丁目,91,81,92
神楽坂５丁目,364,296,364
神楽坂６丁目,508,355,405
細工町,247,205,198
二十騎町,383,283,342
揚場町,61,50,50
津久戸町,62,42,43
東五軒町,1218,1039,1180
西五軒町,965,799,850
赤城元町,250,207,232
南榎町,661,642,708
袋町,426,403,401
払方町,512,442,494
南町,379,393,423
北町,513,450,525
納戸町,585,522,604
南山伏町,416,326,365
北山伏町,359,227,309
白銀町,749,603,765
下宮比町,187,101,140
矢来町,2429,1994,2220
若宮町,524,441,459
岩戸町,404,264,332
中町,249,249,237
箪笥町,438,284,340
横寺町,583,445,466
筑土八幡町,603,429,538
新小川町,2114,1688,1637
神楽河岸,0,0,0
市谷薬王寺町,2052,1486,1633
市谷柳町,945,598,739
市谷仲之町,1310,1043,1221
赤城下町,844,661,627
天神町,689,498,554
榎町,479,330,332
東榎町,256,158,175
早稲田町,763,503,609
早稲田南町,409,331,351
馬場下町,279,214,217
原町１丁目,818,661,718
原町２丁目,661,594,567
原町３丁目,1144,857,1007
喜久井町,1073,904,903
築地町,314,243,293
弁天町,2029,1662,1802
中里町,348,313,347
山吹町,2521,1755,1915
改代町,384,300,282
水道町,691,459,474
早稲田鶴巻町,3334,2369,2475
住吉町,1703,1224,1287
市谷台町,919,675,676
河田町,1177,1026,1003
若松町,3219,2464,2804
余丁町,2436,1848,1969
戸山１丁目,1410,1082,1204
戸山２丁目,3114,1788,2867
戸山３丁目,604,513,534
富久町,3927,3346,3278
百人町１丁目,1839,1390,872
百人町２丁目,2076,1521,1258
百人町３丁目,2355,2287,2475
百人町４丁目,1536,972,1333
大久保１丁目,1828,1280,1007
大久保２丁目,3728,2761,2414
大久保３丁目,2130,2000,2094
戸塚町１丁目,107,77,79
西早稲田１丁目,2989,2237,2417
西早稲田２丁目,3173,2525,2422
西早稲田３丁目,3311,2871,2826
高田馬場１丁目,2411,1926,1788
高田馬場２丁目,1095,872,702
高田馬場３丁目,3336,2513,2231
高田馬場４丁目,3382,2766,2561
下落合１丁目,1428,970,992
下落合２丁目,1895,1640,1746
下落合３丁目,2469,1887,2374
下落合４丁目,2357,1948,2064
中落合１丁目,2297,1749,1773
中落合２丁目,2661,2253,2367
中落合３丁目,2314,1904,2075
中落合４丁目,1598,1424,1419
上落合１丁目,3074,2458,2437
上落合２丁目,2980,2256,2149
上落合３丁目,2984,2203,2055
西落合１丁目,2795,2150,2239
西落合２丁目,2442,2007,1992
西落合３丁目,1839,1441,1586
西落合４丁目,1319,1068,1180
中井１丁目,1191,889,727
中井２丁目,1614,1487,1537
北新宿１丁目,4133,3018,2547
北新宿２丁目,3029,2561,2218
北新宿３丁目,3742,2804,2608
北新宿４丁目,3509,2574,2455
西新宿１丁目,27,22,21
西新宿２丁目,1,1,4
西新宿３丁目,1404,965,866
西新宿４丁目,4755,3466,3161
西新宿５丁目,2672,2057,1839
西新宿６丁目,2136,1682,1454
西新宿７丁目,1549,1194,848
西新宿８丁目,2075,1492,1373
