町丁名,世帯数,男,女
四谷１丁目,295,241,321
四谷２丁目,256,206,228
四谷３丁目,279,183,225
四谷４丁目,2206,1773,1634
四谷本塩町,319,244,249
四谷三栄町,1084,937,1014
四谷坂町,1602,1291,1202
若葉１丁目,1399,1312,1252
若葉２丁目,491,446,440
若葉３丁目,624,491,479
須賀町,807,685,684
左門町,1075,738,888
信濃町,531,387,484
南元町,1311,1156,1302
荒木町,1687,1271,1237
舟町,1017,694,733
愛住町,880,703,692
大京町,2402,1806,2123
霞ヶ丘町,5,5,0
内藤町,664,586,640
片町,281,202,190
新宿１丁目,3173,2239,1981
新宿２丁目,924,673,524
新宿３丁目,99,89,50
新宿４丁目,201,163,106
新宿５丁目,2045,1441,1103
新宿６丁目,3076,2233,1929
新宿７丁目,4262,3376,3169
歌舞伎町１丁目,156,122,52
歌舞伎町２丁目,1858,1422,752
市谷田町１丁目,13,8,16
市谷田町２丁目,329,260,330
市谷田町３丁目,194,157,192
市谷本村町,1797,1561,1143
市谷砂土原町１丁目,104,99,114
市谷砂土原町２丁目,266,214,261
市谷砂土原町３丁目,463,487,503
市谷左内町,244,218,240
市谷加賀町１丁目,183,214,251
市谷加賀町２丁目,999,752,1030
市谷甲良町,464,397,440
市谷船河原町,75,87,98
市谷長延寺町,85,38,79
市谷鷹匠町,14,13,16
市谷山伏町,310,270,292
市谷八幡町,64,57,66
神楽坂１丁目,11,12,15
神楽坂２丁目,123,78,113
神楽坂３丁目,285,232,201
神楽坂４丁目,93,76,96
神楽坂５丁目,376,304,395
神楽坂６丁目,524,346,441
細工町,263,214,216
二十騎町,399,308,368
揚場町,56,48,51
津久戸町,64,43,50
東五軒町,1220,1042,1195
西五軒町,1020,856,887
赤城元町,248,197,237
南榎町,711,697,710
袋町,361,319,339
払方町,521,493,538
南町,397,431,447
北町,539,480,551
納戸町,554,489,555
南山伏町,360,311,309
北山伏町,398,257,330
白銀町,746,593,783
下宮比町,186,103,145
矢来町,2472,2102,2368
若宮町,550,484,505
岩戸町,423,308,336
中町,260,254,248
箪笥町,451,304,340
横寺町,648,489,491
筑土八幡町,503,379,460
新小川町,2033,1652,1634
神楽河岸,0,0,0
市谷薬王寺町,2088,1580,1715
市谷柳町,908,607,719
市谷仲之町,1292,1195,1304
赤城下町,831,655,614
天神町,706,521,551
榎町,475,322,337
東榎町,217,134,161
早稲田町,864,585,679
早稲田南町,454,366,399
馬場下町,346,262,264
原町１丁目,848,698,738
原町２丁目,683,613,621
原町３丁目,1243,950,1138
喜久井町,1126,975,962
築地町,316,242,288
弁天町,1967,1571,1731
中里町,369,338,374
山吹町,2595,1798,1996
改代町,406,323,301
水道町,751,504,511
早稲田鶴巻町,3774,2662,2848
住吉町,1831,1368,1401
市谷台町,919,708,715
河田町,1474,1408,1423
若松町,3357,2655,2996
余丁町,2526,2018,2089
戸山１丁目,1509,1181,1311
戸山２丁目,3357,2101,3305
戸山３丁目,643,530,556
富久町,4074,3552,3568
百人町１丁目,2830,2111,1446
百人町２丁目,3344,2534,2020
百人町３丁目,2555,2597,2859
百人町４丁目,1690,1185,1582
大久保１丁目,2989,2068,1811
大久保２丁目,5197,3913,3542
大久保３丁目,2525,2356,2552
戸塚町１丁目,141,99,100
西早稲田１丁目,3554,2611,2805
西早稲田２丁目,3835,3035,2793
西早稲田３丁目,4043,3435,3288
高田馬場１丁目,2781,2229,2021
高田馬場２丁目,1247,993,795
高田馬場３丁目,4070,3086,2624
高田馬場４丁目,4110,3356,3056
下落合１丁目,2004,1381,1304
下落合２丁目,2068,1767,1807
下落合３丁目,2646,2080,2519
下落合４丁目,2654,2174,2322
中落合１丁目,2361,1807,1789
中落合２丁目,2837,2455,2528
中落合３丁目,2472,2016,2249
中落合４丁目,1718,1555,1503
上落合１丁目,3276,2658,2650
上落合２丁目,3307,2491,2427
上落合３丁目,3163,2353,2222
西落合１丁目,2873,2250,2363
西落合２丁目,2536,2091,2090
西落合３丁目,1892,1477,1673
西落合４丁目,1333,1107,1223
中井１丁目,1274,970,791
中井２丁目,1716,1577,1612
北新宿１丁目,5083,3738,3171
北新宿２丁目,3163,2744,2456
北新宿３丁目,4733,3655,3283
北新宿４丁目,4265,3195,3050
西新宿１丁目,33,25,27
西新宿２丁目,1,1,4
西新宿３丁目,1621,1119,1038
西新宿４丁目,5025,3758,3409
西新宿５丁目,2605,2030,1867
西新宿６丁目,2466,1978,1724
西新宿７丁目,1735,1316,994
西新宿８丁目,2237,1623,1518
