町丁名,世帯数,男,女
四谷１丁目,292,247,312
四谷２丁目,272,202,225
四谷３丁目,314,206,234
四谷４丁目,2352,1820,1713
四谷本塩町,344,258,247
四谷三栄町,1137,968,1030
四谷坂町,1687,1312,1234
若葉１丁目,1446,1303,1275
若葉２丁目,584,485,481
若葉３丁目,659,518,473
須賀町,809,682,669
左門町,1112,745,909
信濃町,584,396,502
南元町,1449,1168,1404
荒木町,1770,1295,1298
舟町,1125,744,814
愛住町,949,717,699
大京町,2501,1842,2109
霞ヶ丘町,1,1,0
内藤町,687,596,697
片町,369,248,238
新宿１丁目,3122,2188,1934
新宿２丁目,920,691,521
新宿３丁目,79,68,37
新宿４丁目,171,129,93
新宿５丁目,2288,1519,1239
新宿６丁目,3230,2301,1976
新宿７丁目,4445,3394,3176
歌舞伎町１丁目,147,110,56
歌舞伎町２丁目,1780,1377,689
市谷田町１丁目,15,9,14
市谷田町２丁目,328,251,340
市谷田町３丁目,210,155,189
市谷本村町,1774,1536,1119
市谷砂土原町１丁目,107,95,114
市谷砂土原町２丁目,270,210,249
市谷砂土原町３丁目,511,524,532
市谷左内町,273,233,257
市谷加賀町１丁目,247,304,351
市谷加賀町２丁目,1032,777,1042
市谷甲良町,475,385,460
市谷船河原町,71,88,87
市谷長延寺町,72,24,72
市谷鷹匠町,53,37,36
市谷山伏町,326,269,306
市谷八幡町,68,59,63
神楽坂１丁目,11,12,14
神楽坂２丁目,133,89,119
神楽坂３丁目,287,228,192
神楽坂４丁目,94,82,94
神楽坂５丁目,377,312,378
神楽坂６丁目,533,381,416
細工町,253,209,205
二十騎町,416,315,363
揚場町,63,53,52
津久戸町,64,43,44
東五軒町,1308,1087,1228
西五軒町,1096,889,927
赤城元町,252,206,233
南榎町,706,684,732
袋町,446,424,423
払方町,536,462,516
南町,388,407,434
北町,534,472,539
納戸町,637,566,637
南山伏町,446,349,391
北山伏町,398,252,331
白銀町,786,626,794
下宮比町,198,105,149
矢来町,2578,2092,2308
若宮町,567,496,512
岩戸町,418,272,346
中町,264,265,245
箪笥町,474,313,359
横寺町,612,463,481
筑土八幡町,631,453,562
新小川町,2265,1796,1733
神楽河岸,0,0,0
市谷薬王寺町,2227,1654,1799
市谷柳町,1003,641,767
市谷仲之町,1431,1203,1366
赤城下町,929,716,673
天神町,782,555,606
榎町,526,353,353
東榎町,293,174,199
早稲田町,943,590,727
早稲田南町,509,383,415
馬場下町,313,241,240
原町１丁目,913,715,771
原町２丁目,715,643,610
原町３丁目,1264,958,1115
喜久井町,1151,968,946
築地町,321,254,293
弁天町,2238,1818,1945
中里町,357,319,357
山吹町,2944,1979,2176
改代町,416,323,296
水道町,766,505,509
早稲田鶴巻町,4069,2790,2897
住吉町,1869,1361,1416
市谷台町,1035,767,744
河田町,1602,1487,1462
若松町,3579,2781,3149
余丁町,2639,2000,2114
戸山１丁目,1566,1193,1306
戸山２丁目,3323,2001,3243
戸山３丁目,671,556,574
富久町,4241,3627,3546
百人町１丁目,3007,2153,1483
百人町２丁目,3553,2607,2106
百人町３丁目,2857,2741,2883
百人町４丁目,1696,1161,1586
大久保１丁目,2903,2028,1667
大久保２丁目,5532,4078,3634
大久保３丁目,2539,2347,2479
戸塚町１丁目,156,109,105
西早稲田１丁目,3914,2802,2910
西早稲田２丁目,4383,3216,3090
西早稲田３丁目,4406,3546,3426
高田馬場１丁目,3026,2385,2095
高田馬場２丁目,1447,1090,879
高田馬場３丁目,4440,3232,2805
高田馬場４丁目,4390,3471,3125
下落合１丁目,2162,1392,1412
下落合２丁目,2261,1938,1944
下落合３丁目,2740,2088,2547
下落合４丁目,2789,2225,2283
中落合１丁目,2683,2016,1999
中落合２丁目,3025,2502,2602
中落合３丁目,2516,2038,2203
中落合４丁目,1785,1530,1550
上落合１丁目,3470,2745,2692
上落合２丁目,3352,2488,2380
上落合３丁目,3379,2428,2315
西落合１丁目,2996,2276,2362
西落合２丁目,2684,2180,2153
西落合３丁目,1970,1539,1667
西落合４丁目,1393,1126,1224
中井１丁目,1320,971,803
中井２丁目,1817,1608,1672
北新宿１丁目,5513,3998,3338
北新宿２丁目,3427,2867,2542
北新宿３丁目,4953,3722,3299
北新宿４丁目,4555,3305,3090
西新宿１丁目,29,23,22
西新宿２丁目,2,2,4
西新宿３丁目,1595,1088,983
西新宿４丁目,5283,3845,3497
西新宿５丁目,2984,2301,2100
西新宿６丁目,2481,1962,1727
西新宿７丁目,1798,1365,971
西新宿８丁目,2331,1643,1548
