町丁名,世帯数,男,女
四谷１丁目,271,225,304
四谷２丁目,258,203,219
四谷３丁目,262,176,204
四谷４丁目,2040,1646,1541
四谷本塩町,322,248,233
四谷三栄町,1043,912,978
四谷坂町,1568,1235,1146
若葉１丁目,1333,1229,1194
若葉２丁目,444,404,411
若葉３丁目,586,466,451
須賀町,772,655,645
左門町,1014,701,842
信濃町,537,386,484
南元町,1319,1110,1300
荒木町,1590,1173,1167
舟町,959,633,706
愛住町,865,653,676
大京町,2310,1729,2041
霞ヶ丘町,0,0,0
内藤町,659,581,645
片町,297,209,196
新宿１丁目,2868,2030,1782
新宿２丁目,809,606,459
新宿３丁目,80,74,34
新宿４丁目,181,148,95
新宿５丁目,1968,1358,1055
新宿６丁目,2766,2005,1690
新宿７丁目,3689,2887,2698
歌舞伎町１丁目,133,100,48
歌舞伎町２丁目,1579,1261,527
市谷田町１丁目,14,8,16
市谷田町２丁目,310,236,316
市谷田町３丁目,175,149,173
市谷本村町,1748,1501,1078
市谷砂土原町１丁目,100,93,107
市谷砂土原町２丁目,246,192,246
市谷砂土原町３丁目,424,410,448
市谷左内町,252,220,239
市谷加賀町１丁目,241,296,335
市谷加賀町２丁目,941,731,980
市谷甲良町,451,376,438
市谷船河原町,75,88,92
市谷長延寺町,74,32,70
市谷鷹匠町,36,24,32
市谷山伏町,305,265,293
市谷八幡町,64,56,62
神楽坂１丁目,12,13,15
神楽坂２丁目,116,77,107
神楽坂３丁目,272,216,187
神楽坂４丁目,93,79,97
神楽坂５丁目,367,296,378
神楽坂６丁目,502,341,418
細工町,256,214,205
二十騎町,402,296,357
揚場町,57,47,53
津久戸町,56,41,43
東五軒町,1210,1047,1172
西五軒町,972,799,855
赤城元町,257,214,235
南榎町,669,657,691
袋町,363,315,327
払方町,504,449,511
南町,387,408,437
北町,509,452,518
納戸町,516,466,540
南山伏町,414,329,360
北山伏町,357,227,312
白銀町,741,597,759
下宮比町,186,106,137
矢来町,2375,1998,2266
若宮町,502,443,452
岩戸町,407,268,334
中町,251,249,233
箪笥町,450,293,359
横寺町,619,464,484
筑土八幡町,594,437,515
新小川町,1979,1595,1574
神楽河岸,0,0,0
市谷薬王寺町,1948,1430,1554
市谷柳町,887,588,694
市谷仲之町,1249,1032,1199
赤城下町,826,646,625
天神町,654,485,511
榎町,472,324,333
東榎町,240,163,159
早稲田町,760,519,608
早稲田南町,394,325,358
馬場下町,305,236,229
原町１丁目,817,666,714
原町２丁目,640,582,579
原町３丁目,1128,859,1007
喜久井町,1060,911,907
築地町,318,245,297
弁天町,1915,1545,1692
中里町,352,324,358
山吹町,2466,1735,1881
改代町,364,292,284
水道町,707,479,477
早稲田鶴巻町,3353,2409,2535
住吉町,1698,1240,1297
市谷台町,837,644,648
河田町,1249,1107,1071
若松町,3157,2448,2785
余丁町,2404,1864,1949
戸山１丁目,1387,1105,1197
戸山２丁目,3169,1884,2938
戸山３丁目,590,495,533
富久町,3865,3368,3289
百人町１丁目,1837,1405,893
百人町２丁目,2131,1587,1280
百人町３丁目,2343,2320,2550
百人町４丁目,1536,978,1338
大久保１丁目,1887,1343,1051
大久保２丁目,3696,2795,2433
大久保３丁目,2178,2031,2156
戸塚町１丁目,110,80,79
西早稲田１丁目,2954,2239,2401
西早稲田２丁目,3260,2616,2463
西早稲田３丁目,3334,2934,2886
高田馬場１丁目,2397,1938,1791
高田馬場２丁目,1080,877,698
高田馬場３丁目,3342,2545,2228
高田馬場４丁目,3375,2779,2566
下落合１丁目,1469,1020,1008
下落合２丁目,1789,1554,1645
下落合３丁目,2475,1951,2381
下落合４丁目,2374,1974,2125
中落合１丁目,2119,1633,1637
中落合２丁目,2628,2278,2379
中落合３丁目,2299,1890,2089
中落合４丁目,1607,1448,1417
上落合１丁目,3055,2445,2448
上落合２丁目,3032,2290,2222
上落合３丁目,2975,2244,2061
西落合１丁目,2761,2133,2279
西落合２丁目,2412,1995,2005
西落合３丁目,1800,1423,1608
西落合４丁目,1297,1066,1178
中井１丁目,1194,887,740
中井２丁目,1627,1502,1543
北新宿１丁目,4099,3036,2559
北新宿２丁目,2945,2520,2214
北新宿３丁目,3710,2853,2609
北新宿４丁目,3573,2651,2514
西新宿１丁目,28,22,23
西新宿２丁目,1,1,4
西新宿３丁目,1458,991,941
西新宿４丁目,4665,3462,3142
西新宿５丁目,2396,1879,1672
西新宿６丁目,2207,1747,1498
西新宿７丁目,1511,1157,850
西新宿８丁目,2067,1506,1382
