町丁名,世帯数,男,女
四谷１丁目,293,242,322
四谷２丁目,275,217,226
四谷３丁目,279,185,223
四谷４丁目,2191,1747,1622
四谷本塩町,327,251,241
四谷三栄町,1088,944,1021
四谷坂町,1660,1323,1226
若葉１丁目,1390,1290,1248
若葉２丁目,495,447,446
若葉３丁目,617,493,471
須賀町,821,699,682
左門町,1059,732,870
信濃町,571,401,509
南元町,1386,1173,1379
荒木町,1722,1283,1265
舟町,1016,679,743
愛住町,910,717,709
大京町,2450,1824,2140
霞ヶ丘町,5,5,0
内藤町,659,588,646
片町,292,208,196
新宿１丁目,3186,2261,1982
新宿２丁目,918,683,512
新宿３丁目,90,83,47
新宿４丁目,196,162,103
新宿５丁目,2151,1468,1180
新宿６丁目,3092,2248,1918
新宿７丁目,4280,3360,3164
歌舞伎町１丁目,150,114,53
歌舞伎町２丁目,1900,1464,731
市谷田町１丁目,13,7,16
市谷田町２丁目,331,266,326
市谷田町３丁目,192,151,187
市谷本村町,1757,1531,1132
市谷砂土原町１丁目,102,95,110
市谷砂土原町２丁目,255,208,253
市谷砂土原町３丁目,470,481,504
市谷左内町,260,227,248
市谷加賀町１丁目,240,287,337
市谷加賀町２丁目,999,760,1038
市谷甲良町,474,401,450
市谷船河原町,84,99,107
市谷長延寺町,78,34,73
市谷鷹匠町,50,32,35
市谷山伏町,308,260,289
市谷八幡町,65,57,65
神楽坂１丁目,11,12,15
神楽坂２丁目,126,81,114
神楽坂３丁目,288,229,202
神楽坂４丁目,98,81,96
神楽坂５丁目,375,303,385
神楽坂６丁目,530,358,440
細工町,263,213,216
二十騎町,416,315,377
揚場町,58,48,51
津久戸町,58,42,43
東五軒町,1288,1090,1230
西五軒町,1031,858,902
赤城元町,259,213,239
南榎町,688,687,699
袋町,366,327,337
払方町,522,479,533
南町,391,423,446
北町,536,474,542
納戸町,540,482,543
南山伏町,416,340,360
北山伏町,398,254,332
白銀町,755,600,785
下宮比町,189,105,142
矢来町,2471,2063,2350
若宮町,537,486,494
岩戸町,423,295,346
中町,259,251,241
箪笥町,456,306,353
横寺町,640,480,498
筑土八幡町,614,458,540
新小川町,2072,1670,1631
神楽河岸,0,0,0
市谷薬王寺町,2114,1581,1735
市谷柳町,913,611,718
市谷仲之町,1353,1197,1332
赤城下町,855,666,641
天神町,712,516,563
榎町,486,323,346
東榎町,230,149,157
早稲田町,891,586,690
早稲田南町,466,378,397
馬場下町,336,252,252
原町１丁目,891,701,760
原町２丁目,693,620,616
原町３丁目,1240,952,1117
喜久井町,1122,971,950
築地町,318,250,294
弁天町,2042,1639,1798
中里町,364,332,370
山吹町,2730,1863,2062
改代町,419,324,314
水道町,760,507,505
早稲田鶴巻町,3906,2732,2879
住吉町,1849,1371,1405
市谷台町,919,705,707
河田町,1515,1430,1425
若松町,3436,2700,3052
余丁町,2547,1982,2084
戸山１丁目,1523,1181,1312
戸山２丁目,3385,2085,3309
戸山３丁目,649,537,561
富久町,4090,3584,3536
百人町１丁目,2911,2140,1492
百人町２丁目,3450,2591,2049
百人町３丁目,2603,2591,2864
百人町４丁目,1709,1192,1598
大久保１丁目,3048,2099,1806
大久保２丁目,5372,4000,3614
大久保３丁目,2504,2322,2505
戸塚町１丁目,158,107,109
西早稲田１丁目,3664,2676,2828
西早稲田２丁目,4151,3155,2966
西早稲田３丁目,4118,3453,3288
高田馬場１丁目,2890,2300,2055
高田馬場２丁目,1365,1045,860
高田馬場３丁目,4163,3105,2669
高田馬場４丁目,4193,3407,3058
下落合１丁目,2110,1424,1362
下落合２丁目,2117,1800,1821
下落合３丁目,2694,2112,2518
下落合４丁目,2668,2164,2313
中落合１丁目,2343,1782,1769
中落合２丁目,2871,2468,2539
中落合３丁目,2453,1997,2216
中落合４丁目,1745,1571,1514
上落合１丁目,3300,2643,2632
上落合２丁目,3308,2503,2411
上落合３丁目,3300,2431,2274
西落合１丁目,2898,2239,2366
西落合２丁目,2585,2110,2129
西落合３丁目,1923,1485,1709
西落合４丁目,1359,1120,1221
中井１丁目,1315,984,804
中井２丁目,1734,1594,1601
北新宿１丁目,5334,3909,3266
北新宿２丁目,3293,2780,2522
北新宿３丁目,4793,3701,3294
北新宿４丁目,4429,3262,3111
西新宿１丁目,31,25,25
西新宿２丁目,2,2,4
西新宿３丁目,1616,1107,1028
西新宿４丁目,5063,3777,3414
西新宿５丁目,2620,2052,1856
西新宿６丁目,2461,1970,1694
西新宿７丁目,1722,1304,976
西新宿８丁目,2268,1641,1536
