町丁名,世帯数,男,女
四谷１丁目,16,13,7
四谷２丁目,18,11,14
四谷３丁目,19,12,9
四谷４丁目,164,91,96
四谷本塩町,14,8,9
四谷三栄町,65,43,36
四谷坂町,130,90,81
若葉１丁目,81,66,44
若葉２丁目,47,26,25
若葉３丁目,53,26,33
須賀町,43,29,19
左門町,62,33,33
信濃町,28,8,22
南元町,103,67,58
荒木町,128,80,77
舟町,56,30,30
愛住町,59,49,22
大京町,132,88,62
霞ヶ丘町,5,5,0
内藤町,44,24,29
片町,23,11,15
新宿１丁目,303,177,174
新宿２丁目,90,57,37
新宿３丁目,7,7,7
新宿４丁目,6,4,3
新宿５丁目,222,135,121
新宿６丁目,328,202,211
新宿７丁目,641,441,425
歌舞伎町１丁目,10,8,3
歌舞伎町２丁目,297,155,191
市谷田町１丁目,1,0,1
市谷田町２丁目,11,10,7
市谷田町３丁目,18,6,16
市谷本村町,68,62,66
市谷砂土原町１丁目,1,2,2
市谷砂土原町２丁目,17,12,9
市谷砂土原町３丁目,54,67,42
市谷左内町,11,7,9
市谷加賀町１丁目,5,5,6
市谷加賀町２丁目,58,39,42
市谷甲良町,28,18,17
市谷船河原町,6,7,11
市谷長延寺町,4,1,3
市谷鷹匠町,5,2,3
市谷山伏町,14,8,11
市谷八幡町,3,1,2
神楽坂１丁目,0,0,0
神楽坂２丁目,6,4,2
神楽坂３丁目,15,11,7
神楽坂４丁目,3,1,2
神楽坂５丁目,8,6,5
神楽坂６丁目,24,16,10
細工町,13,5,10
二十騎町,19,14,11
揚場町,2,2,0
津久戸町,3,2,1
東五軒町,73,34,46
西五軒町,68,49,36
赤城元町,6,3,4
南榎町,34,27,15
袋町,17,12,5
払方町,30,22,27
南町,18,19,9
北町,15,13,7
納戸町,38,28,17
南山伏町,12,12,5
北山伏町,29,14,18
白銀町,29,13,23
下宮比町,11,4,8
矢来町,96,66,53
若宮町,30,36,44
岩戸町,21,12,15
中町,8,8,6
箪笥町,18,12,9
横寺町,20,11,9
筑土八幡町,18,9,15
新小川町,87,49,53
神楽河岸,0,0,0
市谷薬王寺町,158,128,153
市谷柳町,40,25,27
市谷仲之町,136,155,152
赤城下町,38,22,19
天神町,44,22,24
榎町,18,3,15
東榎町,14,6,9
早稲田町,111,58,67
早稲田南町,49,32,23
馬場下町,28,11,20
原町１丁目,57,33,33
原町２丁目,47,34,36
原町３丁目,99,80,96
喜久井町,65,43,36
築地町,13,8,5
弁天町,142,87,88
中里町,10,3,7
山吹町,211,103,136
改代町,22,13,10
水道町,40,22,25
早稲田鶴巻町,382,207,240
住吉町,137,106,98
市谷台町,70,44,45
河田町,292,333,339
若松町,297,248,252
余丁町,158,107,113
戸山１丁目,113,66,78
戸山２丁目,328,164,315
戸山３丁目,64,42,33
富久町,283,197,213
百人町１丁目,930,622,488
百人町２丁目,1262,910,729
百人町３丁目,279,250,269
百人町４丁目,201,176,233
大久保１丁目,1132,693,662
大久保２丁目,1645,1105,1089
大久保３丁目,392,292,336
戸塚町１丁目,30,18,17
西早稲田１丁目,567,311,341
西早稲田２丁目,642,378,345
西早稲田３丁目,688,426,359
高田馬場１丁目,438,273,241
高田馬場２丁目,226,148,100
高田馬場３丁目,704,471,352
高田馬場４丁目,694,498,418
下落合１丁目,498,313,269
下落合２丁目,269,192,150
下落合３丁目,185,117,112
下落合４丁目,281,162,161
中落合１丁目,233,145,127
中落合２丁目,228,149,147
中落合３丁目,125,71,84
中落合４丁目,113,68,75
上落合１丁目,239,174,159
上落合２丁目,243,146,144
上落合３丁目,282,156,167
西落合１丁目,140,76,89
西落合２丁目,152,103,89
西落合３丁目,95,55,53
西落合４丁目,74,41,44
中井１丁目,116,74,54
中井２丁目,120,79,67
北新宿１丁目,1097,727,621
北新宿２丁目,350,240,273
北新宿３丁目,908,640,576
北新宿４丁目,770,533,487
西新宿１丁目,3,2,1
西新宿２丁目,0,0,0
西新宿３丁目,169,107,85
西新宿４丁目,461,272,250
西新宿５丁目,232,151,177
西新宿６丁目,300,228,200
西新宿７丁目,170,106,94
西新宿８丁目,194,119,126
