町丁名,世帯数,男,女
四谷１丁目,285,246,294
四谷２丁目,271,204,223
四谷３丁目,294,191,227
四谷４丁目,2360,1842,1727
四谷本塩町,340,258,244
四谷三栄町,1104,956,1011
四谷坂町,1703,1332,1247
若葉１丁目,1416,1290,1268
若葉２丁目,514,441,443
若葉３丁目,634,508,468
須賀町,801,682,664
左門町,1106,748,917
信濃町,621,429,535
南元町,1436,1170,1408
荒木町,1749,1292,1266
舟町,1097,725,802
愛住町,935,710,689
大京町,2463,1834,2095
霞ヶ丘町,1,1,0
内藤町,691,603,693
片町,331,230,213
新宿１丁目,3133,2198,1951
新宿２丁目,907,680,518
新宿３丁目,79,70,36
新宿４丁目,175,134,97
新宿５丁目,2280,1538,1219
新宿６丁目,3226,2306,1976
新宿７丁目,4352,3362,3121
歌舞伎町１丁目,149,114,53
歌舞伎町２丁目,1826,1397,716
市谷田町１丁目,15,9,15
市谷田町２丁目,326,258,333
市谷田町３丁目,207,163,188
市谷本村町,1788,1558,1124
市谷砂土原町１丁目,102,90,108
市谷砂土原町２丁目,265,205,249
市谷砂土原町３丁目,479,484,498
市谷左内町,263,224,256
市谷加賀町１丁目,248,307,353
市谷加賀町２丁目,999,775,1018
市谷甲良町,463,379,449
市谷船河原町,72,88,87
市谷長延寺町,77,29,72
市谷鷹匠町,49,31,38
市谷山伏町,329,273,309
市谷八幡町,65,57,65
神楽坂１丁目,11,12,14
神楽坂２丁目,122,80,111
神楽坂３丁目,279,221,193
神楽坂４丁目,96,82,100
神楽坂５丁目,360,298,359
神楽坂６丁目,536,378,425
細工町,249,208,202
二十騎町,406,302,360
揚場町,61,50,54
津久戸町,62,42,44
東五軒町,1293,1078,1227
西五軒町,1092,885,912
赤城元町,247,208,233
南榎町,701,684,732
袋町,442,420,409
払方町,541,463,526
南町,396,424,442
北町,534,466,541
納戸町,628,564,624
南山伏町,453,355,384
北山伏町,393,245,332
白銀町,781,630,786
下宮比町,195,106,149
矢来町,2546,2111,2326
若宮町,543,491,509
岩戸町,428,278,357
中町,266,264,243
箪笥町,468,312,357
横寺町,608,471,475
筑土八幡町,617,456,544
新小川町,2235,1776,1724
神楽河岸,0,0,0
市谷薬王寺町,2245,1671,1819
市谷柳町,972,634,747
市谷仲之町,1425,1208,1366
赤城下町,876,680,652
天神町,734,528,570
榎町,515,357,349
東榎町,287,178,191
早稲田町,947,601,719
早稲田南町,483,377,394
馬場下町,326,253,242
原町１丁目,916,723,791
原町２丁目,711,628,615
原町３丁目,1277,975,1135
喜久井町,1128,950,937
築地町,320,254,293
弁天町,2142,1693,1841
中里町,365,331,372
山吹町,2917,1958,2175
改代町,407,319,301
水道町,765,516,505
早稲田鶴巻町,3989,2730,2891
住吉町,1870,1371,1424
市谷台町,981,736,710
河田町,1590,1503,1470
若松町,3508,2749,3090
余丁町,2610,2001,2113
戸山１丁目,1514,1197,1274
戸山２丁目,3339,2043,3256
戸山３丁目,670,556,576
富久町,4210,3647,3554
百人町１丁目,2971,2145,1449
百人町２丁目,3445,2538,2062
百人町３丁目,2618,2619,2830
百人町４丁目,1720,1174,1603
大久保１丁目,2867,2011,1661
大久保２丁目,5465,4068,3563
大久保３丁目,2522,2326,2454
戸塚町１丁目,154,103,110
西早稲田１丁目,3903,2801,2908
西早稲田２丁目,4295,3185,3020
西早稲田３丁目,4280,3509,3351
高田馬場１丁目,3035,2381,2100
高田馬場２丁目,1454,1094,897
高田馬場３丁目,4415,3213,2823
高田馬場４丁目,4315,3429,3060
下落合１丁目,2120,1388,1373
下落合２丁目,2241,1925,1915
下落合３丁目,2737,2103,2559
下落合４丁目,2769,2201,2305
中落合１丁目,2645,1974,1969
中落合２丁目,2989,2494,2602
中落合３丁目,2490,2010,2203
中落合４丁目,1777,1536,1527
上落合１丁目,3392,2704,2659
上落合２丁目,3315,2461,2374
上落合３丁目,3339,2422,2283
西落合１丁目,2980,2255,2378
西落合２丁目,2605,2144,2138
西落合３丁目,1946,1513,1673
西落合４丁目,1375,1113,1233
中井１丁目,1302,958,798
中井２丁目,1778,1588,1653
北新宿１丁目,5411,3951,3304
北新宿２丁目,3395,2854,2534
北新宿３丁目,4825,3683,3244
北新宿４丁目,4567,3307,3126
西新宿１丁目,27,24,21
西新宿２丁目,2,2,4
西新宿３丁目,1635,1111,1010
西新宿４丁目,5167,3794,3445
西新宿５丁目,2903,2247,2047
西新宿６丁目,2452,1957,1707
西新宿７丁目,1764,1336,967
西新宿８丁目,2278,1629,1507
