町丁名,世帯数,男,女
四谷１丁目,284,244,301
四谷２丁目,283,212,235
四谷３丁目,276,188,214
四谷４丁目,2202,1740,1640
四谷本塩町,340,258,248
四谷三栄町,1095,948,1024
四谷坂町,1678,1338,1227
若葉１丁目,1414,1301,1255
若葉２丁目,485,430,430
若葉３丁目,635,501,483
須賀町,803,686,673
左門町,1088,735,902
信濃町,586,422,507
南元町,1404,1178,1381
荒木町,1709,1254,1263
舟町,1030,668,752
愛住町,910,696,698
大京町,2436,1840,2090
霞ヶ丘町,1,1,0
内藤町,700,618,685
片町,330,229,213
新宿１丁目,3155,2222,1971
新宿２丁目,921,685,514
新宿３丁目,81,74,36
新宿４丁目,174,141,98
新宿５丁目,2261,1539,1231
新宿６丁目,3106,2252,1936
新宿７丁目,4266,3344,3106
歌舞伎町１丁目,141,107,50
歌舞伎町２丁目,1826,1424,703
市谷田町１丁目,15,8,18
市谷田町２丁目,331,257,337
市谷田町３丁目,191,157,188
市谷本村町,1765,1544,1126
市谷砂土原町１丁目,102,93,109
市谷砂土原町２丁目,256,200,250
市谷砂土原町３丁目,469,476,496
市谷左内町,266,233,253
市谷加賀町１丁目,244,309,346
市谷加賀町２丁目,966,767,999
市谷甲良町,477,399,456
市谷船河原町,75,94,94
市谷長延寺町,80,35,72
市谷鷹匠町,50,33,37
市谷山伏町,320,270,307
市谷八幡町,65,58,63
神楽坂１丁目,11,12,14
神楽坂２丁目,123,80,112
神楽坂３丁目,278,222,192
神楽坂４丁目,98,81,99
神楽坂５丁目,368,302,377
神楽坂６丁目,528,368,425
細工町,264,218,219
二十騎町,423,322,367
揚場町,61,52,53
津久戸町,60,45,42
東五軒町,1274,1093,1203
西五軒町,1091,882,919
赤城元町,261,217,237
南榎町,705,696,721
袋町,365,320,332
払方町,538,473,536
南町,398,431,444
北町,530,463,531
納戸町,574,520,573
南山伏町,454,353,386
北山伏町,397,248,341
白銀町,780,622,787
下宮比町,192,109,143
矢来町,2499,2085,2350
若宮町,525,483,493
岩戸町,428,284,354
中町,271,272,244
箪笥町,471,310,367
横寺町,625,477,490
筑土八幡町,617,460,540
新小川町,2143,1699,1665
神楽河岸,0,0,0
市谷薬王寺町,2144,1607,1726
市谷柳町,931,628,719
市谷仲之町,1385,1196,1357
赤城下町,876,682,648
天神町,717,517,545
榎町,496,326,355
東榎町,277,180,180
早稲田町,911,603,698
早稲田南町,453,362,393
馬場下町,318,245,240
原町１丁目,899,722,774
原町２丁目,687,620,611
原町３丁目,1243,959,1125
喜久井町,1129,964,933
築地町,329,257,301
弁天町,2071,1676,1801
中里町,351,321,358
山吹町,2756,1883,2084
改代町,399,310,306
水道町,760,511,500
早稲田鶴巻町,3877,2699,2854
住吉町,1869,1385,1411
市谷台町,924,712,692
河田町,1615,1508,1478
若松町,3473,2739,3078
余丁町,2561,1996,2081
戸山１丁目,1506,1193,1284
戸山２丁目,3325,2046,3252
戸山３丁目,656,544,567
富久町,4136,3608,3539
百人町１丁目,2868,2097,1449
百人町２丁目,3383,2522,2051
百人町３丁目,2602,2605,2835
百人町４丁目,1681,1157,1559
大久保１丁目,2977,2076,1748
大久保２丁目,5361,4028,3581
大久保３丁目,2474,2326,2446
戸塚町１丁目,171,115,119
西早稲田１丁目,3766,2717,2858
西早稲田２丁目,4142,3116,2980
西早稲田３丁目,4148,3437,3344
高田馬場１丁目,2929,2313,2083
高田馬場２丁目,1394,1058,878
高田馬場３丁目,4306,3161,2765
高田馬場４丁目,4255,3418,3057
下落合１丁目,2123,1411,1377
下落合２丁目,2109,1806,1809
下落合３丁目,2694,2097,2518
下落合４丁目,2702,2189,2309
中落合１丁目,2455,1859,1819
中落合２丁目,2930,2488,2561
中落合３丁目,2415,1968,2188
中落合４丁目,1721,1531,1493
上落合１丁目,3345,2690,2642
上落合２丁目,3282,2439,2380
上落合３丁目,3282,2428,2259
西落合１丁目,2941,2242,2393
西落合２丁目,2597,2141,2137
西落合３丁目,1894,1471,1670
西落合４丁目,1345,1101,1219
中井１丁目,1300,949,800
中井２丁目,1752,1599,1629
北新宿１丁目,5364,3941,3295
北新宿２丁目,3352,2824,2543
北新宿３丁目,4751,3631,3288
北新宿４丁目,4423,3259,3072
西新宿１丁目,29,23,24
西新宿２丁目,1,1,4
西新宿３丁目,1641,1134,1026
西新宿４丁目,5112,3767,3440
西新宿５丁目,2621,2055,1848
西新宿６丁目,2497,2004,1729
西新宿７丁目,1720,1302,967
西新宿８丁目,2267,1630,1531
